	B Cells	CD4 T Cells	CD8 T Cells	Monocytes	NK Cells	Other
mix_1	0.074867854477	0.179407426854	0.0629288442554	0.170182403395	0.0819035614412	0.246492674587
mix_2	0.0623732935084	0.163043231379	0.0524095197405	0.209054114293	0.0434982820425	0.262812729935
mix_3	0.129516771931	0.337355598094	0.0808048945318	0.0563089480242	0.0625965059057	0.201143309424
mix_4	0.158021720179	0.238932229792	0.0714667952656	0.0980527821982	0.0632997417629	0.218420989891
mix_5	0.125534632151	0.240742011181	0.0882352858113	0.0863425628975	0.0955321504082	0.214069014765
mix_6	0.119903451385	0.2181157279	0.067600909004	0.128348308752	0.0615436564159	0.232478073981
mix_7	0.185555915031	0.253633357172	0.0761657513372	0.0689649816647	0.0770612372695	0.200589562859
mix_8	0.182547065364	0.199114689393	0.0460635169185	0.151316974493	0.0124851218619	0.230120782996
mix_9	0.0796323572059	0.22107508757	0.0699572950821	0.134546407504	0.092298168855	0.230544836063
mix_10	0.224552295666	0.242105965916	0.0643083256632	0.0918871109104	0.0173511636749	0.208419903432
mix_11	0.082375314614	0.176649192728	0.049417275888	0.199814236238	0.0447401728195	0.247575071796
mix_12	0.0556110723662	0.21377849658	0.068337615941	0.17654171311	0.0457097604707	0.249460637726
mix_13	0.227267930232	0.218492725582	0.0673543547306	0.0677388911223	0.0832954589277	0.200840217144
mix_14	0.238919122665	0.22595191556	0.0618531787198	0.0854036740978	0.0295996736496	0.210515447545
mix_15	0.187702302073	0.216730124448	0.0843954398868	0.0430267817635	0.141799215143	0.199887139402
mix_16	0.14302097194	0.283136459045	0.0755833865365	0.0850707014601	0.0521603203464	0.215532698883
mix_17	0.306837153272	0.280935013133	0.0623675320796	0.0175698644938	0.0326904481867	0.187812788427
mix_18	0.0862847840849	0.143720731117	0.045096235696	0.220467849783	0.0275566933925	0.263592390839
mix_19	0.161314675994	0.197238876457	0.068083964722	0.126040946513	0.0497920831685	0.22730868982
mix_20	0.0952337791247	0.348712350013	0.121048525506	0.0203093883946	0.0983838535838	0.202467218879
mix_21	0.173242889898	0.264211613278	0.0809189171714	0.0775141482518	0.0444556212167	0.214361742404
mix_22	0.169508396719	0.18698866274	0.0667309951882	0.109118315498	0.0868099979015	0.222536251581
mix_23	0.189693069892	0.219201765049	0.0543090099578	0.119935552497	0.0266127568312	0.224409105741
mix_24	0.0578460164083	0.129335401488	0.0461929303665	0.226786773482	0.0549265640926	0.273299429174
mix_25	0.0788483309513	0.273415324778	0.0728151555952	0.138979030451	0.0228103962964	0.236199797006
mix_26	0.0618179042771	0.330977159196	0.111623173461	0.0232000471751	0.165283917606	0.192556549935
mix_27	0.190899021592	0.112460195238	0.0365800725147	0.167180306001	0.0701794215975	0.239077194726
mix_28	0.135073908075	0.341585585868	0.105543319954	0.0222692380398	0.091516893694	0.189918329865
mix_29	0.114296649512	0.227662016103	0.0721856903992	0.120557776817	0.0745718486675	0.226257851576
mix_30	0.131942491074	0.229837742974	0.0672271620272	0.119413001166	0.0617942998947	0.226281426594
mix_31	0.107020449205	0.257739472243	0.0601435432085	0.130703730979	0.0438656264672	0.227421267632
mix_32	0.128134578827	0.260238409967	0.0761508240217	0.0966659743833	0.065338014365	0.218186586664
mix_33	0.141880224029	0.219317825533	0.0568844153622	0.135894461448	0.0523032013795	0.223985577055
mix_34	0.0620544624749	0.179674769302	0.0584881149331	0.186797892447	0.0623019539433	0.256859989057
mix_35	0.105199409092	0.201954828893	0.0693737283951	0.142545989827	0.0635166717104	0.240239283261
mix_36	0.194667497716	0.279756521265	0.0606601684726	0.0731781917832	0.0470044279388	0.203241923117
mix_37	0.186301456017	0.277353956688	0.0548915504661	0.0862095848839	0.0333186770178	0.215777921557
mix_38	0.0961815590719	0.338139360522	0.0931306402099	0.038340368672	0.116679728577	0.196117425175
mix_39	0.193473897589	0.236223091591	0.0886114585883	0.0452549150337	0.116674253729	0.195185096805
mix_40	0.147418943932	0.232832395172	0.0511664581592	0.134597291684	0.0370078325188	0.226710237652
mix_41	0.0818358143644	0.182581238212	0.0667291805501	0.16247684228	0.0744598564739	0.24790449675
mix_42	0.20772664159	0.306337532327	0.0893962486098	0.0282607894796	0.0681196705167	0.187034931184
mix_43	0.0559211124698	0.273326657036	0.0928596216462	0.0837544495569	0.121162107282	0.224573109776
mix_44	0.0811768333789	0.304388087999	0.0803230324541	0.0784159273317	0.0989426600064	0.212743215417
mix_45	0.052553625364	0.304537261207	0.0776157618386	0.132424831884	0.0222351876483	0.236039297288
mix_46	0.123644596048	0.276980688959	0.105048946875	0.0526296701829	0.0961644061656	0.210414181949
mix_47	0.152607653046	0.224648325347	0.0603126563463	0.134307531283	0.0308464743958	0.226630837038
mix_48	0.187419872351	0.0966984933496	0.0306181268997	0.177144969876	0.0753743172349	0.246320081714
mix_49	0.161400956343	0.163522857375	0.0584638471728	0.135303590696	0.0765504924002	0.230841242366
mix_50	0.179016298381	0.329052388199	0.0788765490174	0.0548726269935	0.0269834089873	0.198279558083
mix_51	0.172475791924	0.146907633389	0.0398047179334	0.155072709791	0.0745007981502	0.231287586756
