T cells	CD8 T cells	Cytotoxic lymphocytes	NK cells	B lineage	Monocytic lineage	Myeloid dendritic cells	Neutrophils	Endothelial cells	Fibroblasts
A	8.39124345585305	7.916	8.86199208060094	8.33422222222222	7.55325	7.86685714285714	6.545	6.99319388790262	5.3483742375569	5.3835
B	8.4075	7.864	9.103	8.33955555555556	7.539	7.84028571428571	6.4684	7.03428571428571	5.20675757575758	5.536875
C	9.38846142802797	7.597	8.36450649432992	7.46811111111111	6.297	6.36485714285714	5.2064	5.99157142857143	5.18581818181818	5.65675
D	9.38364285714286	7.399	8.59557142857143	7.46988888888889	6.274375	6.33671428571429	5.3056	5.88835714285714	5.168	5.43925
E	8.93165295792423	9.501	9.43267761131843	8.32866666666667	6.469625	6.91377785527095	5.727	6.39892857142857	4.94642424242424	5.7075
F	7.14978571428571	5.837	9.8445948335205	9.69711111111111	6.459625	7.23085714285714	5.78	6.52692857142857	5.34757575757576	5.321125
G	7.77414285714286	6.575	7.91914285714286	7.26533333333333	7.619625	8.20471428571429	6.7564	8.412	5.43042424242424	5.623
H	7.26285714285714	6.27	7.21171428571429	6.188	6.868	8.63028571428571	7.169	6.77585714285714	5.36433333333333	6.0055
I	7.17596512958468	6.357	7.15328571428571	6.15711111111111	7.085875	8.55728571428572	7.161	6.7175	5.4922921825406	5.722625
J	9.45913920389358	5.11	7.0996726145188	5.99344444444444	6.121375	5.08071428571429	5.4704	5.63114285714286	5.24393939393939	5.518
K	9.01864285714286	9.739	9.26880583131046	7.47244444444444	6.313875	5.47528571428571	5.1568	5.56664285714286	5.15388393444975	5.697
L	9.46014285714286	5.252	7.05371428571429	5.93366666666667	5.28525	5.59285714285714	5.2658	5.59255295852807	5.24115891606914	5.272875
