	B Cells	CD4 T Cells	NK Cells	Monocytes	CD8 T Cells	Other
Mix_1	0.117717550401	0.0	0.210403220698	0.0436337330754	0.100476496086	0.464911638515
Mix_2	0.236146730035	0.0361758193731	0.151763408511	0.0	0.0180645226475	0.495917347469
Mix_3	0.0630450377102	0.0	0.19302430673	0.0	0.362750691727	0.35113280486
Mix_4	0.116009910247	0.0	0.197190862913	0.0	0.244380031963	0.415254244222
Mix_5	0.323815483756	0.0	0.180889028711	0.0	0.0992678772867	0.386536715026
Mix_6	0.180896328215	0.0	0.143845933302	0.0620686403688	0.191299045171	0.388572365737
Mix_7	0.13730728759	0.0	0.113826043022	0.0	0.306082717002	0.416302105198
Mix_8	0.19320015389	0.0683585620628	0.0268789951889	0.0181382881284	0.149582639346	0.487411768135
Mix_9	0.197257826249	0.0	0.155023386913	0.0	0.1619677218	0.439791762293
Mix_10	0.230061261278	0.0	0.105161241931	0.0224585126186	0.246010233244	0.366474092914
Mix_11	0.177112584313	0.121194517405	0.139837642484	0.0	0.0369180285453	0.482853583903
Mix_12	0.0565524980227	0.0	0.201852677657	0.0275774273629	0.237526323606	0.428615217596
Mix_13	0.249362071504	0.0	0.0974954179768	0.0	0.225369534906	0.396317949385
Mix_14	0.0699748308671	0.0	0.194286816457	0.0	0.362931161327	0.363044058221
Mix_15	0.115183007046	0.0781849618865	0.0971808354388	0.0	0.201560194337	0.460660913389
Mix_16	0.176507205561	0.0	0.0585430271635	0.00812502626293	0.241063208415	0.466097577311
Mix_17	0.129624318967	0.0	0.0903021788268	0.0	0.284396968637	0.457634971672
Mix_18	0.107726091048	0.209432767979	0.0549759118416	0.0	0.0937572821046	0.486569267166
Mix_19	0.0717986830007	0.0	0.16420760615	0.0340371448207	0.334816630186	0.353486860339
Mix_20	0.209580476809	0.0	0.0832383338128	0.0186005344457	0.198674734428	0.441525534292
Mix_21	0.193530594137	0.0	0.0581145542832	0.0386794905073	0.223009196863	0.445325920124
Mix_22	0.0898349923119	0.0	0.142055790975	0.0471047392431	0.288959738805	0.392318981368
Mix_23	0.284872338208	0.0152658449382	0.0931007937125	0.000183114421244	0.0511046819833	0.502264078976
Mix_24	0.00902603906395	0.134513105254	0.0273530858406	0.00795000870063	0.315710051366	0.444663506519
Mix_25	0.24375923887	0.0	0.0932430522281	0.0	0.236840494901	0.40960119217
Mix_26	0.159471716807	0.0	0.0605193866962	0.0	0.276484697134	0.465612104711
Mix_27	0.186404193616	0.0	0.0	0.0272068766372	0.379819938056	0.375687639915
Mix_28	0.166565975167	0.0	0.114006719526	0.0243499899008	0.179963339156	0.458521812823
Mix_29	0.196069016438	0.0	0.0514573422858	0.0	0.267741415451	0.454455812024
Mix_30	0.138147827245	0.0	0.187755754531	0.0	0.35758906115	0.30918194504
Mix_31	0.195835222934	0.0	0.0806923841181	0.00573486528614	0.206131113199	0.460875436814
Mix_32	0.105120981574	0.160857810312	0.0387890107715	0.00231487144307	0.14179046012	0.480394356539
Mix_33	0.0740317532604	0.0101864886034	0.0883892497578	0.00906506150132	0.285572868743	0.473085724207
Mix_34	0.205606408049	0.0	0.117588546206	0.0496585107505	0.199062764526	0.392747989879
Mix_35	0.172339061838	0.0	0.194925668414	0.0	0.130971714785	0.466009931226
Mix_36	0.182822658588	0.0	0.119421582574	0.0	0.230118460281	0.426629428762
Mix_37	0.0763204260662	0.0	0.205658439267	0.0	0.325969522369	0.348966856142
Mix_38	0.0621243908148	0.0	0.175692211923	0.0188347061659	0.205285422338	0.473226931945
Mix_39	0.258910519432	0.0	0.0326554872458	0.0448876551238	0.120921566983	0.490430908269
Mix_40	0.16881835667	0.0	0.196401792765	0.0	0.293788370622	0.323700804029
Mix_41	0.156106534481	0.0	0.259839470476	0.0	0.136526646246	0.416379631448
Mix_42	0.173190748751	0.0	0.0322762146137	0.0	0.291563544955	0.463134132338
Mix_43	0.216818397667	0.0	0.130779898012	0.0197529690563	0.226594193785	0.371029365045
Mix_44	0.0967756260216	0.0	0.23656347756	0.014976070854	0.125226229168	0.460501621092
Mix_45	0.0904870178913	0.0	0.0823218098478	0.0123239313905	0.416957070781	0.362208682262
Mix_46	0.169625533047	0.0	0.001564831433	0.0174082645956	0.371963615783	0.402329035051
Mix_47	0.163665701959	0.0	0.139404125241	0.0378274799569	0.219986190378	0.406337152234
Mix_48	0.198924471646	0.0	0.132070649649	0.0	0.161466006664	0.461048228692
Mix_49	0.108962802924	0.0	0.279729885629	0.0	0.193312270047	0.405003993908
Mix_50	0.0735028222297	0.0	0.0297135206093	0.0122555421317	0.423297336261	0.429544380341
Mix_51	0.18583943937	0.0247877866277	0.091161906137	0.0030534664679	0.151288516189	0.487438825358
Mix_52	0.0344503436508	0.0	0.140469086821	0.0	0.439737698466	0.351825756335
Mix_53	0.162094809207	0.0	0.0665670694534	0.0274612362281	0.270046261549	0.430110625154
Mix_54	0.0919068002161	0.0	0.349112073364	0.0335330547311	0.093148052485	0.374670593329
Mix_55	0.0458326864314	0.0	0.252495733491	0.0	0.315502318749	0.354642154735
Mix_56	0.0797957729791	0.0	0.0507615910763	0.0192216783315	0.408088919964	0.403889835067
Mix_57	0.0175847066151	0.0	0.434217474029	0.0	0.0298673590778	0.458467647459
Mix_58	0.107725785851	0.0508191422511	0.102168243135	0.0	0.223869340513	0.463752424237
Mix_59	0.0810099165092	0.0	0.323060306517	0.0	0.250969830721	0.32766365333
Mix_60	0.22649681882	0.0	0.015494917658	0.0	0.405840488079	0.343992445035
Mix_61	0.256405188674	0.0	0.14759935041	0.0134985106497	0.165516961956	0.384488031137
Mix_62	0.301019059526	0.0	0.202380297746	0.0	0.136160359014	0.352055537973
Mix_63	0.0587896554436	0.0	0.321023212265	0.0201503884265	0.151695634669	0.389773313105
Mix_64	0.174722708679	0.0	0.0877390250896	0.0470863662389	0.260645442546	0.395908033635
Mix_65	0.168805136239	0.0	0.0762020549816	0.0322452390013	0.271853960674	0.414018920597
Mix_66	0.204682082238	0.0	0.135621697734	0.0	0.208045512035	0.432609732118
Mix_67	0.330164223577	0.0	0.112013908505	0.0335954524001	0.0224531436717	0.45957396127
Mix_68	0.106586434832	0.0	0.0313677630584	0.0151422090506	0.377468541758	0.425806565075
Mix_69	0.262976478642	0.0	0.107909980192	0.0	0.219807508918	0.380545537809
Mix_70	0.102936145013	0.0	0.0483227488491	0.00577175503939	0.33814529745	0.455266368462
Mix_71	0.128930112685	0.0	0.171132263404	0.0	0.350691675237	0.32340008578
Mix_72	0.0982027838127	0.108990049611	0.0242899384358	0.0329219045222	0.187011900785	0.489741597739
Mix_73	0.0392205198349	0.0	0.275250462218	0.0	0.291143384555	0.371561034975
Mix_74	0.247211617573	0.0	0.164478256148	0.0172387702672	0.158515784615	0.374151993358
Mix_75	0.158169579648	0.0	0.290429616485	0.0	0.110782371331	0.419388296986
Mix_76	0.140159759392	0.0	0.253684742138	0.0	0.225600567771	0.364572743316
Mix_77	0.150471690399	0.0	0.180423670195	0.0317534773783	0.102797169808	0.473462842448
Mix_78	0.061416941261	0.0	0.182474983391	0.0	0.339619005305	0.403492632248
Mix_79	0.0724450732184	0.0	0.411201279558	0.00583081959377	0.0836152983752	0.36916296795
Mix_80	0.158323832786	0.0965096500287	0.119558398998	9.3466663491e-05	0.0829286143564	0.483395479734
Mix_81	0.14677532764	0.0	0.171847309981	0.0139476193336	0.267450501981	0.36451374094
Mix_82	0.17911041581	0.0	0.156218997085	0.0	0.306656600909	0.351083052537
Mix_83	0.220848171292	0.0	0.130595143252	0.0135360191691	0.190843468119	0.405298700229
Mix_84	0.136939800435	0.0	0.0685962119676	0.0187504185317	0.294535662344	0.434469492811
Mix_85	0.169870486453	0.0	0.218253557994	0.0	0.174418853428	0.42115508058
Mix_86	0.104581979405	0.0	0.198432566665	0.0198524393673	0.303479061467	0.344135684902
Mix_87	0.370077559664	0.0	0.119020700907	0.0187758592003	0.0326967062664	0.419715056835
Mix_88	0.191744291297	0.0	0.0081898397652	0.00538432382127	0.272828952833	0.475381530805
Mix_89	0.0307454544544	0.0	0.240063657867	0.0305724625516	0.199605612819	0.436710776816
Mix_90	0.191403294545	0.0	0.375774997268	0.0	0.0267521887771	0.391470375571
Mix_91	0.358595517912	0.0	0.117648042143	0.0	0.0151951806302	0.47758930085
Mix_92	0.208246574379	0.0	0.257720387895	0.0	0.0157336443025	0.453507978513
Mix_93	0.0945701918192	0.142164783109	0.00265065232752	0.0248179598768	0.194495603458	0.472992677806
Mix_94	0.225134321862	0.0	0.0303950376088	0.00358758571603	0.213003346781	0.479419632321
Mix_95	0.149641451284	0.0740362369451	0.189036335517	0.0	0.0505220294663	0.480353519844
Mix_96	0.0734561657667	0.0493066706091	0.103108454324	0.0	0.247324180508	0.468831400352
Mix_97	0.19772669064	0.0	0.175711378137	0.0230081422295	0.182432850556	0.386419005423
Mix_98	0.282819081016	0.0	0.00238651955814	0.0765243046781	0.0844405068989	0.506731812501
