CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
average.A	0	0	0	0	0	0	3.78591471441841	0
average.B	-10.1337088311263	0	0	0	0	0	16.612678646549	0
average.C	-1.45949720662525	0	0	0	0	0.32991204538997	16.6042510192714	0
average.D	0	0	0	0	0	0	1.25326326071367	0
average.E	0	0	0	0	0	1.26293307391004	13.7691590788263	2.12367808443547
average.F	0	0	0	0	0	0	0	0
average.G	34.9608331206216	29.4508429427352	51.4450406718614	45.5210346931806	67.4721271113229	40.7833150405792	28.6786563767651	41.1989834663107
average.H	0	0	14.6809716707437	0	4.91099478196787	0	0	0
average.I	0	0	1.80290693080848	0	0	0	10.5591478790183	0
average.J	-1.15020008357086	0	0	0	0	0	0	0
average.K	0	0	0	0.582466895053874	0	0.110639607517988	0	3.46300334841649
average.L	0	0	0	0	0	15.8771495430161	0	9.3387648126526
stdev.A	0	0	0	0	0	0	0.632890510097214	0
stdev.B	0.487762977271087	0	0	0	0	0	0.410462776885967	0
stdev.C	1.31206629578105	0	0	0	0	0.272016300825601	0.120108936745265	0
stdev.D	0	0	0	0	0	0	0.267626623457383	0
stdev.E	0	0	0	0	0	0.407244936826162	0.317358543421176	0.389773725642444
stdev.F	0	0	0	0	0	0	0	0
stdev.G	0.665295144370788	0	0.173906914731881	0.219209065921171	0.0737613103837539	0.171520099468487	1.02188161334435	0.108861893049792
stdev.H	0	0	0.0563353506495108	0	0.125579956708935	0	0	0
stdev.I	0	0	0.181658167878782	0	0	0	0.914161096878058	0
stdev.J	1.15123578833442	0	0	0	0	0	0	0
stdev.K	0	0	0	0.277938679250881	0	0.191633421550635	0	1.01395002019564
stdev.L	0	0	0	0	0	0.7530477979745	0	0.990612329918533
