naive_B_cell	memory_B_cell	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell
average.A	2.09996454643844	0.891362698226411	0.800412654355191	0.981248475941014	0	1.90949923777186	1.89059936092357	0
average.B	3.05335128136801	1.7918871503394	0.920668949467797	1.1565424742244	0	2.16686939703556	1.72693542429199	0
average.C	1.10802048870207	0.915022532375359	2.4855679108932	3.19587209531899	0	0	0	0.729553075345944
average.D	1.7156788108912	1.33523867354866	2.45888380257457	3.23012201788822	0	0	0	0.467088305838474
average.E	0.146005429081003	0.29145609125718	1.84790818991141	3.87352488450087	0	0	0	0
average.F	1.08635678782503	1.21938109835603	0.375052606352897	0.998359258014504	0.150538373444707	0.847299535391492	1.66310781944376	0
average.G	1.09275619342461	0.150816429877213	0	0	1.87459486949708	7.75429636582736	4.74910703593009	0
average.H	0.307522552529026	0.409887166208784	0.0371737170323929	0	4.1761620687957	8.92768018280788	6.20448079959605	0
average.I	0.506707932072006	0.349068263786756	0.152379585881092	0	2.8208576747675	8.55426078324498	5.8106747944253	0
average.J	3.70337520286077	3.23834640847327	3.17285238236301	2.42056955008329	0	0	0	1.96981630774428
average.K	3.00450629528149	2.71650159010568	2.42462319730735	5.36657012829683	0	0	0	1.43192312911984
average.L	0	0.618622373556824	3.11291855488351	2.44414778545309	0	0	0	1.92628611388389
stdev.A	0.0012355894501598	0.000400176261760172	0.000411500038088722	0.00071365586480034	0	0.00509000946633839	0.00348216746230176	0
stdev.B	0.00092236144274176	0.000291301990504698	0.00035011782671669	0.00119126593933763	0	0.00406297294257097	0.00183640844067805	0
stdev.C	0.00186483383015709	0.00119348968427476	0.000767107341811671	0.00134775703026177	0	0	0	0.00126247454450261
stdev.D	0.00124605525619649	0.000577891156021961	0.0003861451140067	0.000337460509355674	0	0	0	0.000869659081671392
stdev.E	0.00306340893667778	0.00112526061500226	0.000308620891843609	0.000805181852365547	0	0	0	0
stdev.F	0.00171418591073047	0.000732731146368823	0.00026939223447181	0.000398011827794605	0.000514378925352885	0.00116462369799593	0.000809956746906111	0
stdev.G	0.000534096847822135	0.000498776478019656	0	0	0.000820269865298338	0.0022155775034322	0.00133355038655328	0
stdev.H	0.000219665163582085	0.000336749907355619	0.000396055811982298	0	0.000866949988993475	0.00208133960310841	0.00183581870844998	0
stdev.I	0.00235768039996841	0.000405178308107824	0.000369527958040272	0	0.0015925685534842	0.00176002462048354	0.00250845750996087	0
stdev.J	0.00124607196413205	0.000708571081694856	0.000450182893335649	0.00054811198919773	0	0	0	0.000388621262178741
stdev.K	0.00137943780042806	0.000677705094793135	0.000575666813250279	0.00116126354970726	0	0	0	0.000640394151846655
stdev.L	0	0.000453773883778417	0.000332402352785953	0.000257290548127519	0	0	0	0.000165175002586646
