CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT
average.Mix_1	3.09612263441764e-06	1.44368018738764e-06	1.67438294844532e-06	1.65247410081824e-06	1.17341200107322e-06	1.52136751482496e-06	2.78569122887112e-06	1.55500515193825e-06	1.14154293983744e-06
average.Mix_2	1.19893994381637e-06	2.28477844273279e-06	2.53817845375005e-06	2.46018949853657e-06	2.14732043193589e-06	2.32096898552622e-06	1.46126364962095e-06	2.31932942153288e-06	2.27781873877127e-06
average.Mix_3	2.83605303969197e-07	1.61974470573492e-06	1.70843284372121e-06	2.61098626372652e-06	1.63847903095575e-06	1.50184657827493e-06	4.45789606078102e-06	3.53394725140736e-06	2.51888915516123e-06
average.Mix_4	3.47303812668513e-08	1.70517981622044e-06	2.27371239958566e-06	2.81107316848989e-06	2.06720028694105e-06	2.02155253034721e-06	3.78338815892928e-06	3.44129804754152e-06	2.70815429893086e-06
average.Mix_5	0	3.078051524776e-06	1.29688518801556e-06	2.01953549003069e-06	1.36945211080221e-06	1.15815011285443e-06	3.51626455643612e-06	3.00688089850739e-06	2.01615617930098e-06
average.Mix_6	3.22794799366892e-06	2.23249779926623e-06	8.74038132484276e-07	1.31256058664648e-06	6.93734078408669e-07	8.23581906038488e-07	1.96126528045581e-06	1.47647363518334e-06	1.00866489312341e-06
average.Mix_7	0	1.99071428684254e-06	2.58932688642446e-06	3.2491882069341e-06	2.50025092186938e-06	2.33835807151512e-06	1.92285018864611e-06	3.63363561721538e-06	3.38419173132938e-06
average.Mix_8	1.72785284412307e-06	2.24569458937999e-06	2.90478987230717e-06	2.9278562293142e-06	2.60325846107684e-06	2.71090583858829e-06	0	2.17829077554725e-06	3.00680225187684e-06
average.Mix_9	6.51499115782662e-07	2.29346405383821e-06	2.12276737253726e-06	2.5588682474665e-06	1.94657693095692e-06	1.92413002456278e-06	2.45183792738957e-06	2.92252081201933e-06	2.48749192598759e-06
average.Mix_10	1.33132431499706e-06	2.84125160102208e-06	1.29633022749237e-06	2.09738700853141e-06	1.36203996347966e-06	1.19858432169032e-06	1.76323248225339e-06	2.61947820092663e-06	2.13906021784949e-06
average.Mix_11	5.23132231797516e-07	1.81716200273486e-06	3.15828342540829e-06	3.00666275830496e-06	2.71432494595376e-06	2.87315952769601e-06	1.32549229965141e-06	2.74129560507547e-06	2.90327346621762e-06
average.Mix_12	2.10149404795545e-06	1.18366420199552e-06	2.05628043460655e-06	2.34647427423862e-06	1.6448461779586e-06	1.84714209692674e-06	3.38473358929243e-06	2.52215456772015e-06	1.98620816298436e-06
average.Mix_13	2.57988992256645e-07	2.82188337095768e-06	1.83346090756434e-06	2.54049512292226e-06	1.87550222205457e-06	1.67470798985685e-06	1.57683465693244e-06	3.04352128052635e-06	2.6805354430647e-06
average.Mix_14	0	1.51886826231212e-06	2.29006508739338e-06	3.10551020170733e-06	2.18929669793406e-06	2.01754299100831e-06	4.15410781748337e-06	3.96261085592276e-06	3.12755811515704e-06
average.Mix_15	5.41050876324067e-07	1.61194437001e-06	3.21901194232085e-06	3.34679748577045e-06	2.86306469534638e-06	2.93654278809144e-06	6.4407062517341e-07	3.05763198401405e-06	3.36880255350262e-06
