naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell
average.Mix_1	0	0	0.00202891734093846	0.00290904570338244	0.000933922305319281	0	0.000518688894348791	0.000283973060850108	0
average.Mix_2	0.000732039330186833	0.000354490562515199	0	0	0.000201071072656635	0	0	0.000159976836776699	0
average.Mix_3	0	0	0	0	0.000506680543965193	0	0	0.000287341998904689	0.000642431307003853
average.Mix_4	0	0	0	0	0.000348135452196553	0	0	0.000382935717521416	0.000589584903957261
average.Mix_5	0.00247646706728448	0.00189269360854969	0	0	0.00050118522048493	0	0	0	0
average.Mix_6	0.000128161250223381	2.01073720270476e-05	0.00377142358916368	0.00457039126938986	0.000787289441452981	0	0.00128154453927434	0	0
average.Mix_7	0	0	0	0	0	0	0	0.000236297717566747	0.000504475955736677
average.Mix_8	7.93603083432436e-05	0	0	0	0	0	0	7.04614092426187e-05	0
average.Mix_9	0.000303744326935554	0	0	0	0.00023655587496092	0	0	0.00011020614684412	0
average.Mix_10	0.00103113537883616	0.000632925579829959	0	0	0.0002573551870549	0	0	0	0
average.Mix_11	0	0	0	0	0	0	0	0.000389045699808721	0.000186203454401119
average.Mix_12	0	0	0	0	0.000688881144382971	0	0	0.000528739168619966	0.000615922788148087
average.Mix_13	0.00121237314189358	0.000704609163531394	0	0	0	0	0	0	0
average.Mix_14	0	0	-0.000424686898287734	0	0.000162795884032974	0	0	0.000400027039115511	0.000955056986232714
average.Mix_15	0	0	0	0	0	0	0	0.00043075412645999	0.000620831059220869
average.Mix_16	0	0	0	0	0	0	0	6.88952930670515e-05	0
average.Mix_17	0	0	0	0	0	0	0	0.000235381778824567	0.000407258158692372
average.Mix_18	0	0	0	0	0	0	0	0.000528621407361342	0.0006148481081324
average.Mix_19	0	0	0	0	0.000644902021448982	0	0	0.00012126256562465	6.29026324583046e-05
average.Mix_20	0.000481882062490641	0.000100076824620085	0	0	0	0	0	0	0
average.Mix_21	0.000157124143871615	0	0	0	0	0	0	0	0
average.Mix_22	0	0	0.000786260898030845	0.00113589281363025	0.000499966795822276	0	0	9.54583972165701e-05	0
average.Mix_23	0.00156359474675581	0.000996792684049316	0	0	0	0	0	0	0
average.Mix_24	0	0	0	0	0	0	0	0.000476492044920628	0.000921225259190305
average.Mix_25	0.000979935366983247	0.000443256418463247	-0.00017003390210106	0	0	0	0	0	0
average.Mix_26	0	0	0	0	0	0	0	0.00015117024590049	0.000266864469986104
average.Mix_27	0.000258178901818413	0	0	0	0	0	0	0	0
average.Mix_28	0	0	0	0	0.00022930664802871	0	0	0.000140217104457864	0
average.Mix_29	0.000179211037938142	0	0	0	0	0	0	6.51885807600302e-05	6.47710298934416e-05
average.Mix_30	0	0	-5.33782455677247e-05	0	0.000350702258209616	0	0	0.000135112551956499	0.000422779330260543
average.Mix_31	0.000168055303707791	0	0	0	0	0	0	6.3089562610669e-05	0
average.Mix_32	0	0	0	0	0	0	0	0.000481108712437515	0.000597606269804574
average.Mix_33	0	0	0	0	0	0	0	0.000393241476945779	0.000621984111824318
average.Mix_34	0.000396847930332788	0.000157141027206515	0.00132677375068964	0.00228789050215457	0.000619594042496786	0	9.77411148620216e-05	0	0
average.Mix_35	0	0	0	0	0.000379432305699667	0	0	0.000356496566753389	0.000284543683127485
average.Mix_36	0.000100231599672567	0	0	0	9.01738211657361e-07	0	0	8.22370698001828e-05	0
