Bcells	CD4_Tcells	CD8_Tcells	Endothelial	CAFs	Macrophages
average.mix_1	0	9.95445049473709e-05	0.000350280675410341	7.17625481371725e-05	0.000263790293631953	0.00103018771724327
average.mix_2	0	0	0.000217265673408484	0	0.000216552057123905	0.00141059707258775
average.mix_3	0.00046147170412408	0.000607868201467869	0.000262745954701035	0.000320084763900568	0.000266887707547643	0
average.mix_4	0.000418496274794704	0.00046570325919957	0.000301142644994035	0.000296345823171441	0.000240515806390909	0
average.mix_5	0.000439167398601985	0.00062665694969988	0.000505412381909798	0.000430585328114361	0.000328227294539623	0
average.mix_6	0.000114668100984123	0.000321474406621397	0.000253886278985958	0.000151805304919289	0.000292781257078237	0
average.mix_7	0.000695709208276692	0.000449910257246699	0.000226391761670701	0.000281635816566694	0.000169794732982289	0
average.mix_8	0.000218976491437541	8.04252406894282e-06	0	0	8.16145343959368e-05	0.000378386461382396
average.mix_9	0	0.000451065717159319	0.000611256269874435	0.000246239896882322	0.00034699461431684	0
average.mix_10	0.00071332665616357	0.000297018800708616	2.57496900888181e-05	0.000159385726008838	0.0001023555165484	0
average.mix_11	0	0	0.000229891122912397	0	0.000218678438082735	0.00134267538818234
average.mix_12	0	0.000245334229646053	0.000371044161926875	4.55478795908708e-05	0.000284456103859184	0
average.mix_13	0.000962977916080048	0.00042132342000481	0.00026556259264977	0.000350127563132941	0.000117790111665081	0
average.mix_14	0.000829263128183188	0.000326510545540955	7.67372341930471e-05	0.000226050390951206	9.83648047549926e-05	0
average.mix_15	0.000956737367224753	0.000776682968574164	0.000812314316645455	0.000619183370371816	0.000279545488995011	0
average.mix_16	0.000387918945227552	0.000430699650999505	0.000124478361278448	0.000190701333216235	0.000216038616734542	0
average.mix_17	0.00114049259785187	0.000155340293070935	0	0.00023771198604488	0	0
average.mix_18	0	0	0	0	0.000187746264342773	0.00199609150969572
average.mix_19	0.000295016108083161	0.000280724683797776	0.000215454206336913	0.000152589323571999	0.000244428907716348	0
average.mix_20	0.000461765925178711	0.000777121440413689	0.000527661456479848	0.000489711602436629	0.000335661490597405	0
