naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	myeloid_dendritic_cell	plasma_cell	plasmacytoid_dendritic_cell
average.mix_1	0	0	0	0	0.00140065462532751	0.00120782526513692	0	0.000519928420305262	0.00299635741376028	0	0	0	0	0	0	0	0	0	0	0
average.mix_2	0.00185947755829267	0.00115342497471031	0	0	0.00255710038968495	0.000246554585135595	0	0	0	0	0	0	0.000884844908156871	0.0032928355155403	5.5950204613712e-05	0	0	0.000309435171937013	0.00070475844940559	0
average.mix_3	0	0	0	0	0.00078797546204256	0	0	0	0	0.00241839792601189	0.00280264599323152	0.00208500202033543	0.000395222904653301	0	0	0	0.00120267143386075	0.001232876137197	0	0
average.mix_4	0.000170621076639855	6.96965066822046e-05	0	0	0.000492064476041028	0	0	0.000948795589568416	0.00153904797469775	0	0	0	0	0	0	0.00161298550802636	0	0	0	0
average.mix_5	0	0	0	0	0.000644409681711489	0	0	0	3.24449240187014e-05	0	0	0	0	0	0	0	0	0	0	0
average.mix_6	0	0	-0.000397142210355049	0	0.000340696171947037	4.8112853233042e-05	-0.000407674553740876	0.000799179344897544	0.00185043337507253	0	0	0	0	0	0	0.00130265377350806	0	0	0	0
average.mix_7	0	0	0	0	0.000725314692226071	0	0	0	0	0	0	0	0.000312197760128427	0	0	0	0	0	0	0
average.mix_8	0	0	0	0	0.000450188340291519	0	-0.000413165688010682	0	0	0	0	0	0	0	0	0	0	0	0	0
average.mix_9	0.000144407902151194	2.09771783702818e-06	0	0	0.000808900139110019	0.000909985209863843	0	0.00144549763405277	0.00326620157796132	0	0	0	0	0	0	0.00339114692226382	0	0	0	0
average.mix_10	0.00175267160835796	0.00140543452444972	0	0	0.00134530889824205	0	0	0.000676205106758616	0	0	0	0	2.91330990507157e-05	0	0.000926405014283655	0	0	0.00117035380207366	0	0
average.mix_11	0.00207828786222527	0.00126824650026299	0	0.00100211891544872	0.00258606013215621	0.00204808218732503	0	0.00104683656779439	0.00321665752347302	0	0	0	0	0	0.00118927914058518	0.000576674596112205	0	0.000730262714145311	0.00060795303175931	0
average.mix_12	0	0	0	0	0	0	0	0.000177801186093394	0.0001617255711165	0	0	0	0	0	0	0	0	0	0	0
average.mix_13	0	0	0	0	0	0	0	0.00118487387224132	0.000167302070859665	0	0	0	0	0	0	0.000633716963943034	0	0	0	-6.26878252153484e-06
average.mix_14	0.00118798821067111	0.000861675903211706	0	0	0.00100702456882687	0.000642273102655845	0	0.0015754245220876	0.00188943827767158	0	0	0	0	0	0.000945529852358919	0.00248329265444626	0	4.29864158603481e-05	0	0
average.mix_15	0	0	0	0	0.000453002882607042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
average.mix_16	0.000600516196105959	0.000647354074979324	0	0	0.00026396254139167	0	0	0	0	0	0	0	0	0	0	0	0.00167794862557269	0.000558515411581208	0.00138605375918154	0.000412712678194268
average.mix_17	0	0	0	0	0	0	-0.000544893607673401	0	0	0	0	0	6.93110131767369e-05	0	0	0	0.000815398493765571	0	0	0
average.mix_18	0.000620508130175859	8.32002056107083e-05	0	0	0.000530050433933449	0	0	0.000815152827982037	0	0	0	0	9.0725784077813e-07	0	0.00109741783100935	0	0	0.000608864589686121	0	0
average.mix_19	0	0	0	0	0.00029414496361272	0	0	0	0	0.00108430434131502	0	0.000149181042872364	0.000111810472239862	0	0	0	0.000431381159234449	0.00061200292011227	0	0
average.mix_20	0.00104022220884014	0.000564880079955995	0	0	0.000750604705172173	0.000365926595527889	0	0.000978474639611259	0.00115465065758753	0	0	0	0	0	0	0.000553403721210273	0	0	0	0
average.mix_21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
average.mix_22	0	0	0	0	0.00156201109097143	0.000442968208234137	0	0.00102869408832709	0.00219344213909768	0	0	0	0	6.81363476187109e-05	0	0.00105621656161319	0	0.000264330343132849	0	0
average.mix_23	0.00108025640404412	0.000536057305326669	0	0	0.00101572065194907	0.00112477331546282	0	0.00141450402296318	0.00228412980314057	0	0	0	0	0	0.000645956081781141	0.00205272458718626	0	0	0	0
average.mix_24	0	0	0	0	0	0	-0.00052886288653831	0	0	0	0	0	0	0	0	0	0	0	0	0
average.mix_25	0.0005937295546314	0.000324718818800922	0	0	0.000614326983462513	0.000805069478094898	0	0.00152364038051863	0.00251896928131334	0	0	0	0	0	0	0.003028247972771	0	0	0	0
