Chondrocyte.articular,B.cell.naive,B.cell.memory,Monocyte.CD14,NK.cell.CD56,Endothelial.large.blood.vessel,Endothelial.microvascular.mammary.or.endometrial,Endothelial.microvascular.non.reproductive,Epithelial.cell.mammary,Epithelial.renal.cortical,Epithelial.respiratory,Fibroblast.cardiac.ventricle,Fibroblast.of.arm,Fibroblast.of.lung,Fibroblast.of.the.aortic.adventitia,Fibroblast.or.papilla.dermal.cell,Hair.follicular.keratinocyte,Macrophage,Mature.neutrophil,Melanocyte.of.skin,Myometrial.cell,Osteoblast,MSC.like.pluripotent.cell,Myocyte.regular.cardiac,Smooth.muscle.cell.aortic,Smooth.muscle.cell.bronchial,Smooth.muscle.cell.of.bladder,Smooth.muscle.cell.coronary.artery,Smooth.muscle.cell.pulmonary.artery,Smooth.muscle.cell.of.trachea,Smooth.muscle.cell.uterine,T.Cell.CD4,T.cell.CD4.memory,T.cell.CD8.memory
mix_1,0,0,0,0,0,0,0,0,0,0,0,0,0.212146339166761,0,0.0194953746819458,0,0.162897845597237,0.0691469200322756,0.101252980906454,0,0,0,0,0.0502575237664458,0,0,0,0,0,0.15871904624947,0,0,0.226083969599415,0
mix_2,0,0,0,0,0,0,0,0,0,0,0,0,0.211199083102066,0,0.0310251284126375,0,0.166802382602323,0.057823018078079,0.0874446421100245,0,0,0,0,0.0419296067186661,0,0,0,0,0,0.158297559972102,0,0,0.2454785790041,0
mix_3,0,0,0,0,0,0,0,0,0,0,0,0,0.227409626715717,0,0.039535619537514,0,0.16318690972442,0.0993021563140613,0.076382910918628,0,0,0,0,0.0340309226679014,0,0,0,0,0,0.148175540782561,0,0,0.211976313339194,0
mix_4,0,0,0,0,0,0,0,0,0,0,0,0,0.210994971293805,0,0.0163813096233258,0,0.162365093485338,0.042526977178328,0.097351043927211,0,0,0,0,0.051097169177341,0,0,0,0,0,0.164609422149218,0,0,0.254674013165425,0
mix_5,0,0,0,0,0,0,0,0,0,0,0,0,0.219997905771833,0,0.024732244888961,0,0.160898805690079,0.069152346194563,0.0877549952855202,0,0,0,0,0.0438832713226973,0,0,0,0,0,0.158687227991112,0,0,0.234893202855232,0
mix_6,0,0,0,0,0,0,0,0,0,0,0,0,0.213544336434276,0,0.0179203762759266,0,0.162283117476625,0.0437267980912204,0.0945543465734821,0,0,0,0,0.049578203090437,0,0,0,0,0,0.163821308131561,0,0,0.254571513926473,0
mix_7,0,0,0,0,0,0,0,0,0,0,0,0,0.223274361383722,0,0.0311141301100602,0,0.161407590218115,0.0789263632021306,0.080990207244038,0,0,0,0,0.0388587793886999,0,0,0,0,0,0.156269519793915,0,0,0.229159048659328,0
mix_8,0,0,0,0,0,0,0,0,0,0,0,0,0.22318437762853,0,0.0310244141398884,0,0.161756127778698,0.0783858151854019,0.0815985668799068,0,0,0,0,0.0394123117976997,0,0,0,0,0,0.156360659102258,0,0,0.228277727487619,0
mix_9,0,0,0,0,0,0,0,0,0,0,0,0,0.20629604508253,0,0.00982098730791401,0,0.161997113081307,0.0331742311600686,0.104263598679828,0,0,0,0,0.0560272025249667,0,0,0,0,0,0.169087416712409,0,0,0.259333405450973,0
mix_10,0,0,0,0,0,0,0,0,0,0,0,0,0.210282083881886,0,0.0201117362352699,0,0.164898840678472,0.0699681966306941,0.0961671300074575,0,0,0,0,0.0483188854725305,0,0,0,0,0,0.159477654842256,0,0,0.230775472251431,0
