CD38.negative.naive.B.cell,memory.B.cell,CD14.positive..CD16.negative.classical.monocyte,cytotoxic.CD56.dim.natural.killer.cell,mature.neutrophil,memory.CD4.positive.alpha.beta.T.cell,CD4.positive..alpha.beta.T.cell,memory.CD8.positive.alpha.beta.T.cell
mix_1,0.0342440127955655,0.308561549264396,0,0.0857167638171845,0.125394913820294,0,0.446082760302559,0
mix_2,0.0404775016500502,0.312213996292318,0,0.0770629007044895,0.118156370115749,0,0.452089231237392,0
mix_3,0.0442956283245158,0.314461684873436,0,0.0698140763880726,0.119297501022878,0,0.452131109391098,0
mix_4,0.0385947778485728,0.310812605486025,0,0.0798244487207091,0.121917907567658,0,0.448850260377036,0
mix_5,0.0380871449272723,0.311345590516356,0,0.0800985741182609,0.120362306292164,0,0.450106384145948,0
mix_6,0.0374948575232034,0.310554162923041,0,0.0820152734175213,0.120371076426735,0,0.449564629709499,0
mix_7,0.0399520374017826,0.312965074649928,0,0.0762623329567127,0.118617580185079,0,0.452202974806498,0
mix_8,0.0377594662581885,0.312189458992495,0,0.0798983288709632,0.11866042753636,0,0.451492318341992,0
mix_9,0.0340438391659651,0.309969137039293,0,0.0852678087035957,0.123725395816376,0,0.44699381927477,0
mix_10,0.0458853767020929,0.313781231683868,0,0.0667018714814519,0.125544172719214,0,0.448087347413373,0
mix_11,0.0361497566601973,0.310147963255767,0,0.0816485869540891,0.12859912031383,0,0.443454572816118,0
mix_12,0.037974224856623,0.310927540416967,0,0.0798816751886027,0.121056493418623,0,0.450160066119185,0
mix_13,0.0453324202074466,0.312385506666089,0,0.0697960452171579,0.123463167139541,0,0.449022860769765,0
mix_14,0.0396404421265371,0.311280732592692,0,0.0759372380419596,0.128411750545756,0,0.444729836693056,0
mix_15,0.0377570421176484,0.311247569095524,0,0.0805737142791907,0.119659098678183,0,0.450762575829454,0
mix_16,0.0484002282083514,0.314440414489043,0,0.06726444602944,0.113941792130819,0,0.455953119142346,0
mix_17,0.0487915983842713,0.313843668774262,0,0.0669879506303532,0.1149675505556,0,0.455409231655512,0
mix_18,0.049847918381096,0.313950999554271,0,0.0622994426145016,0.125649813590833,0,0.4482518258593,0
mix_19,0.0442173888544555,0.313032329181986,0,0.0712093878252794,0.119833647586355,0,0.451707246551923,0
mix_20,0.039555162133084,0.311957066056517,0,0.0783064175283916,0.119889417975286,0,0.450291936306723,0
mix_21,0.0469228258073228,0.313358424635469,0,0.0683882786267768,0.117331612207777,0,0.453998858722656,0
mix_22,0.038044803976364,0.310860861352388,0,0.0774053751256088,0.130961968150187,0,0.442726991395452,0
mix_23,0.0387948702287346,0.310837853164139,0,0.0786445718256035,0.124948894150172,0,0.44677381063135,0
mix_24,0.0404726835648355,0.31169600854588,0,0.0777914086812155,0.117317543250829,0,0.452722355957241,0
