B.cells.naive,B.cells.memory,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.CD8,Macrophages.M0,Macrophages.M1,Macrophages.M2,Mast.cells.resting,Mast.cells.activated
mix_1,0,0,0,0,0.283917485046272,0.531354215487509,0,0.0456372213951062,0.0451349698292491,0,0.0939561082418628
mix_2,0.00125030903991397,0,0,0,0.25837587190624,0.485053057370752,0,0.063782265956574,0.00400219588491572,0.120285941866411,0.0672503579751937
mix_3,0,0.0128098085374073,0,0.151499126825584,0.176506579528119,0.269789346579617,0,0.132200410318001,0.113375078685833,0.143819649525439,0
mix_4,0,0.00591903760511456,0,0.186957679376019,0.285152445737761,0.39990913326298,0,0.0516049852860337,0.00780221752012239,0.0626545012119694,0
mix_5,0,0,0,0.0456277173898528,0.278981474382101,0.484860513286282,0,0.0734709331296185,0.0281989340260258,0.0609279738844223,0.0279324539016981
mix_6,0,0.000802466546196035,0,0.0894945999075957,0.309000437655766,0.488025880691275,0,0.0619403460338493,0.0170960567586412,0.0336402124066767,0
mix_7,0,0.00358145684566437,0,0.0428811013357996,0.239400325058512,0.44671305302275,0,0.0901861005316249,0.0290409639544399,0.114832759380856,0.0333642398703529
mix_8,0,0,0,0,0.258041195114624,0.50235842328442,0,0.0762990665289228,0.00947127201552306,0.0686617352953068,0.0851683077612034
mix_9,0,7.73229739338549e-05,0,0.0895620167015032,0.317273721348059,0.503395250941704,0,0.0471096360191362,0.0233752189645148,0.019206833051149,0
mix_10,0,0.0367420665154993,0,0.419386246777631,0.1899751421007,0.121833535811175,0,0.0601038554509249,0.0741924477363724,0.0977667056076974,0
mix_11,0,0,0,0,0.287617156430056,0.5185809437214,0,0.0332501096451567,0.0523674623383336,0.0373433555612037,0.0708409723038505
mix_12,0,0,0,0.16245065370027,0.277995929854661,0.413068113393078,0,0.0678028961311134,0.0287379410830993,0.0499444658377792,0
mix_13,0,0.00880432083192591,0,0.404596439366001,0.240741494442362,0.221834754107147,0,0.0560591610141675,0.0405154494170749,0.0274483808213216,0
mix_14,0,0.00864552831512118,0,0.225562276430985,0.274425209102626,0.34950804163882,0,0.0423814932687023,0.058247191341528,0.0412302599022178,0
mix_15,0,0,0,0.0214332615931611,0.294083835080026,0.519795966180242,0,0.0803714540762568,0.0273564356788369,0.0280943121752769,0.0288647352162002
mix_16,0.00470195760359354,0.0733978353928924,0,0.088848778338681,0.18110136700607,0.306779444157908,0.048342370392332,0.177972526773831,0.0413938553739331,0.0774618649607589,0
mix_17,0.0080339107898042,0.0498063161863945,0,0.290798959017864,0.163090307089106,0.151549211337164,0.034557361133868,0.157576153382059,0.0100426341839215,0.13454514687982,0
mix_18,0,0.0419552408817904,0,0.561495460871324,0.148328792932586,0,0,0.056767061538834,0.0659790438730598,0.125474399902407,0
mix_19,0,0,0,0.0806584966972052,0.206914047475592,0.364038428380573,0,0.119849884405549,0.0996051979319054,0.114734456318139,0.0141994887910374
mix_20,0,0.0187797034864601,0,0.153370557360503,0.297755584770276,0.426020960415336,0,0.0607524591546253,0.0196733342483548,0.0236474005644444,0
mix_21,0,0.0274207405054671,0,0.477634591258401,0.191441250350504,0.101410410310033,0.00231437547805127,0.119773754002499,0.0390152807664999,0.0409895973285446,0
mix_22,0,0,0,0.0534542761427462,0.284713446310323,0.46970033311434,0,0.036401734298298,0.0613148417075364,0.0822473263872224,0.012168042039534
mix_23,0,0.00265284866677333,0,0.112206305055276,0.293646037664953,0.455673200228271,0,0.0443504395693278,0.0483054217536654,0.0431657470617337,0
mix_24,0,0.00108703942861911,0,0.159458094928645,0.279488460370337,0.411263982422031,0.00529921835719854,0.0888984281803104,0.0179624275299238,0.0365423487829357,0
mix_25,0,0.0106635269388607,0,0.172963154825072,0.297916491460458,0.431914941237323,0,0.0517610036852474,0.022790271882727,0.011990609970313,0
mix_26,0.00320628948005308,0.0247390400489726,0,0.518740529041197,0.157186987050084,0.0206207570384146,0,0.117949922672485,0.0931623833114782,0.0643940913573162,0
mix_27,0,0,0,0,0.304132477719592,0.556336238324226,0,0.0463757750510536,0.0472131356125932,0.00773814367708643,0.0382042296154498
mix_28,0,0.0030797030486432,0,0.13186783695259,0.293821864320827,0.444730606704661,0,0.0686139977568666,0.0221018366822305,0.0357841545341816,0
mix_29,0,0,0,0,0.280531423362325,0.519100584830353,0,0.0366814398238718,0.034442695309919,0.0623867695958738,0.0668570870776582
