B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8
A	0.0122	0.1265	0.2751	0.049	0.1285	0.0242	0.1722	0.1088	0.0614	0.0421
B	0.042	0.1044	0.298	0.0348	0.125	0.0243	0.1737	0.0654	0.0541	0.0782
C	0.0319	0.0089	0	0	0.0659	3e-04	0.2979	0.3467	0.1335	0.1149
D	0.001	0.0308	0	0.0203	0.0817	0.0017	0.3157	0.3338	0.0804	0.1346
E	0	0.0206	0	0.0426	0.1445	0.0258	0.1365	0.1362	0.0944	0.3995
F	0	0.0305	0.0694	0.4288	0.2673	0.0178	0.1261	0.0564	0.0036	0
G	0	0.0811	0.3809	0.0781	0	0.2736	0.1181	0.0112	0.0571	0
H	0	0.0548	0.7358	0	0.0221	0.0179	0.056	0.0192	0.0942	0
I	0	0.0722	0.7406	0	0.0253	0.023	0.0429	0.0171	0.0789	0
J	0	0.0214	0	0	0.0447	0	0.3639	0.3914	0.1572	0.0213
K	0	0.0184	0	0	0.1142	0	0.1593	0.1265	0.1027	0.4788
L	0	0	0	0.1249	0	0.0084	0.1904	0.4706	0.2057	0
