naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell
Mix_1	0	0	0	0.2412	0.079	0	0	0.1501	0.5298
Mix_2	0.114	0	0	0.1324	0.0164	0	0	0.194	0.5433
Mix_3	0	0	0	0.1162	0.0515	0	0	0	0.8323
Mix_4	0.0112	0	0	0.0784	0.0403	0	0	0	0.8701
Mix_5	0.2515	0	0	0.0938	0.1017	0	0	0	0.553
Mix_6	0.1301	0	0.0592	0.28	0.0314	0	0	0	0.4993
Mix_7	0.0242	0	0	0.0492	0	0	0	0	0.9266
Mix_8	0.0692	0	0	0.1565	0	0	0	0.3054	0.4689
Mix_9	0.1095	0	0	0.1263	0.0218	0	0	0.0317	0.7108
Mix_10	0.177	0	0	0.2141	0.0115	0	0	0	0.5975
Mix_11	0.0592	0	0	0.0674	0.0032	0	0	0.2745	0.5958
Mix_12	0	0	0	0.1907	0.0131	0	0	0.0633	0.7329
Mix_13	0.1863	0	0	0.1278	0	0	0	0	0.6858
Mix_14	0	0	0	0.0055	0.0124	0	0	0	0.9821
Mix_15	0	0	0	0.0604	0	0	0	0.2654	0.6742
Mix_16	0.0665	0	0	0.1258	0	0	0	0.1509	0.6567
Mix_17	0	0	0	0.0634	0	0	0	0.1518	0.7848
Mix_18	0	0	0	0.0506	0	0	0	0.4817	0.4677
Mix_19	0.003	0	0	0.2268	0.042	0	0	0	0.7281
Mix_20	0.1206	0	0	0.1882	0	0	0	0.0792	0.612
Mix_21	0.1047	0	0	0.2312	0	0	0	0.1346	0.5295
Mix_22	0.0045	0	0.0057	0.2614	0.0014	0	0	0	0.727
Mix_23	0.1843	0	0	0.1314	0	0	0	0.1968	0.4874
Mix_24	0	0	0	0.0513	0	0	0	0.3923	0.5563
Mix_25	0.1567	0	0	0.0574	0	0	0	0	0.7859
Mix_26	0.0466	0	0	0.0494	0	0	0	0.1162	0.7879
Mix_27	0.1253	0	0	0.1859	0	0	0	0.0263	0.6625
Mix_28	0.064	0	0	0.2081	0	0	0	0.1234	0.6045
Mix_29	0.0897	0	0	0.0686	0	0	0	0.0825	0.7592
Mix_30	0.0588	0	0	0.0362	0.0528	0	0	0	0.8522
Mix_31	0.0856	0	0	0.113	0	0	0	0.1319	0.6696
Mix_32	0	0	0	0.085	0	0	0	0.4588	0.4562
Mix_33	0	0	0	0.1175	0	0	0	0.2004	0.6822
Mix_34	0.1507	0	0	0.2875	0.0024	0	0	0	0.5593
Mix_35	0.0512	0	0	0.0902	0.0453	0	0	0.0486	0.7647
Mix_36	0.0862	0	0	0.1193	0	0	0	0.0292	0.7653
Mix_37	0	0	0	0.1295	0.0537	0	0	0	0.8168
Mix_38	0	0	0	0.1636	0	0	0	0.1636	0.6728
Mix_39	0.1624	0	0	0.2473	0	0	0	0.3086	0.2818
Mix_40	0.0918	0	0	0.0981	0.0707	0	0	0	0.7394
Mix_41	0.0662	0	0	0.1327	0.0978	0.0561	0	0	0.6472
Mix_42	0.0539	0	0	0.0647	0	0	0	0.1822	0.6993
Mix_43	0.155	0	0	0.2166	0.0326	0	0	0	0.5958
Mix_44	0	0	0	0.1845	0.0891	0	0	0.0854	0.641
Mix_45	0	0	0	0.1479	0	0	0	0	0.8521
Mix_46	0.0813	0	0	0.1211	0	0	0	0.0904	0.7072
Mix_47	0.0928	0	0	0.2361	0.0037	0	0	0	0.6675
Mix_48	0.089	0	0	0.1076	0	0	0	0.0858	0.7177
Mix_49	0	0	0	0.04	0.0816	0.0364	0	0	0.8421
Mix_50	0	0	0	0.0911	0	0	0	0.1496	0.7592
Mix_51	0.0672	0	0	0.1116	0	0	0	0.2006	0.6205
Mix_52	0	0	0	0.0855	0	0	0	0	0.9145
Mix_53	0.0677	0	0	0.1953	0	0	0	0.1007	0.6363
Mix_54	0	0	0	0.2297	0.1734	0.1537	0	0	0.4432
Mix_55	0	0	0	0.1007	0.0667	0.0365	0	0	0.7961
Mix_56	0	0	0	0.1336	0	0	0	0.1057	0.7608
Mix_57	0	0	0	0.0853	0.1301	0.1246	0	0	0.66
Mix_58	0	0	0	0.0899	0	0	0	0.1613	0.7488
Mix_59	0	0	0	0.0891	0.1374	0.1073	0	0	0.6662
Mix_60	0.1662	0	0	0.0296	0	0	0	0	0.8042
Mix_61	0.2134	0	0	0.1853	0.0624	0	0	0	0.5388
Mix_62	0.2403	0	0	0.0582	0.1114	0	0	0	0.5901
Mix_63	0	0	0	0.1978	0.1386	0.1004	0	0	0.5632
