CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
mix_1	0.0057	0.0412	0.4986	0.2163	0.0309	0	0.1453	0.062
mix_2	0	0.0406	0.6387	0.0825	0.0376	0	0.1253	0.0753
mix_3	0.1468	0.0239	0.1241	0.1374	0.0261	0.0625	0.4255	0.0537
mix_4	0.1825	0.0427	0.2682	0.147	0.0262	0.0202	0.2436	0.0695
mix_5	0.106	0.0438	0.2399	0.235	0.0205	0	0.2446	0.1102
mix_6	0.1004	0.037	0.3903	0.1321	0.0254	0	0.2194	0.0953
mix_7	0.2381	0.0447	0.1708	0.1915	0.0242	0.0222	0.2394	0.069
mix_8	0.2088	0.0451	0.4588	0.0047	0.0298	0.0181	0.1824	0.0522
mix_9	0.0198	0.0403	0.3934	0.2523	0.0247	0.0112	0.1999	0.0584
mix_10	0.3074	0.0581	0.2388	0.0062	0.029	0	0.268	0.0925
mix_11	0.026	0.0426	0.5908	0.0948	0.0351	0.0166	0.1664	0.0277
mix_12	0	0.0381	0.5318	0.0755	0.0305	0	0.2273	0.0969
mix_13	0.2904	0.0521	0.164	0.208	0.0266	0.0102	0.2088	0.0398
mix_14	0.3362	0.0662	0.2185	0.0287	0.0249	0	0.2176	0.1079
mix_15	0.2031	0.055	0.087	0.3771	0.0209	0	0.1834	0.0735
mix_16	0.1514	0.0403	0.23	0.1019	0.028	0.0294	0.3439	0.0751
mix_17	0.4808	0.033	0.0229	0.0396	0.0214	0.0461	0.2476	0.1087
mix_18	0.0144	0.0475	0.6678	0.0298	0.0424	0	0.1199	0.0782
mix_19	0.1785	0.0438	0.3686	0.0987	0.0268	0	0.1823	0.1012
mix_20	0.0683	0.0387	0.0252	0.2065	0.0208	0	0.4344	0.206
mix_21	0.2114	0.0596	0.2027	0.0696	0.0249	0	0.2985	0.1332
mix_22	0.1912	0.0452	0.2985	0.2286	0.0215	0	0.1448	0.0702
mix_23	0.2367	0.0377	0.3535	0.0361	0.03	0.0221	0.2235	0.0605
mix_24	0	0.0399	0.6539	0.1364	0.0353	0	0.0886	0.0458
mix_25	0.0196	0.0424	0.4298	0.0131	0.0327	0.0231	0.3337	0.1056
mix_26	0.0282	0.023	0.0317	0.433	0.0182	0.0282	0.3689	0.0688
mix_27	0.1984	0.0551	0.4614	0.1804	0.03	0	0.0449	0.0297
mix_28	0.1431	0.0352	0.0316	0.2006	0.0236	0.0229	0.4057	0.1372
mix_29	0.082	0.0394	0.3475	0.1923	0.0255	0.0166	0.2363	0.0605
mix_30	0.1213	0.0432	0.3585	0.1372	0.026	0.0107	0.2232	0.0799
mix_31	0.0699	0.0466	0.3908	0.074	0.0278	0.0306	0.2999	0.0605
mix_32	0.125	0.0386	0.2678	0.1503	0.0256	0.0195	0.294	0.0791
mix_33	0.1299	0.0381	0.4022	0.1166	0.0312	0.0299	0.2138	0.0383
mix_34	0	0.0386	0.5668	0.1444	0.0325	0	0.1583	0.0594
mix_35	0.0615	0.0473	0.4251	0.1507	0.0257	0	0.1872	0.1024
mix_36	0.2509	0.0384	0.1889	0.0987	0.0282	0.0522	0.3158	0.0268
mix_37	0.2337	0.0505	0.2266	0.0499	0.0293	0.0452	0.326	0.0388
mix_38	0.07	0.0266	0.0737	0.3092	0.0222	0.0654	0.379	0.054
mix_39	0.2533	0.0387	0.0908	0.2846	0.024	0	0.22	0.0886
mix_40	0.143	0.0402	0.4058	0.0643	0.031	0.0353	0.2438	0.0365
mix_41	0.0207	0.044	0.4886	0.1916	0.0289	0	0.152	0.0742
mix_42	0.2952	0.0388	0.0374	0.1448	0.0238	0.0244	0.341	0.0944
mix_43	0	0.0367	0.23	0.3327	0.0189	0.0065	0.2808	0.0944
mix_44	0.0391	0.027	0.1994	0.2511	0.0278	0.0487	0.3569	0.0501
mix_45	0	0.0336	0.3879	0.0144	0.0299	0.0396	0.384	0.1107
mix_46	0.1135	0.0479	0.1144	0.2233	0.0208	0	0.3101	0.17
mix_47	0.1581	0.0434	0.4057	0.0403	0.0314	0.0127	0.2346	0.0739
mix_48	0.175	0.0601	0.4851	0.1975	0.03	0	0.0252	0.0272
mix_49	0.1567	0.053	0.4011	0.1908	0.0288	0	0.1034	0.0663
mix_50	0.2431	0.0363	0.1232	0.0224	0.0272	0.0433	0.4134	0.0912
mix_51	0.1678	0.0478	0.431	0.2017	0.0316	0.0062	0.0912	0.0226
mix_52	0.3	0.0447	0.0577	0.231	0.0213	0.0352	0.2641	0.046
mix_53	0.1713	0.0538	0.4095	0.1745	0.0314	0	0.1281	0.0315
mix_54	0.273	0.0716	0.0704	0.0855	0.0197	0	0.3067	0.1731
mix_55	0.1693	0.039	0.4242	0.146	0.0284	0.0017	0.1548	0.0367
mix_56	0.0952	0.0456	0.2736	0.0038	0.028	0.0386	0.4146	0.1006
mix_57	0	0.029	0.4205	0.1878	0.0268	0.0297	0.2563	0.05
mix_58	0.1049	0.0482	0.2102	0.2311	0.0228	0.0184	0.2771	0.0873
mix_59	0	0.0427	0.4732	0.1786	0.0269	0	0.1736	0.105
mix_60	0.2624	0.059	0.3134	0.0024	0.028	0	0.2298	0.105
mix_61	0.2187	0.0379	0.0312	0.048	0.0292	0.0725	0.4854	0.0771
mix_62	0.1652	0.0308	0.073	0.2287	0.0261	0.0617	0.3789	0.0356
mix_63	0.0106	0.0373	0.4792	0.1092	0.0313	0.0088	0.2473	0.0763
mix_64	0.1676	0.0437	0.4491	0.0066	0.0297	0.0288	0.2233	0.0512
mix_65	0.0936	0.0398	0.2151	0.3622	0.0219	0.0127	0.2013	0.0535
mix_66	0.1633	0.0494	0.4417	0.2055	0.0288	0	0.0718	0.0394
mix_67	0.2462	0.0436	0.0524	0.2705	0.0212	0.0249	0.2723	0.069
mix_68	0.0485	0.0354	0.1096	0.3614	0.0182	0	0.2848	0.142
mix_69	0.1522	0.0469	0.4603	0.0257	0.0324	0.0185	0.2099	0.0542
mix_70	0.2589	0.0434	0.2298	0.3859	0.0248	0.0047	0.0363	0.0162
mix_71	0.2284	0.0619	0.5358	0.0049	0.0301	0	0.0887	0.0503
mix_72	0.4193	0.0483	0.1207	0.0493	0.0262	0.026	0.2615	0.0487
mix_73	0.2489	0.0436	0.1966	0.3136	0.0241	0.0038	0.1133	0.0561
