B_cells	Blood_CD34._cells	Dendritic_cells	Eosinophils	Fibroblasts	Keratinocytes	Lymphatic_endothelial_cells	Macrophages	Monocytes	NK_cells	Neutrophils	Plasma_cells_CD138.	Platelets	Reticulocytes	Subcutaneous_Adipose	T_cells_CD3.	T_cells_CD4.	T_cells_CD8.	T_cells_Gamma_Delta	T_cells_Regulatory	Vascular_Endothelial_Cells
mix_1	0	0	0	0	0	0	0	0	0.5631	0	0.0668	0	0	0	0	0	0	0.3701	0	0	0
mix_2	0	0	0	0	0	0	0	0	0.6654	0	0.0651	0	0	0	0	0	0	0.2695	0	0	0
mix_3	0.1343	0	0	0.0119	0	0	0	0	0.154	0	0.054	0	0	0	0	0.4049	0	0.2409	0	0	0
mix_4	0.1677	0	0	0	0	0	0	0	0.3205	0	0.0708	0	0	0	0	0.139	0	0.302	0	0	0
mix_5	0.1061	0	0	0	0	0	0	0	0.2972	0	0.0597	0	0	0	0	0.0534	0	0.4836	0	0	0
mix_6	0.0868	0	0	0	0	0	0	0	0.4286	0	0.0682	0	0	0	0	0.0722	0	0.3441	0	0	0
mix_7	0.231	0	0	0.0022	0	0	0	0	0.2212	0	0.0658	0	0	0	0	0.1522	0	0.3275	0	0	0
mix_8	0.2228	0	0	0.0071	0	0	0	0	0.4826	0	0.0757	0	0	0	0	0.2083	0	0.0035	0	0	0
mix_9	0	0	0	0	0	0	0	0	0.4606	0	0.0635	0	0	0	0	0.0136	0	0.4623	0	0	0
mix_10	0.3	0	0	1e-04	0	0	0	0	0.2789	0	0.0697	0	0	0	0	0.2724	0	0.0789	0	0	0
mix_11	2e-04	0	0	0.009	0	0	0	0	0.6411	0	0.0596	0	0	0	0	0.0243	0	0.2658	0	0	0
mix_12	0	0	0	0	0	0	0	0	0.5421	0	0.0624	0	0	0	0	0.0927	0	0.3028	0	0	0
mix_13	0.2966	0	0	0.0027	0	0	0	0	0.2267	0	0.072	0	0	0	0	0.0449	0	0.3571	0	0	0
mix_14	0.3171	0	0	0	0	0	0	0	0.2656	0	0.0681	0	0	0	0	0.1808	0	0.1683	0	0	0
