Symbol,CD38.negative.naive.B.cell,memory.B.cell,CD14.positive..CD16.negative.classical.monocyte,cytotoxic.CD56.dim.natural.killer.cell,mature.neutrophil,memory.CD4.positive.alpha.beta.T.cell,CD4.positive..alpha.beta.T.cell,memory.CD8.positive.alpha.beta.T.cell
A,7.64352210288,6.86452,9.65802801885,8.29542664595,9.79669573928,9.44022599586,10.928691523,8.65736429326
B,7.63059753191,6.83841644983,9.57355576,8.17955749894,9.79438823781,9.45285778933,10.9394758424,8.68468900245
C,7.51182439555,6.73852285104,8.82000378646,8.16934278933,9.24745173895,9.62187997548,11.0326611717,8.84651749937
D,7.4932328633,6.81372165652,8.79957761096,8.08408468594,9.29440951052,9.59630988291,11.010513592,8.88514
E,7.56245365246,6.9099,9.04741259236,8.29355495477,9.43456669541,9.54567385916,10.9962737307,8.911298819
F,7.39716046665,6.76584065601,9.26506635219,8.58694831558,9.73491417956,9.39111234804,10.7911431976,8.7287974776
G,7.52002156184,6.80340358822,9.81856628625,8.29654196678,10.3134392776,9.30264365627,10.764995216,8.45264222081
H,7.39722158678,6.86709988165,10.1549073586,7.95626377335,9.99156741145,9.26685304759,10.6917227754,8.4292633494
I,7.38170370572,6.71141850199,10.1241327018,8.01021654197,9.99384316468,9.25841771029,10.7487795646,8.370543871
J,7.47502317144,6.97453479626,8.44685382619,7.98918331051,8.93563110068,9.66595207414,10.9808152122,8.83620333629
K,7.48030128075,7.02030215487,8.33816984656,8.21340645448,9.04789436089,9.53039898047,10.9372954565,8.89389785865
L,7.43817698833,6.86808425733,8.78535602714,8.02634066679,9.29919043114,9.71811857131,10.9295743987,8.82147164849
