Symbol,B cells naive,B cells memory,Monocytes,NK cells resting,NK cells activated,Neutrophils,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells CD8
A,7.34308571429,6.92,8.44958663844,8.45157142857,8.80895099828,8.17424518614,7.545096275,8.06357142857,5.86384104566,7.88085714286
B,7.43214285714,7.04364285714,8.51740627987,8.28195238095,8.74073913043,8.27256818182,7.49365217391,8.16457142857,5.85085287394,8.32814285714
C,6.64443959277,6.23692857143,6.64269230769,8.11763835147,8.43538258866,6.69659090909,8.04434782609,8.74126260522,6.09100856828,8.20467798872
D,6.680148052,6.15371428571,6.64592307692,8.17509439775,8.52257825922,6.65920990833,8.1014594383,8.75019283722,6.00233333333,8.22628571429
E,6.72973446192,6.29614285714,7.33703825507,8.66065716822,9.0612779003,7.30757693006,7.76543527054,8.39795599646,5.84641666667,8.934
F,6.78499639385,6.30264285714,7.60736328417,9.3242515398,9.76583154609,7.65783437709,7.03843478261,7.72614285714,5.73975,7.71542857143
G,7.23937727377,6.90764285714,9.02215988737,8.13886423801,8.06926086957,9.36455120313,7.13595652174,7.71442857143,5.59558333333,7.25814285714
H,6.92188365458,6.59964285714,9.36213383178,7.08957142857,7.36426086957,8.46849610405,6.57904347826,7.31879309174,5.263,7.03557142857
I,6.88873974614,6.81475530929,9.35444208334,7.1889047619,7.2685534905,8.48363936762,6.52326086957,7.41296512958,5.25491666667,7.05381516672
J,6.48154785877,6.13042857143,5.62324283866,7.54251032068,7.99864645014,5.87506818182,8.08835923228,8.78992857143,6.13358333333,7.42465219557
K,6.58837899472,5.94414285714,5.42161538462,8.36521336284,8.75045478228,5.84662146622,7.85765324993,8.5474850096,6.0335,8.77423440274
L,6.18218545101,6.02171428571,6.42353846154,7.99829007504,8.04608695652,6.35992594135,7.80560869565,8.84546404418,6.17099882704,7.45828571429
