naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell
A	5.12327556408344e-207	2.32164280805384e-34	2.39340463729852e-156	4.33888011240965e-116	2.38548542040202e-143	1	4.81143572350056e-82	1.52586301863176e-19	0
B	5.40414540148457e-207	2.36878297416795e-34	2.4006327335612e-156	4.33437123302823e-116	2.63943983325867e-143	1	5.73469777168e-82	1.50173000274964e-19	0
C	5.81817419738449e-207	2.01830754565373e-34	6.73425319141333e-157	3.71645761091696e-116	3.99986008530832e-143	1	3.82071449559309e-82	6.1757975189246e-19	0
D	6.02126449443838e-207	2.20862123441594e-34	6.57436382504266e-157	3.46452137427179e-116	3.65942303275719e-143	1	3.52645212964395e-82	5.77421750652944e-19	0
E	2.99813738005138e-207	1.143254047021e-34	9.0600434176104e-157	2.38854244214846e-116	2.40192121030897e-143	1	2.87182423806117e-82	1.86106114121473e-19	0
F	9.4021753474835e-208	4.73732983001958e-35	4.645556072338e-157	1.13949668103409e-116	9.62560772825586e-144	1	1.47398051768945e-82	1.49386890322373e-20	0
G	9.44837674313282e-207	4.11287158066326e-34	6.71273125001797e-156	1.0039782129077e-115	5.00816768867144e-143	1	3.20790763056628e-81	1.66223626047365e-19	0
H	1.22148690464392e-206	4.65617740099117e-34	1.33710350634863e-155	1.92027529220895e-115	1.04610048634276e-142	1	9.93636007984371e-82	1.91205689525626e-19	0
I	1.41092215957252e-206	5.1699345845846e-34	1.60884268680818e-155	2.22077201857143e-115	1.19225109466154e-142	1	1.37379273560776e-81	2.22858108459843e-19	0
J	1.77600838961887e-206	7.60077235621593e-34	7.68041693610041e-157	8.25245132214034e-116	1.3739740666789e-142	1	4.74601761701306e-82	2.1223635228424e-18	0
K	4.36941292556893e-207	2.30720472809217e-34	1.33254534828891e-157	2.3061548535877e-116	4.92668148251387e-143	1	2.2337495765304e-82	3.57545154750849e-19	0
L	1.00740122944769e-206	2.40518193228684e-34	1.53006174038582e-156	7.54745050220596e-116	1.31732275395519e-142	1	8.18562432050098e-82	1.89565622637237e-18	0
