Bcells	CD4_Tcells	CD8_Tcells	Endothelial	CAFs	Macrophages
S10001	7.8032504641816e-24	0.999999999999893	1.07361102251266e-13	5.56821896547628e-58	4.59626375245706e-151	1.73266619090329e-213
S10006	8.59236226175716e-24	0.999999999999881	1.18534858332203e-13	5.96022859109203e-58	4.84493011007157e-151	1.74444043809093e-213
S1001	8.16751996216487e-24	0.999999999999878	1.21683404878311e-13	5.32807121856683e-58	4.33053684244715e-151	1.73163886622686e-213
S10010	7.92542631393802e-24	0.999999999999877	1.2293991361613e-13	5.21335059570515e-58	4.28992341848932e-151	1.9358650658867e-213
S10011	7.29786719571262e-24	0.999999999999897	1.02583567809452e-13	5.24812707535442e-58	4.2533946032221e-151	1.63449396467937e-213
S10014	8.38028864626374e-24	0.999999999999875	1.24578116150096e-13	5.80667413472758e-58	4.8499753262489e-151	1.80245367061256e-213
S10026	8.85015027156254e-24	0.999999999999873	1.26925507705009e-13	5.11568309412189e-58	4.1295674780941e-151	1.74143184914791e-213
S10032	9.19254414584889e-24	0.999999999999878	1.21773158628747e-13	5.31357303413762e-58	4.29318750837774e-151	1.94433245753757e-213
S10036	8.32473190917561e-24	0.999999999999877	1.22732367312199e-13	5.68324308147845e-58	4.69039771563674e-151	1.68302275104848e-213
S10042	8.42691779965942e-24	0.999999999999879	1.20906990245721e-13	5.25565449904673e-58	4.21245381354649e-151	1.7945754239502e-213
S10044	8.71230529656833e-24	0.999999999999873	1.27091775447345e-13	5.10859152284746e-58	3.98864583200408e-151	1.68536239277518e-213
S10049	9.18357566584374e-24	0.999999999999873	1.26702746362661e-13	5.17239003536358e-58	4.21000031495318e-151	1.69575918136746e-213
S10057	7.75173451235347e-24	0.999999999999886	1.14470665986585e-13	6.40526248705042e-58	5.5555345371856e-151	1.64995614799061e-213
S10062	8.23830629488122e-24	0.999999999999884	1.15774864021129e-13	5.12394638932613e-58	4.18475372840465e-151	1.76303081441526e-213
S10066	7.39794108944238e-24	0.99999999999989	1.10085576608273e-13	5.25524742467394e-58	4.29552034272482e-151	1.97166967941114e-213
S10067	8.47901410371749e-24	0.999999999999875	1.25340073265854e-13	5.02702322576726e-58	4.07514214744702e-151	1.51627848439904e-213
S1007	8.05286736630016e-24	0.999999999999891	1.08617260842378e-13	5.72180796212416e-58	4.65660994471538e-151	1.69222860441307e-213
