CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT
mix_1	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_2	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_3	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_4	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_5	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_6	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_7	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_8	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_9	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_10	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_11	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_12	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_13	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_14	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_15	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_16	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_17	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_18	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_19	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_20	NA	0	NA	NA	NA	NA	NA	NA	NA
mix_21	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_22	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_23	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_24	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_25	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_26	NA	0	NA	NA	NA	NA	NA	NA	NA
mix_27	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_28	NA	NA	NA	NA	NA	NA	NA	NA	NA
mix_29	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_30	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_31	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_32	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_33	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_34	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_35	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_36	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_37	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_38	NA	0	NA	NA	NA	NA	NA	NA	NA
mix_39	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_40	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_41	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_42	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_43	NA	0	NA	NA	0	NA	NA	NA	NA
mix_44	NA	0	NA	NA	0	NA	NA	NA	NA
mix_45	NA	0	NA	NA	0	NA	NA	NA	NA
mix_46	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_47	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_48	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_49	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_50	NA	NA	NA	NA	NA	NA	NA	NA	NA
mix_51	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_52	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_53	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_54	NA	NA	NA	NA	0	NA	NA	NA	NA
mix_55	NA	NA	NA	NA	0	NA	NA	NA	NA
