B_cells	Monocytes_CD14.CD16.	Monocytes_CD16.CD14.	NK_cells	Neutrophils	T_cells_.CD4..	T_cells_.CD8..
mix_1	1.3955251945349e-75	1	1.11848972661361e-65	0	0	2.4551088443108e-80	2.34244618880747e-55
mix_2	7.58496824696618e-109	1	1.91066606108746e-83	0	0	7.93662833915078e-113	2.87730429370305e-82
mix_3	0.999999999999949	1.24438354946736e-67	5.85692841565315e-73	0	0	5.05206878887627e-14	5.65841137147302e-23
mix_4	1	3.38058847578554e-41	1.95318583869987e-70	0	0	4.92854727237693e-48	5.39825857935036e-38
mix_5	0.999999995210406	2.295953182321e-31	9.31050332748453e-54	0	0	1.05041483903911e-24	4.78959355616430e-09
mix_6	5.01439026742106e-15	0.999999999999995	6.40702990297573e-46	0	0	3.43264653429458e-38	7.59164978732513e-19
mix_7	1	1.77207273963688e-93	5.35767536565974e-104	0	0	3.04365530634338e-70	8.64683803613101e-64
mix_8	0.999413911066737	0.000586088933263243	1.06550017660271e-59	0	0	3.32025540123412e-67	2.3280615117572e-50
mix_9	1.31821028782523e-45	1	3.94556770414314e-50	0	0	4.75471260354513e-43	3.27120577803778e-26
mix_10	1	6.3921495103408e-93	2.77996681315904e-113	0	0	4.57817043518879e-89	5.11106279538953e-77
mix_11	4.47658288947748e-91	1	1.94820984009e-76	0	0	4.28624434186286e-100	1.63296865885942e-76
mix_12	7.04176079540894e-80	1	7.56709980471678e-65	0	0	7.59229592912514e-70	9.46386787606459e-48
mix_13	1	3.01223293352993e-117	1.83789337547054e-128	0	0	1.97646809634024e-105	2.91529023761735e-94
mix_14	1	7.38880955374815e-110	1.27426703113031e-127	0	0	1.40629188370684e-102	3.1172477419619e-87
mix_15	1	5.83654035943559e-117	4.96781459243786e-114	0	0	1.37424816818665e-77	1.38678011662892e-60
mix_16	1	2.71795546137696e-47	1.5928768797667e-69	0	0	1.77288613046683e-32	6.80422071705491e-30
mix_17	1	5.11308659478596e-224	2.15766021455346e-201	0	0	2.98134035160586e-141	5.51642341243451e-141
mix_18	2.80560700458329e-108	1	4.87027254688919e-88	0	0	7.11161791842573e-123	1.52829233680178e-91
mix_19	0.999999999999023	9.76970913028782e-13	2.73081001924785e-56	0	0	2.3083006660908e-50	1.20827782856694e-28
mix_20	1.90332823412166e-23	1.0608062938916e-98	1.88911113195719e-83	0	0	0.000324575841426097	0.999675424158574
mix_21	1	1.59963906200993e-74	9.59013339042859e-92	0	0	1.69416212533526e-54	4.97734060155524e-42
mix_22	1	1.28476390662319e-34	1.44926636314518e-70	0	0	2.7048329731963e-65	2.57427787895263e-43
mix_23	1	1.30604882667486e-33	9.99045271336696e-75	0	0	3.67602999692708e-67	1.85247709662007e-54
mix_24	6.27732712372012e-122	1	1.28477506873312e-89	0	0	3.80759100591327e-131	2.97941002745742e-97
mix_25	4.09338928194417e-42	1	5.40451263046548e-48	0	0	1.81078285680132e-30	3.56509022879357e-20
mix_26	8.31262796668804e-36	3.30309093035062e-85	3.07162960188739e-73	0	0	0.999999040200581	9.59799418627613e-07
mix_27	0.000279903395772044	0.999720096604228	1.15272051141455e-65	0	0	2.80813498679609e-96	1.08990342708795e-65
mix_28	0.999999999999661	2.38134765092812e-102	5.31302295831995e-88	0	0	3.38574799815222e-13	4.36950653988482e-17
mix_29	9.58131550478755e-14	0.999999999999902	5.24011071348833e-42	0	0	6.67722564795162e-31	2.03488920914996e-15
mix_30	0.998660459461732	0.00133954053826809	2.95588839089341e-44	0	0	2.44935972315589e-32	7.56584021039064e-17
mix_31	1.88141576389744e-23	1	3.0356482762863e-46	0	0	1.97256585833131e-34	1.68396560929859e-25
mix_32	1	3.75658241388319e-26	2.03867663355613e-53	0	0	1.22725063879386e-25	6.76669104992378e-17
mix_33	1.27355271700444e-07	0.999999872644728	5.97725877498572e-50	0	0	1.68375096230206e-47	7.02596465372565e-35
mix_34	3.82402862174399e-93	1	7.8334266002315e-74	0	0	1.07908427730351e-92	1.20669274920838e-67
mix_35	2.58821614348691e-36	1	4.59595649729104e-52	0	0	1.8636496626736e-50	1.50417462596562e-25
mix_36	1	6.26441071491142e-95	1.15788314847935e-107	0	0	4.26475857510536e-70	1.84232494558669e-75
mix_37	1	6.54323795304121e-79	4.74798671868627e-99	0	0	1.39751461653672e-65	1.61800812885037e-67
mix_38	4.24794445092718e-15	1.58381257261043e-71	1.43556395217937e-68	0	0	0.999999999999771	2.2461714095176e-13
mix_39	1	5.98404044303064e-126	1.09653531781305e-123	0	0	3.02019350238745e-82	8.96922800023326e-71
mix_40	0.113524965262912	0.886475034737089	2.13017916670985e-48	0	0	6.04479092211537e-42	6.77286379535045e-34
mix_41	4.6118420729211e-65	1	4.75508303235933e-63	0	0	4.68047991400368e-74	5.57345607745689e-47
mix_42	1	7.27205420368888e-150	2.04824955566877e-135	0	0	9.41107256540942e-73	3.23911895705917e-75
mix_43	7.2742927158416e-37	2.5332216614019e-27	5.23408788486235e-49	0	0	2.00472609493155e-13	0.9999999999998
mix_44	1.59222714595694e-16	1.21766987526172e-27	8.32658708623452e-45	0	0	0.999912012491625	8.79875083747261e-05
mix_45	2.4628568812678e-45	0.999999999996548	3.30369448264863e-44	0	0	1.05126450130796e-16	3.45242534170296e-12
mix_46	0.996678196153111	6.6884448417352e-66	6.2480107335189e-69	0	0	9.72747674864957e-17	0.00332180384688905
mix_47	0.994403322605663	0.00559667739433699	6.02171245705308e-50	0	0	1.73649687046059e-44	1.28819349496778e-29
mix_48	4.29949757162721e-21	1	3.85343932744269e-69	0	0	2.01008056050316e-105	1.98154772542045e-73
mix_49	0.589162084298103	0.410837915701897	7.2426677734485e-51	0	0	4.15888037034542e-60	1.98693339936225e-35
mix_50	1	2.65138717353958e-99	8.5515121332204e-102	0	0	1.54778667908948e-43	1.53155459822769e-50
mix_51	7.94312431546894e-06	0.999992056875684	8.18733893723624e-60	0	0	3.97215501706692e-81	4.67929665339185e-57
mix_52	1	4.79356393918635e-154	4.91751805088224e-143	0	0	4.3186492306115e-93	2.09841677645027e-95
