B.cells.naive	B.cells.memory	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8	Macrophages.M0	Macrophages.M1	Macrophages.M2	Mast.cells.resting	Mast.cells.activated
mix_1	0	0	0	0	0	0	0	0	0	NA	0
mix_2	0	0	0	0	0	0	0	0	0	NA	0
mix_3	0	0	0	0	0	0	0	0	0	1	0
mix_4	0	0	0	0	0	0	0	0	0	NA	0
mix_5	0	0	0	0	0	0	0	0	0	NA	0
mix_6	0	0	0	0	0	0	0	0	0	NA	0
mix_7	0	0	0	0	0	0	0	0	0	1	0
mix_8	0	0	0	0	0	0	0	0	0	NA	0
mix_9	0	0	0	0	0	0	0	0	0	NA	0
mix_10	0	0	0	0	0	0	0	0	0	NA	0
mix_11	0	0	0	0	0	0	0	0	0	NA	0
mix_12	0	0	0	0	0	0	0	0	0	NA	0
mix_13	0	0	0	0	0	0	0	0	0	1	0
mix_14	0	0	0	0	0	0	0	0	0	NA	0
mix_15	0	0	0	0	0	0	0	0	0	1	0
mix_16	0	0	0	0	0	0	0	0	0	NA	0
mix_17	0	0	0	2.43381113446391e-16	0	0	0	0	0	1	0
mix_18	0	0	0	0	0	0	0	0	0	NA	0
mix_19	0	0	0	0	0	0	0	0	0	NA	0
mix_20	0	0	0	4.97203922458108e-63	0	0	0	0	0	1	0
mix_21	0	0	0	0	0	0	0	0	0	1	0
mix_22	0	0	0	0	0	0	0	0	0	NA	0
mix_23	0	0	0	0	0	0	0	0	0	NA	0
mix_24	0	0	0	0	0	0	0	0	0	NA	0
mix_25	0	0	0	0	0	0	0	0	0	NA	0
mix_26	0	0	0	1.52834984190842e-75	0	0	0	0	0	1	0
mix_27	0	0	0	0	0	0	0	0	0	NA	0
mix_28	0	0	0	7.08677199820378e-52	0	0	0	0	0	1	0
mix_29	0	0	0	0	0	0	0	0	0	NA	0
mix_30	0	0	0	0	0	0	0	0	0	NA	0
mix_31	0	0	0	0	0	0	0	0	0	NA	0
mix_32	0	0	0	0	0	0	0	0	0	NA	0
mix_33	0	0	0	0	0	0	0	0	0	NA	0
mix_34	0	0	0	0	0	0	0	0	0	NA	0
mix_35	0	0	0	0	0	0	0	0	0	NA	0
mix_36	0	0	0	0	0	0	0	0	0	1	0
mix_37	0	0	0	0	0	0	0	0	0	NA	0
mix_38	0	0	0	4.22293959694086e-252	0	0	0	0	0	1	0
mix_39	0	0	0	7.16910404639182e-307	0	0	0	0	0	1	0
mix_40	0	0	0	0	0	0	0	0	0	NA	0
mix_41	0	0	0	0	0	0	0	0	0	NA	0
mix_42	0	0	0	7.3245616526644e-113	0	0	0	0	0	1	0
mix_43	0	0	0	0	0	0	0	0	0	NA	0
mix_44	0	0	0	0	0	0	0	0	0	1	0
mix_45	0	0	0	0	0	0	0	0	0	NA	0
mix_46	0	0	0	0	0	0	0	0	0	1	0
mix_47	0	0	0	0	0	0	0	0	0	NA	0
mix_48	0	0	0	0	0	0	0	0	0	NA	0
mix_49	0	0	0	0	0	0	0	0	0	NA	0
mix_50	0	0	0	0	0	0	0	0	0	1	0
mix_51	0	0	0	0	0	0	0	0	0	NA	0
mix_52	0	0	0	6.87465655548308e-168	0	0	0	0	0	1	0
mix_53	0	0	0	0	0	0	0	0	0	NA	0
mix_54	0	0	0	4.80800408859894e-152	0	0	0	0	0	1	0
mix_55	0	0	0	0	0	0	0	0	0	NA	0
mix_56	0	0	0	0	0	0	0	0	0	NA	0
mix_57	0	0	0	0	0	0	0	0	0	NA	0
mix_58	0	0	0	0	0	0	0	0	0	NA	0
mix_59	0	0	0	0	0	0	0	0	0	NA	0
mix_60	0	0	0	0	0	0	0	0	0	NA	0
mix_61	0	0	0	4.92451446430803e-61	0	0	0	0	0	1	0
mix_62	0	0	0	1.28056246973865e-189	0	0	0	0	0	1	0
mix_63	0	0	0	0	0	0	0	0	0	NA	0
mix_64	0	0	0	0	0	0	0	0	0	NA	0
mix_65	0	0	0	0	0	0	0	0	0	NA	0
mix_66	0	0	0	0	0	0	0	0	0	NA	0
mix_67	0	0	0	5.97999314591584e-170	0	0	0	0	0	1	0
mix_68	0	0	0	0	0	0	0	0	0	1	0
mix_69	0	0	0	0	0	0	0	0	0	NA	0
mix_70	0	0	0	0	0	0	0	0	0	NA	0
mix_71	0	0	0	0	0	0	0	0	0	NA	0
mix_72	0	0	0	0	0	0	0	0	0	1	0
mix_73	0	0	0	0	0	0	0	0	0	NA	0
mix_74	0	0	0	0	0	0	0	0	0	NA	0
mix_75	0	0	0	0	0	0	0	0	0	NA	0
mix_76	0	0	0	0	0	0	0	0	0	NA	0
mix_77	0	0	0	2.67061223691479e-114	0	0	0	0	0	1	0
mix_78	0	0	0	0	0	0	0	0	0	NA	0
mix_79	0	0	0	0	0	0	0	0	0	NA	0
mix_80	0	0	0	0	0	0	0	0	0	NA	0
