	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	0	0	0.220213997761	0	0.501155506333	0.0948248023708
B	0	0	0.235169564377	0	0.454413334437	0.106767566777
C	0	0	0.200039034045	0	0.744958917098	0.0
D	0	0	0.189372713544	0	0.760872939464	0.0
E	0	0	0.238154926535	0	0.60680003582	0.0725036944766
F	0	0	0.378646725687	0	0.303417267155	0.19400444942
G	0	0	0.183624775811	0	0.409838957151	0.123105008959
H	0	0	0.174168361933	0	0.281597257705	0.189917368564
I	0	0	0.171498766327	0	0.265003502835	0.166311391561
J	0	0	0.17232515302	0	0.809725133211	0.0
K	0	0	0.257134531663	0	0.716508098297	0.0112743790568
L	0	0	0.159256675439	0	0.789342713084	0.0
