	B Cells	CD4 T Cells	NK Cells	Monocytes	CD8 T Cells
average.Mix_1	0.000634505823225	0.000328470496403	0.00114430810484	0.00297831802517	0.000487840866176
average.Mix_2	0.00103179314847	0.000712586081891	0.000529250965895	0.000373275837064	0.000681913964264
average.Mix_3	8.11325044328e-05	0.000955080389883	0.000739770846545	0.0	0.000895643710438
average.Mix_4	0.000245371323567	0.00101737103341	0.000790743468513	0.0	0.000945105889966
average.Mix_5	0.00105315178728	0.000544764483612	0.000167652938886	0.0	0.000490140745362
average.Mix_6	0.00101652452306	8.35920230049e-05	0.000308597041848	0.00281030345046	0.000198672872378
average.Mix_7	0.000422289447904	0.00118312195345	0.000107364180618	0.0	0.000981881550567
average.Mix_8	0.00116435352125	0.000879459777751	0.0	0.000641901723668	0.000703527895072
average.Mix_9	0.000781403990547	0.000815108875506	0.000407350136951	0.0	0.000746184045601
average.Mix_10	0.00107218486922	0.000500069217642	0.0	0.000135458345137	0.000430728928213
average.Mix_11	0.000679116622061	0.00103786591061	0.000637048176133	0.0	0.000934690221993
average.Mix_12	0.000227362098232	0.000742307262696	0.00112073787208	0.00155224434606	0.000800683716986
average.Mix_13	0.00099808495774	0.000754606119565	0.0	0.0	0.000608328585661
average.Mix_14	0.0	0.00124512046327	0.000714714152342	0.0	0.00110312049227
average.Mix_15	0.000507638457062	0.00122115709756	0.000313209072721	0.0	0.00104472629145
average.Mix_16	0.000887055320097	0.000984605031489	0.0	0.0	0.000793531646824
average.Mix_17	0.000513797610181	0.00120511126366	7.52883876038e-05	0.0	0.00100080641722
average.Mix_18	0.000629485980714	0.00126367948689	0.000234842498882	0.0	0.0010614804542
average.Mix_19	0.000426263424061	0.0005944685172	0.00062179676829	0.00110611680474	0.000623529798755
average.Mix_20	0.00107997724786	0.000696741409013	0.0	0.000437246877552	0.000592568405244
average.Mix_21	0.0011260287234	0.000614710671557	0.0	0.00120453217584	0.000520336071627
average.Mix_22	0.000578277002899	0.000537410138309	0.000499023316289	0.00196785500164	0.000569700879668
average.Mix_23	0.00129370188169	0.000699905590742	0.0	0.0	0.000583409445152
average.Mix_24	0.000258628615294	0.00142875664977	6.11734860349e-05	0.0	0.00118102011643
average.Mix_25	0.000902729777006	0.000960255290107	0.0	0.0	0.000758072677196
average.Mix_26	0.00072239305705	0.00120900262646	0.0	0.0	0.000965505086779
average.Mix_27	0.0010709112892	0.000807465938789	0.0	0.0	0.000579868809279
average.Mix_28	0.000886660542527	0.000636492973911	0.000273181137268	0.00123001228223	0.000604176173122
average.Mix_29	0.000850135038759	0.00107913782202	0.0	0.0	0.000833467019035
average.Mix_30	0.000214738858773	0.000981572557639	0.000420267416318	0.0	0.000862470166203
average.Mix_31	0.000884848505902	0.000938874427828	0.0	0.0	0.000776366246212
average.Mix_32	0.000700890998111	0.00115550021863	0.0	0.000198320457505	0.000955876338545
average.Mix_33	0.000469548482841	0.00118426039754	0.000271580118991	0.0001082878744	0.00102191265114
average.Mix_34	0.00106416157396	0.00024544158191	0.000121611454461	0.00201887239366	0.000293964332619
average.Mix_35	0.000535930923321	0.000940915960105	0.000825122183609	0.0	0.000893060639774
