	B Cells	CD4 T Cells	NK Cells	Monocytes	CD8 T Cells
average.Mix_1	0.00136069863001	0.00149548473997	0	0	0.0018117405902
average.Mix_2	0.00143266385105	0.00108571975165	0	0	0.00105115751982
average.Mix_3	0.0	0.000834429095513	0	0	0.000669840439247
average.Mix_4	0.000147177231331	0.00103870633335	0	0	0.000941102312691
average.Mix_5	0.00109021618019	0.000253829347662	0	0	9.52812579923e-05
average.Mix_6	0.00163822383466	0.000641692874644	0	0	0.000610363821117
average.Mix_7	9.7020160676e-05	0.000596919401484	0	0	9.81511512199e-05
average.Mix_8	0.00135431763455	0.000629781740739	0	0	3.64952820418e-05
average.Mix_9	0.000870943301895	0.000776701516812	0	0	0.000590664083678
average.Mix_10	0.00116037638482	0.000111621986895	0	0	0.0
average.Mix_11	0.000825081543523	0.00122436052299	0	0	0.0010962683403
average.Mix_12	0.000523596235739	0.00144355081986	0	0	0.00155490368417
average.Mix_13	0.000894179449887	0.000145888446333	0	0	0.0
average.Mix_14	0.0	0.000896683275855	0	0	0.000654706929944
average.Mix_15	0.000434966060206	0.0010645018924	0	0	0.000668667604634
average.Mix_16	0.00082771865205	0.00048610030815	0	0	0.0
average.Mix_17	0.000284057781777	0.000713458248472	0	0	0.000181560162165
average.Mix_18	0.000674988690227	0.0012551911031	0	0	0.000826403630126
average.Mix_19	0.000612727160693	0.000841228697204	0	0	0.000750480301616
average.Mix_20	0.00124513700683	0.000475831567882	0	0	4.27571256801e-05
average.Mix_21	0.0013544802747	0.000410006278423	0	0	0.0
average.Mix_22	0.000890752160381	0.000876908913767	0	0	0.000739194183544
average.Mix_23	0.0015195039168	0.000530276789617	0	0	0.000179884837131
average.Mix_24	5.13055241641e-05	0.00109084309712	0	0	0.000427080740253
average.Mix_25	0.000669803846766	0.000208675369341	0	0	0.0
average.Mix_26	0.000453043647138	0.000491109523281	0	0	0.0
average.Mix_27	0.000873245810074	0.0	0	0	0.0
average.Mix_28	0.00120404808916	0.000846395543687	0	0	0.000632012529909
average.Mix_29	0.000603378163479	0.000275311315736	0	0	0.0
average.Mix_30	0.0	0.000453576265266	0	0	0.000169347473951
average.Mix_31	0.000870048970378	0.000561941514751	0	0	7.3651555053e-05
average.Mix_32	0.000738021713665	0.00101356797378	0	0	0.000486411381764
average.Mix_33	0.000406431653019	0.00101201140755	0	0	0.000564921885842
average.Mix_34	0.00150725771397	0.000497654440976	0	0	0.000337668045791
average.Mix_35	0.000638728829577	0.00116831375142	0	0	0.00115836424623
average.Mix_36	0.000657596840719	0.000565155182733	0	0	0.000180114584411
average.Mix_37	1.45060582502e-05	0.000876188425881	0	0	0.000802047901952
average.Mix_38	0.000565095012012	0.00150990350718	0	0	0.00154752479521
average.Mix_39	0.00197281315929	0.000288222999757	0	0	0.0
average.Mix_40	0.000231300539982	0.000466748429587	0	0	0.000278385459155
average.Mix_41	0.000636853701746	0.00122349110317	0	0	0.0015027751854
average.Mix_42	0.000431561061063	0.00027144166392	0	0	0.0
average.Mix_43	0.00109628755702	0.000321143832589	0	0	3.11007794802e-05
average.Mix_44	0.000811473604731	0.00167520562494	0	0	0.00205675367637
average.Mix_45	0.000275470909812	0.000427189029784	0	0	0.0
average.Mix_46	0.000647942604109	0.0	0	0	0.0
average.Mix_47	0.0011772068285	0.000638867755495	0	0	0.000461310196535
average.Mix_48	0.000825715404271	0.00077633811747	0	0	0.000472676475192
average.Mix_49	0.0	0.00137693583531	0	0	0.00157572969334
average.Mix_50	0.000119829035054	0.000442491498988	0	0	0.0
average.Mix_51	0.000937580559969	0.000791872002918	0	0	0.000388739280155
average.Mix_52	0.0	0.000737665490626	0	0	0.000317043711384
average.Mix_53	0.00097404303853	0.000411089090559	0	0	0.0
