	B Cells	CD4 T Cells	NK Cells	Monocytes	CD8 T Cells
average.Mix_1	0.0	0.00028397306085	0.000933922305319	0.00493796304432	0.0
average.Mix_2	0.0010865298927	0.000159976836777	0.000201071072657	0.0	0.0
average.Mix_3	0.0	0.000287341998905	0.000506680543965	0.0	0.000642431307004
average.Mix_4	0.0	0.000382935717521	0.000348135452197	0.0	0.000589584903957
average.Mix_5	0.00436916067583	0.0	0.000501185220485	0.0	0.0
average.Mix_6	0.00014826862225	0.0	0.000787289441453	0.00834181485855	0.0
average.Mix_7	0.0	0.000236297717567	0.0	0.0	0.000504475955737
average.Mix_8	7.93603083432e-05	7.04614092426e-05	0.0	0.0	0.0
average.Mix_9	0.000303744326936	0.000110206146844	0.000236555874961	0.0	0.0
average.Mix_10	0.00166406095867	0.0	0.000257355187055	0.0	0.0
average.Mix_11	0.0	0.000389045699809	0.0	0.0	0.000186203454401
average.Mix_12	0.0	0.00052873916862	0.000688881144383	0.0	0.000615922788148
average.Mix_13	0.00191698230542	0.0	0.0	0.0	0.0
average.Mix_14	0.0	0.000400027039116	0.000162795884033	-0.000424686898288	0.000955056986233
average.Mix_15	0.0	0.00043075412646	0.0	0.0	0.000620831059221
average.Mix_16	0.0	6.88952930671e-05	0.0	0.0	0.0
average.Mix_17	0.0	0.000235381778825	0.0	0.0	0.000407258158692
average.Mix_18	0.0	0.000528621407361	0.0	0.0	0.000614848108132
average.Mix_19	0.0	0.000121262565625	0.000644902021449	0.0	6.29026324583e-05
average.Mix_20	0.000581958887111	0.0	0.0	0.0	0.0
average.Mix_21	0.000157124143872	0.0	0.0	0.0	0.0
average.Mix_22	0.0	9.54583972166e-05	0.000499966795822	0.00192215371166	0.0
average.Mix_23	0.00256038743081	0.0	0.0	0.0	0.0
average.Mix_24	0.0	0.000476492044921	0.0	0.0	0.00092122525919
average.Mix_25	0.00142319178545	0.0	0.0	-0.000170033902101	0.0
average.Mix_26	0.0	0.0001511702459	0.0	0.0	0.000266864469986
average.Mix_27	0.000258178901818	0.0	0.0	0.0	0.0
average.Mix_28	0.0	0.000140217104458	0.000229306648029	0.0	0.0
average.Mix_29	0.000179211037938	6.518858076e-05	0.0	0.0	6.47710298934e-05
average.Mix_30	0.0	0.000135112551956	0.00035070225821	-5.33782455677e-05	0.000422779330261
average.Mix_31	0.000168055303708	6.30895626107e-05	0.0	0.0	0.0
average.Mix_32	0.0	0.000481108712438	0.0	0.0	0.000597606269805
average.Mix_33	0.0	0.000393241476946	0.0	0.0	0.000621984111824
average.Mix_34	0.000553988957539	0.0	0.000619594042497	0.00361466425284	0.0
average.Mix_35	0.0	0.000356496566753	0.0003794323057	0.0	0.000284543683127
average.Mix_36	0.000100231599673	8.22370698002e-05	9.01738211657e-07	0.0	0.0
average.Mix_37	0.0	0.000216818656546	0.000614386529574	0.0	0.000387390875849
average.Mix_38	0.0	0.000475175466749	0.000351796370039	0.0	0.000490998980564
average.Mix_39	0.00161444149601	0.0	0.0	0.0	0.0
