	B Cells	CD4 T Cells	CD8 T Cells	Endo	Fibroblast	Macrophages	Mast Cell
average.mix_1	0.0	0.0	0.0	0	0	0	0
average.mix_2	0.0	0.0	0.0	0	0	0	0
average.mix_3	0.0	0.0	0.0	0	0	0	0
average.mix_4	0.0	0.00257533919438	0.0	0	0	0	0
average.mix_5	0.0	0.0	0.0	0	0	0	0
average.mix_6	0.0	0.00338145922301	0.00250615529191	0	0	0	0
average.mix_7	0.0	0.00129166720357	0.0	0	0	0	0
average.mix_8	0.0	0.0	0.0	0	0	0	0
average.mix_9	0.00156775748387	0.00670940041026	0.00542232838398	0	0	0	0
average.mix_10	0.0	0.0	0.0	0	0	0	0
average.mix_11	0.0	0.0	0.0	0	0	0	0
average.mix_12	0.0	0.000911779700803	0.0	0	0	0	0
average.mix_13	0.0	0.00662718586938	0.0	0	0	0	0
average.mix_14	0.0015600737516	0.00303491095321	0.000803343153804	0	0	0	0
average.mix_15	0.0	0.0	0.0	0	0	0	0
average.mix_16	0.0	0.00332317911998	0.0	0	0	0	0
average.mix_17	0.0	0.00622459984804	0.0	0	0	0	0
average.mix_18	0.0	7.7138134033e-05	0.0	0	0	0	0
average.mix_19	0.0	0.0	0.0	0	0	0	0
average.mix_20	0.0	0.00149442326049	0.0	0	0	0	0
average.mix_21	0.0	0.00865426929083	0.0	0	0	0	0
average.mix_22	0.0	0.0	0.0	0	0	0	0
average.mix_23	0.0	0.00158759326632	0.0	0	0	0	0
average.mix_24	0.0	0.00879081753225	0.0	0	0	0	0
average.mix_25	0.00573147825042	0.0113456212274	0.00441363548988	0	0	0	0
average.mix_26	0.0	0.00115151489928	0.0	0	0	0	0
average.mix_27	0.0	0.0	0.0	0	0	0	0
average.mix_28	0.0	0.0	0.0	0	0	0	0
average.mix_29	0.0	0.0	0.0	0	0	0	0
average.mix_30	0.0	0.00573809688103	0.00127317212562	0	0	0	0
average.mix_31	0.0	0.0	0.0	0	0	0	0
average.mix_32	0.0	0.0	0.0	0	0	0	0
average.mix_33	0.0	0.0	0.0	0	0	0	0
average.mix_34	0.0	0.0	0.0	0	0	0	0
average.mix_35	0.0	0.0	0.0	0	0	0	0
average.mix_36	0.0	0.0	0.0	0	0	0	0
average.mix_37	0.0	0.0	0.0	0	0	0	0
average.mix_38	0.0	0.0	0.0	0	0	0	0
average.mix_39	0.0	0.00168863832381	0.000115432458696	0	0	0	0
average.mix_40	0.0	0.0	0.0	0	0	0	0
average.mix_41	0.0	0.0	0.0	0	0	0	0
average.mix_42	0.00534909889501	0.0105715139861	0.0	0	0	0	0
average.mix_43	0.0	0.0	0.0	0	0	0	0
average.mix_44	0.0	0.00124270935823	0.0	0	0	0	0
average.mix_45	0.0	0.0	0.0	0	0	0	0
average.mix_46	0.0	0.0	0.0	0	0	0	0
average.mix_47	0.0	0.00922841412233	0.0	0	0	0	0
average.mix_48	0.0	0.00167920344208	0.0	0	0	0	0
average.mix_49	0.0	0.0	0.0	0	0	0	0
average.mix_50	0.0	0.000611527744022	0.00111959560843	0	0	0	0
average.mix_51	0.0	0.00145302367477	0.0	0	0	0	0
average.mix_52	0.0	0.0	0.0	0	0	0	0
average.mix_53	0.0	0.0	0.0	0	0	0	0
average.mix_54	0.0	0.0011213600177	0.0	0	0	0	0
average.mix_55	0.0	0.00385305918633	0.0	0	0	0	0
average.mix_56	0.0	0.0	0.0	0	0	0	0
average.mix_57	0.0164388533678	0.0089155144607	0.00823873097692	0	0	0	0
average.mix_58	0.0	0.0	0.0	0	0	0	0
average.mix_59	0.0	0.0	0.0	0	0	0	0
average.mix_60	0.0	0.0	0.0	0	0	0	0
average.mix_61	0.0	0.0	0.0	0	0	0	0
average.mix_62	0.0	0.0	0.0	0	0	0	0
average.mix_63	0.0	0.0	0.0	0	0	0	0
average.mix_64	0.0	0.00971376766573	0.0	0	0	0	0
average.mix_65	0.0	0.0	0.0	0	0	0	0
average.mix_66	0.0	0.0	0.0	0	0	0	0
average.mix_67	0.0	0.0	0.0	0	0	0	0
average.mix_68	0.0	0.00423720584828	0.0	0	0	0	0
average.mix_69	0.0	0.00484548899251	0.0	0	0	0	0
average.mix_70	0.0	0.00219964961575	0.0	0	0	0	0
average.mix_71	0.0	0.0	0.0	0	0	0	0
average.mix_72	0.0	0.0	0.0	0	0	0	0
average.mix_73	0.0	0.0104420358067	0.0	0	0	0	0
average.mix_74	0.00152001600177	0.00645371219311	0.00245243972867	0	0	0	0
average.mix_75	0.0	0.000815637998662	0.0	0	0	0	0
average.mix_76	0.0	0.0	0.0	0	0	0	0
average.mix_77	0.0	0.0	0.0	0	0	0	0
average.mix_78	0.0	0.00349510591013	0.0	0	0	0	0
average.mix_79	0.0	0.0	0.0	0	0	0	0
average.mix_80	0.000756423510016	0.00667777154601	0.0	0	0	0	0
average.mix_81	0.0	0.0	0.0	0	0	0	0
average.mix_82	0.0	0.0	0.0	0	0	0	0
average.mix_83	0.0	0.007673953505	0.0	0	0	0	0
average.mix_84	0.0	0.0	0.0	0	0	0	0
average.mix_85	0.0	0.0	0.0	0	0	0	0
average.mix_86	0.0	0.00516116883733	0.0	0	0	0	0
average.mix_87	0.0161058823636	0.00236309542328	0.00728900151294	0	0	0	0
average.mix_88	0.0	0.0	0.0	0	0	0	0
average.mix_89	0.0	0.0	0.0	0	0	0	0
average.mix_90	0.000331294190356	0.000708124064455	0.00363517645249	0	0	0	0
average.mix_91	0.0	0.0	0.0	0	0	0	0
average.mix_92	0.0	0.00126505066321	0.0	0	0	0	0
average.mix_93	0.0	0.0171502314784	0.0	0	0	0	0
average.mix_94	0.0	0.00141280313859	0.00160376540568	0	0	0	0
average.mix_95	0.0	0.0	0.0	0	0	0	0
average.mix_96	0.0	0.0	0.0	0	0	0	0
average.mix_97	0.00270004189215	0.00123713283593	0.00113323812538	0	0	0	0
average.mix_98	0.0	0.0	0.0	0	0	0	0
average.mix_99	0.0	0.000171585366871	0.0	0	0	0	0
average.mix_100	0.0	0.00121627115249	0.0	0	0	0	0
stdev.mix_1	0.0	0.0	0.0	0	0	0	0
stdev.mix_2	0.0	0.0	0.0	0	0	0	0
stdev.mix_3	0.0	0.0	0.0	0	0	0	0
stdev.mix_4	0.0	0.000127427815736	0.0	0	0	0	0
stdev.mix_5	0.0	0.0	0.0	0	0	0	0
stdev.mix_6	0.0	0.000420004453587	0.00036761053901	0	0	0	0
stdev.mix_7	0.0	0.000152520567049	0.0	0	0	0	0
stdev.mix_8	0.0	0.0	0.0	0	0	0	0
stdev.mix_9	7.79692413143e-05	0.000244785468155	7.30251798134e-05	0	0	0	0
stdev.mix_10	0.0	0.0	0.0	0	0	0	0
stdev.mix_11	0.0	0.0	0.0	0	0	0	0
stdev.mix_12	0.0	0.000177454862081	0.0	0	0	0	0
stdev.mix_13	0.0	0.000171352569015	0.0	0	0	0	0
stdev.mix_14	0.000982294669486	0.000328387099299	0.000210240350633	0	0	0	0
stdev.mix_15	0.0	0.0	0.0	0	0	0	0
stdev.mix_16	0.0	0.000267557251142	0.0	0	0	0	0
stdev.mix_17	0.0	0.000101088154312	0.0	0	0	0	0
stdev.mix_18	0.0	7.20188540351e-05	0.0	0	0	0	0
stdev.mix_19	0.0	0.0	0.0	0	0	0	0
stdev.mix_20	0.0	6.4106806673e-05	0.0	0	0	0	0
stdev.mix_21	0.0	0.000453555513546	0.0	0	0	0	0
stdev.mix_22	0.0	0.0	0.0	0	0	0	0
stdev.mix_23	0.0	0.000109897660353	0.0	0	0	0	0
stdev.mix_24	0.0	0.000558567172363	0.0	0	0	0	0
stdev.mix_25	0.000516547088029	0.000101807197857	0.000250497220056	0	0	0	0
stdev.mix_26	0.0	0.000174945828834	0.0	0	0	0	0
stdev.mix_27	0.0	0.0	0.0	0	0	0	0
stdev.mix_28	0.0	0.0	0.0	0	0	0	0
stdev.mix_29	0.0	0.0	0.0	0	0	0	0
stdev.mix_30	0.0	0.000374470900619	0.000130380082936	0	0	0	0
stdev.mix_31	0.0	0.0	0.0	0	0	0	0
stdev.mix_32	0.0	0.0	0.0	0	0	0	0
stdev.mix_33	0.0	0.0	0.0	0	0	0	0
stdev.mix_34	0.0	0.0	0.0	0	0	0	0
stdev.mix_35	0.0	0.0	0.0	0	0	0	0
stdev.mix_36	0.0	0.0	0.0	0	0	0	0
stdev.mix_37	0.0	0.0	0.0	0	0	0	0
stdev.mix_38	0.0	0.0	0.0	0	0	0	0
stdev.mix_39	0.0	0.000152325853053	0.000186873502649	0	0	0	0
stdev.mix_40	0.0	0.0	0.0	0	0	0	0
stdev.mix_41	0.0	0.0	0.0	0	0	0	0
stdev.mix_42	0.000579045668434	7.55348114059e-05	0.0	0	0	0	0
stdev.mix_43	0.0	0.0	0.0	0	0	0	0
stdev.mix_44	0.0	0.000196344123905	0.0	0	0	0	0
stdev.mix_45	0.0	0.0	0.0	0	0	0	0
stdev.mix_46	0.0	0.0	0.0	0	0	0	0
stdev.mix_47	0.0	0.00022757349936	0.0	0	0	0	0
stdev.mix_48	0.0	0.000174198057696	0.0	0	0	0	0
stdev.mix_49	0.0	0.0	0.0	0	0	0	0
stdev.mix_50	0.0	7.37590200213e-05	0.000116196473828	0	0	0	0
stdev.mix_51	0.0	0.000124284294198	0.0	0	0	0	0
stdev.mix_52	0.0	0.0	0.0	0	0	0	0
stdev.mix_53	0.0	0.0	0.0	0	0	0	0
stdev.mix_54	0.0	4.70080364092e-05	0.0	0	0	0	0
stdev.mix_55	0.0	6.20268022589e-05	0.0	0	0	0	0
stdev.mix_56	0.0	0.0	0.0	0	0	0	0
stdev.mix_57	0.00108423626763	0.000972048380914	0.000591003423779	0	0	0	0
stdev.mix_58	0.0	0.0	0.0	0	0	0	0
stdev.mix_59	0.0	0.0	0.0	0	0	0	0
stdev.mix_60	0.0	0.0	0.0	0	0	0	0
