	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.174515647721	0	0	0	0.337107601213	0.1739397192
B	0.183212417031	0	0	0	0.337214742081	0.169628629593
C	0.0846614931888	0	0	0	0.51665065358	0.144454352307
D	0.0971974767412	0	0	0	0.512812869272	0.149407634276
E	0.0988164506866	0	0	0	0.381886209885	0.259903620405
F	0.16477168424	0	0	0	0.270370965694	0.218504481765
G	0.207289561146	0	0	0	0.279850033066	0.112746330835
H	0.172596946046	0	0	0	0.309952658109	0.0758578220337
I	0.173450063399	0	0	0	0.318757430138	0.0742410758572
J	0.106771852181	0	0	0	0.637743095693	0.0157349859044
K	0.114415585636	0	0	0	0.374501105811	0.300381199818
L	0.0454256687071	0	0	0	0.64202760602	0.0271799718546
