	B Cells	CD4 T Cells	NK Cells	Monocytes	CD8 T Cells
Mix_1	0.304085723228	0.430757341004	0	0	0.0
Mix_2	0.38090343499	0.416962843818	0	0	0.0
Mix_3	0.320783497734	0.497378155514	0	0	0.0
Mix_4	0.326271156064	0.498501661599	0	0	0.0
Mix_5	0.430967593588	0.401903691646	0	0	0.0
Mix_6	0.361973981006	0.358400934104	0	0	0.0
Mix_7	0.34902868018	0.471296820252	0	0	0.0
Mix_8	0.40663884817	0.367824106547	0	0	0.0
Mix_9	0.379246240962	0.432731001978	0	0	0.0
Mix_10	0.42008128382	0.361500202502	0	0	0.0
Mix_11	0.355779066346	0.462514126443	0	0	0.0
Mix_12	0.287499930965	0.478202059038	0	0	0.0
Mix_13	0.427431940354	0.388605069274	0	0	0.0
Mix_14	0.299380307329	0.532343183341	0	0	0.0
Mix_15	0.340581408264	0.468080392934	0	0	0.0
Mix_16	0.400232550185	0.400201042795	0	0	0.0
Mix_17	0.352664531862	0.458806628892	0	0	0.0
Mix_18	0.342949167438	0.455237423746	0	0	0.0
Mix_19	0.326055550804	0.438579985584	0	0	0.0
Mix_20	0.405047802928	0.375468064083	0	0	0.0
Mix_21	0.400844271577	0.354473580679	0	0	0.0
Mix_22	0.326631859588	0.415038774421	0	0	0.0
Mix_23	0.431241230115	0.372315895511	0	0	0.0
Mix_24	0.312404114542	0.47543343359	0	0	0.0
Mix_25	0.411119132048	0.410398046755	0	0	0.0
Mix_26	0.378414832212	0.432234085496	0	0	0.0
Mix_27	0.444139608437	0.333659015293	0	0	0.0
Mix_28	0.364355702336	0.400554149305	0	0	0.0
Mix_29	0.402514219025	0.407027984585	0	0	0.0
Mix_30	0.3416793668	0.490510424185	0	0	0.0
Mix_31	0.3979832627	0.408200857227	0	0	0.0
Mix_32	0.358403031374	0.429489976065	0	0	0.0
Mix_33	0.336899406744	0.456404345819	0	0	0.0
Mix_34	0.37854895671	0.359111827824	0	0	0.0
Mix_35	0.347951060387	0.474891194486	0	0	0.0
Mix_36	0.384743353372	0.428471519926	0	0	0.0
Mix_37	0.321717417495	0.492443452556	0	0	0.0
Mix_38	0.294626982604	0.47871930233	0	0	0.0
Mix_39	0.430369201733	0.300859808363	0	0	0.0
Mix_40	0.364882963535	0.461027269345	0	0	0.0
Mix_41	0.327276352075	0.479612738587	0	0	0.0
Mix_42	0.391777862311	0.412945190946	0	0	0.0
Mix_43	0.400357778871	0.383705386299	0	0	0.0
Mix_44	0.289989406498	0.482130315634	0	0	0.0
Mix_45	0.368743340785	0.430074452189	0	0	0.0
Mix_46	0.424930373042	0.369157304887	0	0	0.0
Mix_47	0.367946434607	0.390406192957	0	0	0.0
Mix_48	0.381843740704	0.431678928642	0	0	0.0
Mix_49	0.295077067569	0.540429174208	0	0	0.0
Mix_50	0.357881453558	0.436379353057	0	0	0.0
Mix_51	0.385593626855	0.418457014102	0	0	0.0
Mix_52	0.313282242574	0.498509568101	0	0	0.0
Mix_53	0.391516139784	0.380108049117	0	0	0.0
Mix_54	0.264645488821	0.484976378632	0	0	0.0
Mix_55	0.293123932559	0.52668001219	0	0	0.0
Mix_56	0.367599289009	0.424816871342	0	0	0.0
Mix_57	0.215405187275	0.584719014727	0	0	0.0
Mix_58	0.337462960242	0.470475379189	0	0	0.0
Mix_59	0.289404037999	0.532697833656	0	0	0.0
Mix_60	0.434613941218	0.380973255185	0	0	0.0
