	B Cells	CD4 T Cells	NK Cells	Monocytes	CD8 T Cells
Mix_1	0.368414328498	0.413455423517	0	0	0.0630965634104
Mix_2	0.423373167144	0.409641750968	0	0	0.0602380799184
Mix_3	0.360656063995	0.410425092856	0	0	0.105824193001
Mix_4	0.374972604165	0.423337159556	0	0	0.0942520722254
Mix_5	0.477303835725	0.356425861074	0	0	0.0629718017988
Mix_6	0.405743885559	0.370713163374	0	0	0.0620954317402
Mix_7	0.388050506099	0.416715989571	0	0	0.102790016679
Mix_8	0.41172134288	0.409530635701	0	0	0.075906621908
Mix_9	0.413519231357	0.401938746381	0	0	0.0763231300223
Mix_10	0.438848069008	0.361858677496	0	0	0.0736085192728
Mix_11	0.398712880863	0.433746485655	0	0	0.073079075521
Mix_12	0.340754734068	0.429603182939	0	0	0.0885180583542
Mix_13	0.448138670795	0.37270400715	0	0	0.0806194811685
Mix_14	0.360546617431	0.425191505594	0	0	0.113189169083
Mix_15	0.371140004338	0.439132477337	0	0	0.0948374888207
Mix_16	0.406942031226	0.405393524619	0	0	0.0873582649259
Mix_17	0.383370261019	0.422119621262	0	0	0.0997715224076
Mix_18	0.368171873261	0.454472134052	0	0	0.0880025790239
Mix_19	0.364860769116	0.395739020883	0	0	0.0920608365254
Mix_20	0.422521910429	0.388396647215	0	0	0.0747627469207
Mix_21	0.414502287369	0.38576580746	0	0	0.0735926310947
Mix_22	0.364919116504	0.399149448	0	0	0.0841400505778
Mix_23	0.45499274641	0.389575575325	0	0	0.0600449741395
Mix_24	0.326958156413	0.451677793685	0	0	0.115799144502
Mix_25	0.442028307728	0.385003580846	0	0	0.0867836236856
Mix_26	0.402344233575	0.412988566268	0	0	0.0977960282638
Mix_27	0.424926393765	0.370250849382	0	0	0.0946075871697
Mix_28	0.396387813386	0.404408412663	0	0	0.0734276577853
Mix_29	0.417029667291	0.403991086282	0	0	0.0926588475775
Mix_30	0.395185107089	0.397204651826	0	0	0.103872386777
Mix_31	0.414129009415	0.403226007856	0	0	0.08277945594
Mix_32	0.366763647877	0.446746889527	0	0	0.0910956471058
Mix_33	0.35422074395	0.43437478333	0	0	0.100619092002
Mix_34	0.414107208514	0.375576616683	0	0	0.0628108319162
Mix_35	0.392802787932	0.422056478297	0	0	0.0798596523057
Mix_36	0.410210943762	0.400703644703	0	0	0.0850150199121
Mix_37	0.366895420382	0.405494203878	0	0	0.0988967355729
Mix_38	0.345646362455	0.435000803613	0	0	0.0878248830928
Mix_39	0.439816829615	0.378035743518	0	0	0.0553814024386
Mix_40	0.408767188353	0.386123210307	0	0	0.0906037402165
Mix_41	0.389954250968	0.405760046565	0	0	0.0743298674701
Mix_42	0.406093543595	0.40978189455	0	0	0.0997720747048
Mix_43	0.431100481599	0.36861825745	0	0	0.0725436525206
Mix_44	0.3574031301	0.428709652376	0	0	0.0744515828005
Mix_45	0.373972166457	0.401782323681	0	0	0.108223381939
Mix_46	0.412972417652	0.39039230079	0	0	0.102255398386
Mix_47	0.397191057053	0.388988020385	0	0	0.0746851577963
Mix_48	0.410584949218	0.409328625773	0	0	0.0797590499983
Mix_49	0.367235759927	0.430954950958	0	0	0.0919781858591
Mix_50	0.362197954797	0.418368896494	0	0	0.115764032296
Mix_51	0.407045452179	0.413639011839	0	0	0.0793681461843
Mix_52	0.34690951694	0.42052742223	0	0	0.117615002991
Mix_53	0.400468108512	0.396491167368	0	0	0.0836612217696
Mix_54	0.361770688226	0.399422987643	0	0	0.0637713640877
Mix_55	0.350864765902	0.415796481391	0	0	0.101348546186
Mix_56	0.366829432735	0.410201613448	0	0	0.111198655087
Mix_57	0.320807636024	0.455945293726	0	0	0.0803232122819
Mix_58	0.367756684417	0.436867263805	0	0	0.0994675206875
Mix_59	0.366072327598	0.406065302901	0	0	0.0915674453714
Mix_60	0.450115622237	0.364935181665	0	0	0.106190248874
Mix_61	0.448912329021	0.361653417445	0	0	0.0664524377782
Mix_62	0.466649798965	0.363531999247	0	0	0.0691144328686
Mix_63	0.348297362772	0.412958460554	0	0	0.0733155683265
Mix_64	0.405822415583	0.378538306517	0	0	0.0743205732979
Mix_65	0.404598404946	0.390430848074	0	0	0.0818934880585
Mix_66	0.41762637873	0.403904073482	0	0	0.0857241227167
Mix_67	0.475147574917	0.353158644053	0	0	0.0412789722093
Mix_68	0.378815341535	0.409850718739	0	0	0.106515430127
Mix_69	0.456202618628	0.363645655264	0	0	0.0752999039891
Mix_70	0.372473219525	0.422172796492	0	0	0.104845565202
Mix_71	0.393643525297	0.388905836667	0	0	0.0984460727307
Mix_72	0.361479304162	0.437396175761	0	0	0.0867956553623
Mix_73	0.343801198813	0.429246880065	0	0	0.102548795565
Mix_74	0.443326522411	0.361317396383	0	0	0.063145847558
Mix_75	0.38864188488	0.420085830117	0	0	0.077484858365
Mix_76	0.390146319769	0.407751166994	0	0	0.0891892263628
Mix_77	0.381460031913	0.414455325355	0	0	0.0665422884235
Mix_78	0.352032020367	0.437211041293	0	0	0.11263542959
Mix_79	0.352035355317	0.411435063366	0	0	0.0698317820164
Mix_80	0.390102020216	0.432286100116	0	0	0.0760474858161
Mix_81	0.396856736633	0.388786531685	0	0	0.0836548663779
Mix_82	0.413969298471	0.394643877973	0	0	0.0995321890883
Mix_83	0.428798734632	0.381151418331	0	0	0.0732155734586
Mix_84	0.387821165526	0.407810026796	0	0	0.0940307423074
Mix_85	0.397282504504	0.414186399896	0	0	0.0859593395167
Mix_86	0.375092577673	0.396817489268	0	0	0.0885439147881
Mix_87	0.504338504547	0.324696851393	0	0	0.0410002319071
Mix_88	0.418293897193	0.401692944466	0	0	0.0945400545691
Mix_89	0.3322361837	0.432396806735	0	0	0.0837793674581
Mix_90	0.396676924306	0.411441016626	0	0	0.0697206374755
Mix_91	0.493044564291	0.362445932191	0	0	0.0529053800035
Mix_92	0.407264775609	0.405311011757	0	0	0.0589773529399
Mix_93	0.364394320888	0.438439015638	0	0	0.0892762495278
Mix_94	0.434724305565	0.39278592438	0	0	0.0825677786988
Mix_95	0.382428961519	0.436999717643	0	0	0.0748558494828
