	B Cells	CD4 T Cells	NK Cells	Monocytes	CD8 T Cells
Mix_1	0.0998324248774	0.0	0.0025431470697	0.0	0.186150114589
Mix_2	0.135564660896	0.0	0.0	0.0	0.182320628022
Mix_3	0.0856991895607	0.0	0.0393470169193	0.0	0.213617508228
Mix_4	0.0965941744584	0.0	0.0241868732975	0.0	0.217616867143
Mix_5	0.143375562588	0.0	0.0184062993498	0.0	0.175651642951
Mix_6	0.124892137855	0.0	0.0	0.0	0.158494672038
Mix_7	0.116984011568	0.0	0.0	0.0	0.221791074722
Mix_8	0.156553010519	0.0	0.0	0.0	0.1576818053
Mix_9	0.124268876805	0.0	0.0	0.0	0.200121699328
Mix_10	0.144443564763	0.0	0.0	0.0	0.169461282342
Mix_11	0.122753947993	0.0	0.0	0.0	0.205517503234
Mix_12	0.0846111826742	0.0	0.0146002300557	0.0	0.208941064336
Mix_13	0.148124106757	0.0	0.0	0.0	0.183169938233
Mix_14	0.0857919688319	0.0	0.0361067133625	0.0	0.230120670899
Mix_15	0.117975788097	0.0	0.0	0.0	0.211468884779
Mix_16	0.1416259527	0.0	0.0	0.0	0.183840907661
Mix_17	0.120961024553	0.0	0.0	0.0	0.213297329244
Mix_18	0.128117713885	0.0	0.0	0.0	0.196334000739
Mix_19	0.0977217456419	0.0	0.0153476128641	0.0	0.195956769295
Mix_20	0.145225379427	0.0	0.0	0.0	0.169747491406
Mix_21	0.147802853907	0.0	0.0	0.0	0.15799768277
Mix_22	0.105379829897	0.0	0.0	0.0	0.190203512418
Mix_23	0.160615089907	0.0	0.0	0.0	0.162555757494
Mix_24	0.108828393728	0.0	0.0	0.0	0.213239463396
Mix_25	0.146030998696	0.0	0.0	0.0	0.192624113196
Mix_26	0.136439514799	0.0	0.0	0.0	0.200088465854
Mix_27	0.160876394307	0.0	0.0	0.0	0.157746122805
Mix_28	0.128685334708	0.0	0.0	0.0	0.178441703038
Mix_29	0.147446561329	0.0	0.0	0.0	0.189230251139
Mix_30	0.0998037947186	0.0	0.0416453352127	0.0	0.210842886019
Mix_31	0.139864258111	0.0	0.0	0.0	0.186254671689
Mix_32	0.13280442103	0.0	0.0	0.0	0.186876036254
Mix_33	0.111460293572	0.0	0.0	0.0	0.209804194863
Mix_34	0.133179010695	0.0	0.0	0.0	0.160673191324
Mix_35	0.109793097595	0.0	0.0096591434772	0.0	0.211107127784
Mix_36	0.127752353729	0.0	0.0	0.0	0.200481890454
Mix_37	0.0868143498379	0.0	0.0437554773881	0.0	0.206773893501
Mix_38	0.0917603869604	0.0	0.0	0.0	0.215731413598
Mix_39	0.170811380743	0.0	0.0	0.0	0.124607785921
Mix_40	0.106870237838	0.0	0.0390486389737	0.0	0.196646924335
Mix_41	0.0946245214554	0.0	0.0481836691664	0.0	0.190654340175
Mix_42	0.145287481796	0.0	0.0	0.0	0.191512913268
Mix_43	0.133945146922	0.0	0.0	0.0	0.179299766804
Mix_44	0.0869186454239	0.0	0.0261238835699	0.0	0.198537019685
Mix_45	0.116420010073	0.0	0.0	0.0	0.207568335681
Mix_46	0.154727526866	0.0	0.0	0.0	0.174173421101
