	B Cells	CD4 T Cells	CD8 T Cells	Monocytes	NK Cells
mix_1	0	0.0	0.0	0	0.644018769434
mix_2	0	0.0	0.0	0	0.639711232828
mix_3	0	0.0	0.175386442748	0	0.575049392175
mix_4	0	0.0	0.0307275979548	0	0.604224633831
mix_5	0	0.0	0.0599712480381	0	0.614517442528
mix_6	0	0.0	0.0	0	0.618191016812
mix_7	0	0.0	0.0466626113803	0	0.597609000693
mix_8	0	0.0	0.0	0	0.589776996121
mix_9	0	0.0	0.0	0	0.64585754117
mix_10	0	0.0	0.0135794447178	0	0.58005836401
mix_11	0	0.0	0.0	0	0.634830223274
mix_12	0	0.0	0.0	0	0.641768304776
mix_13	0	0.0	0.0	0	0.597733776215
mix_14	0	0.0	0.0	0	0.582612273541
mix_15	0	0.0	0.0345448377174	0	0.627162165152
mix_16	0	0.0	0.105695407503	0	0.587684722384
mix_17	0	0.0	0.0321322816932	0	0.531575443674
mix_18	0	0.0	0.0	0	0.61602212805
mix_19	0	0.0	0.0	0	0.606114755078
mix_20	0	0.0	0.247906486341	0	0.564227288086
mix_21	0	0.0	0.0852397165391	0	0.583068531225
mix_22	0	0.0	0.0	0	0.619565021915
mix_23	0	0.0	0.0	0	0.588995238911
mix_24	0	0.0	0.0	0	0.632303144638
mix_25	0	0.0	0.0584921119712	0	0.602123353796
mix_26	0	0.0	0.241143897136	0	0.612454386986
mix_27	0	0.0	0.0	0	0.607926127221
mix_28	0	0.0	0.201922964344	0	0.575226053131
mix_29	0	0.0	0.0	0	0.625787134678
mix_30	0	0.0	0.0	0	0.61699720214
mix_31	0	0.0	0.0	0	0.618142740318
mix_32	0	0.0	0.0637657150118	0	0.602939737641
mix_33	0	0.0	0.0	0	0.610742230299
mix_34	0	0.0	0.0	0	0.641862492665
mix_35	0	0.0	0.0	0	0.629096943916
mix_36	0	0.0	0.0622343934916	0	0.58497033015
mix_37	0	0.0	0.0578176201883	0	0.582034025215
mix_38	0	0.0	0.207664036235	0	0.592213168778
mix_39	0	0.0	0.0473301997421	0	0.60536486742
mix_40	0	0.0	0.0	0	0.608791637146
mix_41	0	0.0	0.0	0	0.644747447998
mix_42	0	0.0	0.118412462235	0	0.567859118417
mix_43	0	0.0	0.139323085236	0	0.619069017092
mix_44	0	0.0	0.159691068361	0	0.604060482625
mix_45	0	0.0	0.109700479418	0	0.592898418492
mix_46	0	0.0	0.163488618136	0	0.588778375769
mix_47	0	0.0	0.0	0	0.603565928491
mix_48	0	0.0	0.0	0	0.613212125903
mix_49	0	0.0	0.0	0	0.620711208485
mix_50	0	0.0	0.147993718784	0	0.560264623187
mix_51	0	0.0	0.0	0	0.619757898475
mix_52	0	0.0	0.0529642002102	0	0.591693396204
mix_53	0	0.0	0.0	0	0.615235660117
mix_54	0	0.0	0.126705160217	0	0.547658941504
mix_55	0	0.0	0.0	0	0.618700037797
mix_56	0	0.0	0.138987475545	0	0.573892443528
mix_57	0	0.0	0.0	0	0.6457761236
mix_58	0	0.0	0.0865689019162	0	0.605870208645
mix_59	0	0.0	0.0	0	0.647767915012
mix_60	0	0.0	0.0	0	0.586276203711
mix_61	0	0.0	0.194505807684	0	0.537285932877
mix_62	0	0.0	0.161154655649	0	0.581887880875
mix_63	0	0.0	0.0	0	0.636864440198
mix_64	0	0.0	0.0	0	0.597871964116
mix_65	0	0.0	0.0190500303391	0	0.643968409237
mix_66	0	0.0	0.0	0	0.623576784337
mix_67	0	0.0	0.088469101996	0	0.593683480907
mix_68	0	0.0	0.187715325186	0	0.61142637977
mix_69	0	0.0	0.0	0	0.602328757399
mix_70	0	0.0	0.0	0	0.618624273385
mix_71	0	0.0	0.0	0	0.588091985252
mix_72	0	0.0	0.0	0	0.573271992781
mix_73	0	0.0	0.0	0	0.613625986187
mix_74	0	0.0	0.0	0	0.605082742957
mix_75	0	0.0	0.0	0	0.611453608747
mix_76	0	0.0	0.153535111844	0	0.606408158278
mix_77	0	0.0	0.24640868767	0	0.572486236369
mix_78	0	0.0	0.0	0	0.624178819876
mix_79	0	0.0	0.0	0	0.63362304538
mix_80	0	0.0	0.0627897219745	0	0.576759773788
mix_81	0	0.0	0.156970361005	0	0.573571217384
mix_82	0	0.0	0.0	0	0.603424473348
mix_83	0	0.0	0.0	0	0.624132464866
mix_84	0	0.0	0.087797850306	0	0.582848184266
mix_85	0	0.0	0.129188479201	0	0.579408191412
mix_86	0	0.0	0.219513023681	0	0.582945879489
mix_87	0	0.0	0.0674878805859	0	0.592709194457
mix_88	0	0.0	0.105971621124	0	0.596456807605
mix_89	0	0.0	0.194189131968	0	0.573580802982
mix_90	0	0.0	0.0309447491299	0	0.607995957675
mix_91	0	0.0	0.0	0	0.631627878099
mix_92	0	0.0	0.0	0	0.606176793312
mix_93	0	0.0	0.0	0	0.609386780371
mix_94	0	0.0	0.0	0	0.650755787752
mix_95	0	0.0	0.0	0	0.621653704173
mix_96	0	0.0	0.0	0	0.643865170873
mix_97	0	0.0	0.0	0	0.621754725314
mix_98	0	0.0	0.0	0	0.6042100408
mix_99	0	0.0	0.265796981955	0	0.531119773709
mix_100	0	0.0	0.0162360037379	0	0.601959442727
