	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.0659	0.0217	0.159	0.1826	0.2316	0.0085
B	0.0681	0.0208	0.1569	0.1855	0.2313	0.0092
C	0.0581	0.0112	0.155	0.1523	0.2899	0.0081
D	0.0595	0.0116	0.1565	0.1516	0.2869	0.0098
E	0.0585	0.0144	0.1687	0.1636	0.249	0.0186
F	0.0651	0.0184	0.1993	0.1758	0.2049	0.0061
G	0.0666	0.0181	0.1374	0.2248	0.215	0.0018
H	0.0663	0.0333	0.1374	0.1892	0.2231	0.0
I	0.0646	0.0334	0.1355	0.1903	0.2242	0.0
J	0.0637	0.0023	0.1398	0.1286	0.3257	0.0
K	0.0622	0.0005	0.1766	0.13	0.2753	0.0245
L	0.0539	0.0068	0.1271	0.1527	0.3166	0.0
