	B Cells	CD4 T Cells	NK Cells	Monocytes	CD8 T Cells
Mix_1	0.1536	0.0197	0.6039	0.0211	0.1522
Mix_2	0.2721	0.0408	0.3803	0.002	0.1629
Mix_3	0.0845	0.0066	0.6611	0.0021	0.2418
Mix_4	0.1258	0.0388	0.553	0.0002	0.205
Mix_5	0.3331	0.0765	0.5253	0.0	0.0244
Mix_6	0.2268	0.0161	0.533	0.0244	0.1065
Mix_7	0.2307	0.0927	0.404	0.0	0.1796
Mix_8	0.3433	0.153	0.0965	0.0017	0.0724
Mix_9	0.2221	0.0875	0.479	0.0006	0.1245
Mix_10	0.3288	0.0004	0.4023	0.0051	0.1995
Mix_11	0.2383	0.1866	0.402	0.0	0.0482
Mix_12	0.081	0.0126	0.6484	0.0127	0.2004
Mix_13	0.3205	0.0322	0.3518	0.0004	0.1904
Mix_14	0.0726	0.0217	0.5994	0.0	0.2689
Mix_15	0.1991	0.1596	0.3198	0.0007	0.1368
Mix_16	0.3153	0.0733	0.207	0.0006	0.225
Mix_17	0.2146	0.1092	0.3319	0.0002	0.146
Mix_18	0.2321	0.1328	0.1591	0.0	0.1412
Mix_19	0.1012	0.0002	0.6267	0.0112	0.2034
Mix_20	0.3423	0.0756	0.2958	0.0085	0.1427
Mix_21	0.3309	0.0112	0.2241	0.0175	0.1904
Mix_22	0.1419	0.0066	0.5138	0.0221	0.2019
Mix_23	0.3987	0.0439	0.262	0.0062	0.0727
Mix_24	0.1132	0.2608	0.1591	0.0082	0.1603
Mix_25	0.2889	0.0693	0.2671	0.0	0.1163
Mix_26	0.2395	0.1508	0.217	0.0007	0.1446
Mix_27	0.4016	0.1295	0.0886	0.0162	0.1171
Mix_28	0.2615	0.0797	0.4062	0.0117	0.1221
Mix_29	0.3072	0.1719	0.2135	0.0015	0.1267
Mix_30	0.1501	0.0037	0.5775	0.0	0.1746
Mix_31	0.307	0.0808	0.2754	0.001	0.147
Mix_32	0.2184	0.1534	0.1513	0.0038	0.0761
Mix_33	0.1377	0.1475	0.2929	0.0036	0.1449
Mix_34	0.2678	0.0532	0.4415	0.0244	0.1473
Mix_35	0.176	0.0661	0.4794	0.0	0.1174
Mix_36	0.2656	0.0249	0.3641	0.0	0.1492
Mix_37	0.0795	0.0131	0.6738	0.0001	0.2112
Mix_38	0.1001	0.0781	0.5729	0.013	0.1278
Mix_39	0.4619	0.0746	0.1061	0.0132	0.0715
Mix_40	0.1471	0.0016	0.6292	0.0002	0.2032
Mix_41	0.144	0.0008	0.6858	0.0015	0.1344
Mix_42	0.3137	0.2239	0.1368	0.0002	0.0979
