	B Cells	CD4 T Cells	CD8 T Cells	Endo	Fibroblast	Macrophages	Mast Cell
mix_1	0.007	0.3837	0.3241	0	0	0.0052	0
mix_2	0.0346	0.324	0.2332	0	0	0.0008	0
mix_3	0.0212	0.3061	0.129	0	0	0.0054	0
mix_4	0.0275	0.5381	0.2354	0	0	0.0006	0
mix_5	0.0238	0.4226	0.2273	0	0	0.0023	0
mix_6	0.0264	0.5005	0.2522	0	0	0.0005	0
mix_7	0.0249	0.3567	0.1991	0	0	0.0025	0
mix_8	0.0174	0.3234	0.232	0	0	0.0012	0
mix_9	0.0257	0.5676	0.2856	0	0	0.0011	0
mix_10	0.0366	0.506	0.1308	0	0	0.0059	0
mix_11	0.0294	0.4149	0.3127	0	0	0.0053	0
mix_12	0.0111	0.4971	0.2114	0	0	0.0021	0
mix_13	0.0136	0.5973	0.1625	0	0	0.002	0
mix_14	0.031	0.5832	0.2284	0	0	0.0051	0
mix_15	0.0223	0.4073	0.2218	0	0	0.0015	0
mix_16	0.0372	0.2639	0.1169	0	0	0.0024	0
mix_17	0.0303	0.3189	0.1055	0	0	0.0014	0
mix_18	0.0272	0.5403	0.0784	0	0	0.0046	0
mix_19	0.0117	0.2994	0.1586	0	0	0.0049	0
mix_20	0.0329	0.481	0.2104	0	0	0.0005	0
mix_21	0.018	0.447	0.0988	0	0	0.0016	0
mix_22	0.0162	0.4843	0.274	0	0	0.0063	0
mix_23	0.0283	0.5042	0.2463	0	0	0.0036	0
mix_24	0.0236	0.4432	0.1899	0	0	0.0008	0
mix_25	0.0304	0.5742	0.2453	0	0	0.0013	0
mix_26	0.0153	0.432	0.0918	0	0	0.0048	0
mix_27	0.0245	0.4767	0.2991	0	0	0.0035	0
mix_28	0.027	0.4738	0.2287	0	0	0.0012	0
mix_29	0.0188	0.4159	0.2928	0	0	0.004	0
mix_30	0.0226	0.5536	0.2374	0	0	0.0016	0
mix_31	0.0157	0.5086	0.2017	0	0	0.0039	0
mix_32	0.0309	0.6167	0.2348	0	0	0.0069	0
mix_33	0.016	0.5237	0.1353	0	0	0.0056	0
mix_34	0.0235	0.3584	0.0871	0	0	0.0058	0
mix_35	0.0123	0.5088	0.2401	0	0	0.0027	0
mix_36	0.0212	0.4589	0.2153	0	0	0.0046	0
mix_37	0.0204	0.3458	0.1508	0	0	0.0024	0
mix_38	0.0207	0.3484	0.2001	0	0	0.0039	0
mix_39	0.0255	0.4786	0.2361	0	0	0.0008	0
mix_40	0.0164	0.5207	0.1854	0	0	0.0054	0
mix_41	0.0198	0.4031	0.1142	0	0	0.006	0
mix_42	0.0402	0.6572	0.1439	0	0	0.0014	0
mix_43	0.0307	0.438	0.0883	0	0	0.0054	0
mix_44	0.0354	0.4652	0.2252	0	0	0.0031	0
mix_45	0.0263	0.4033	0.2251	0	0	0.0021	0
mix_46	0.0108	0.447	0.1565	0	0	0.0081	0
mix_47	0.0335	0.1706	0.0722	0	0	0.0014	0
mix_48	0.0374	0.567	0.1314	0	0	0.0051	0
mix_49	0.0189	0.5155	0.2496	0	0	0.0112	0
mix_50	0.0186	0.4913	0.2492	0	0	0.0014	0
mix_51	0.0264	0.3737	0.081	0	0	0.0042	0
mix_52	0.026	0.3992	0.1216	0	0	0.005	0
mix_53	0.0495	0.3784	0.1237	0	0	0.0051	0
mix_54	0.0264	0.5011	0.1827	0	0	0.0031	0
mix_55	0.0181	0.5022	0.0915	0	0	0.0028	0
mix_56	0.0119	0.5794	0.2146	0	0	0.0048	0
mix_57	0.0253	0.529	0.2833	0	0	0.002	0
mix_58	0.0143	0.446	0.2166	0	0	0.0018	0
mix_59	0.0355	0.3505	0.1205	0	0	0.0059	0
mix_60	0.0234	0.4888	0.1411	0	0	0.0043	0
mix_61	0.0255	0.4545	0.1951	0	0	0.0035	0
mix_62	0.017	0.3657	0.1629	0	0	0.0054	0
mix_63	0.0141	0.4877	0.2173	0	0	0.0022	0
mix_64	0.0462	0.1837	0.0772	0	0	0.0015	0
mix_65	0.0657	0.5029	0.0829	0	0	0.0081	0
mix_66	0.0374	0.3349	0.1839	0	0	0.0054	0
mix_67	0.0293	0.3797	0.2795	0	0	0.0051	0
mix_68	0.0239	0.4106	0.1499	0	0	0.0019	0
mix_69	0.0373	0.5128	0.19	0	0	0.0005	0
mix_70	0.0139	0.4123	0.0993	0	0	0.0033	0
mix_71	0.0203	0.37	0.1745	0	0	0.0035	0
mix_72	0.0214	0.3423	0.1656	0	0	0.0049	0
mix_73	0.0234	0.4086	0.1068	0	0	0.002	0
mix_74	0.0201	0.5972	0.2175	0	0	0.0024	0
mix_75	0.0307	0.5132	0.1318	0	0	0.0036	0
mix_76	0.0158	0.3509	0.2571	0	0	0.0053	0
mix_77	0.0306	0.5041	0.2061	0	0	0.0027	0
mix_78	0.0232	0.4419	0.1451	0	0	0.0026	0
mix_79	0.0468	0.3044	0.0968	0	0	0.0064	0
mix_80	0.0437	0.4425	0.1134	0	0	0.0068	0
mix_81	0.0361	0.3021	0.1095	0	0	0.0091	0
mix_82	0.0158	0.2098	0.0928	0	0	0.0034	0
mix_83	0.0163	0.4895	0.1022	0	0	0.0009	0
mix_84	0.0201	0.3849	0.2019	0	0	0.0024	0
mix_85	0.0183	0.3234	0.1506	0	0	0.0053	0
mix_86	0.0258	0.4701	0.2018	0	0	0.0018	0
mix_87	0.0176	0.6072	0.3403	0	0	0.0056	0
mix_88	0.0172	0.5277	0.2328	0	0	0.0048	0
mix_89	0.0575	0.2792	0.0702	0	0	0.0071	0
mix_90	0.0099	0.564	0.3257	0	0	0.0023	0
mix_91	0.0116	0.4902	0.2435	0	0	0.0031	0
mix_92	0.0262	0.5147	0.1875	0	0	0.0015	0
mix_93	0.0309	0.3116	0.0878	0	0	0.0014	0
mix_94	0.0185	0.5891	0.2554	0	0	0.0024	0
mix_95	0.0123	0.5753	0.1868	0	0	0.0016	0
mix_96	0.0279	0.4378	0.1848	0	0	0.0053	0
mix_97	0.0249	0.5979	0.2357	0	0	0.0051	0
mix_98	0.0152	0.5891	0.1565	0	0	0.0053	0
mix_99	0.0478	0.2559	0.082	0	0	0.0038	0
mix_100	0.0095	0.5139	0.1884	0	0	0.0022	0
