	B Cells	CD4 T Cells	CD8 T Cells	Endo	Fibroblast	Macrophages	Mast Cell
mix_1	0.0959	0.5713	0.2173	0	0	0.0581	0.0574
mix_2	0.1378	0.5343	0.1433	0	0	0.0309	0.1409
mix_3	0.1324	0.4711	0.0563	0	0	0.1164	0.1738
mix_4	0.1026	0.7076	0.1397	0	0	0.0261	0.0241
mix_5	0.1085	0.5799	0.1403	0	0	0.0691	0.1021
mix_6	0.1077	0.6617	0.1652	0	0	0.0325	0.0328
mix_7	0.1212	0.5099	0.114	0	0	0.0868	0.1483
mix_8	0.1187	0.5197	0.1479	0	0	0.0656	0.1442
mix_9	0.083	0.735	0.1777	0	0	0.003	0.0014
mix_10	0.1173	0.6892	0.0448	0	0	0.0601	0.0885
mix_11	0.1111	0.611	0.2051	0	0	0.0249	0.0479
mix_12	0.0944	0.6391	0.1357	0	0	0.0685	0.0624
mix_13	0.0952	0.7674	0.089	0	0	0.0246	0.0239
mix_14	0.0989	0.7411	0.1254	0	0	0.0335	0.0012
mix_15	0.114	0.5826	0.1406	0	0	0.0593	0.1035
mix_16	0.1476	0.4343	0.0569	0	0	0.1045	0.184
mix_17	0.1445	0.4924	0.0336	0	0	0.0962	0.185
mix_18	0.1135	0.7557	0.0034	0	0	0.0404	0.087
mix_19	0.1194	0.4918	0.0741	0	0	0.1055	0.1759
mix_20	0.1154	0.6961	0.1351	0	0	0.0136	0.0398
mix_21	0.1166	0.6362	0.0366	0	0	0.0793	0.1274
mix_22	0.0937	0.6491	0.1646	0	0	0.0524	0.0402
mix_23	0.1049	0.7049	0.1499	0	0	0.0186	0.0217
mix_24	0.1108	0.6177	0.1178	0	0	0.0634	0.0902
mix_25	0.1013	0.7276	0.1584	0	0	0.0121	0.0007
mix_26	0.1168	0.6217	0.0178	0	0	0.0942	0.1431
mix_27	0.1079	0.6379	0.1974	0	0	0.0321	0.0246
mix_28	0.1134	0.6501	0.1413	0	0	0.0397	0.0555
mix_29	0.0963	0.5957	0.1956	0	0	0.0401	0.0722
mix_30	0.1047	0.697	0.1425	0	0	0.0269	0.029
mix_31	0.101	0.6855	0.1092	0	0	0.0439	0.0605
mix_32	0.0973	0.7585	0.1181	0	0	0.026	0.0
mix_33	0.1023	0.7212	0.0591	0	0	0.0617	0.0557
mix_34	0.1368	0.566	0.0087	0	0	0.0842	0.1726
mix_35	0.096	0.6508	0.1459	0	0	0.049	0.0583
mix_36	0.1096	0.6162	0.1184	0	0	0.067	0.0888
mix_37	0.124	0.518	0.082	0	0	0.0911	0.1571
mix_38	0.1183	0.514	0.1194	0	0	0.0915	0.13
mix_39	0.1111	0.6438	0.1524	0	0	0.0286	0.0641
mix_40	0.1016	0.6614	0.0961	0	0	0.0664	0.0745
mix_41	0.1228	0.5935	0.0323	0	0	0.0953	0.1343
mix_42	0.1025	0.8184	0.0736	0	0	0.0031	0.0024
mix_43	0.1246	0.6364	0.0173	0	0	0.0784	0.1215
mix_44	0.1231	0.6608	0.1462	0	0	0.0224	0.0474
mix_45	0.1152	0.5756	0.1446	0	0	0.0525	0.1121
mix_46	0.1057	0.6202	0.0712	0	0	0.0995	0.1035
mix_47	0.1667	0.3597	0.0171	0	0	0.1184	0.2327
mix_48	0.1137	0.7508	0.0412	0	0	0.0366	0.0577
mix_49	0.0918	0.6245	0.1488	0	0	0.0773	0.0576
mix_50	0.1001	0.653	0.1585	0	0	0.0317	0.0566
mix_51	0.1288	0.5316	0.0234	0	0	0.0998	0.1646
mix_52	0.1222	0.5905	0.0465	0	0	0.0855	0.1357
mix_53	0.1412	0.5872	0.0489	0	0	0.0576	0.1136
mix_54	0.1086	0.6775	0.0983	0	0	0.0553	0.0603
mix_55	0.1112	0.7045	0.0239	0	0	0.0598	0.1006
mix_56	0.0849	0.7485	0.1165	0	0	0.0438	0.0063
mix_57	0.1	0.6811	0.1755	0	0	0.0286	0.0147
mix_58	0.1048	0.6133	0.1474	0	0	0.056	0.0786
mix_59	0.1334	0.524	0.0395	0	0	0.0923	0.1555
mix_60	0.1084	0.7051	0.0572	0	0	0.053	0.0763
mix_61	0.114	0.6116	0.1184	0	0	0.0698	0.0863
mix_62	0.1258	0.5464	0.0804	0	0	0.1018	0.1326
mix_63	0.0986	0.6518	0.1287	0	0	0.057	0.0639
mix_64	0.1711	0.3671	0.0189	0	0	0.0966	0.2313
mix_65	0.1245	0.5456	0.0506	0	0	0.0945	0.1512
mix_66	0.1395	0.5187	0.096	0	0	0.0665	0.1345
mix_67	0.116	0.5645	0.1779	0	0	0.07	0.0716
mix_68	0.122	0.5868	0.0801	0	0	0.072	0.1317
mix_69	0.126	0.6787	0.1033	0	0	0.0276	0.0643
