	B Cells	CD4 T Cells	CD8 T Cells	Monocytes	NK Cells
mix_1	0.0583	0.0769	0.367	0	0
mix_2	0.0527	0.1196	0.1742	0	0
mix_3	0.1717	0.5329	0.2645	0	0
mix_4	0.2604	0.2864	0.3016	0	0
mix_5	0.159	0.1793	0.5215	0	0
mix_6	0.1632	0.2133	0.3221	0	0
mix_7	0.3116	0.2732	0.3319	0	0
mix_8	0.3303	0.3003	0.0	0	0
mix_9	0.0624	0.1547	0.4425	0	0
mix_10	0.4291	0.3712	0.087	0	0
mix_11	0.086	0.1752	0.1518	0	0
mix_12	0.0344	0.2313	0.235	0	0
mix_13	0.4006	0.1525	0.3617	0	0
mix_14	0.4673	0.2941	0.1523	0	0
mix_15	0.2806	0.012	0.6649	0	0
mix_16	0.2177	0.4401	0.2343	0	0
mix_17	0.4993	0.383	0.1177	0	0
mix_18	0.097	0.1349	0.0825	0	0
mix_19	0.2609	0.2097	0.2542	0	0
mix_20	0.0797	0.3558	0.5645	0	0
mix_21	0.2956	0.3445	0.2712	0	0
mix_22	0.2862	0.0736	0.4123	0	0
mix_23	0.3553	0.3326	0.0809	0	0
mix_24	0.0433	0.0309	0.2021	0	0
mix_25	0.0817	0.465	0.1328	0	0
mix_26	0.006	0.2477	0.7225	0	0
mix_27	0.317	0.0	0.2304	0	0
mix_28	0.1606	0.3978	0.4415	0	0
mix_29	0.1426	0.2242	0.3535	0	0
mix_30	0.2	0.241	0.2997	0	0
mix_31	0.1484	0.3839	0.1553	0	0
mix_32	0.1814	0.3341	0.3208	0	0
mix_33	0.2161	0.2736	0.1899	0	0
mix_34	0.0418	0.1346	0.2566	0	0
mix_35	0.1286	0.1525	0.3588	0	0
mix_36	0.3374	0.4686	0.1209	0	0
mix_37	0.3456	0.4871	0.0633	0	0
mix_38	0.0752	0.4114	0.4925	0	0
mix_39	0.3167	0.1059	0.5461	0	0
mix_40	0.2341	0.3723	0.0827	0	0
mix_41	0.0726	0.0872	0.3701	0	0
mix_42	0.3293	0.3777	0.2929	0	0
mix_43	0.0088	0.1911	0.647	0	0
mix_44	0.0569	0.4014	0.4319	0	0
mix_45	0.0346	0.5574	0.1313	0	0
mix_46	0.1628	0.2379	0.5693	0	0
mix_47	0.2496	0.326	0.1189	0	0
mix_48	0.2919	0.0	0.2224	0	0
mix_49	0.2527	0.0505	0.3453	0	0
mix_50	0.2937	0.5953	0.1025	0	0
mix_51	0.2843	0.0322	0.2683	0	0
mix_52	0.3629	0.2667	0.3561	0	0
mix_53	0.2814	0.1033	0.2455	0	0
mix_54	0.3442	0.3188	0.3369	0	0
mix_55	0.2644	0.1355	0.2421	0	0
mix_56	0.1662	0.6041	0.093	0	0
mix_57	0.0224	0.2776	0.3139	0	0
mix_58	0.1752	0.2489	0.4649	0	0
mix_59	0.0276	0.1088	0.4004	0	0
mix_60	0.3905	0.338	0.101	0	0
mix_61	0.2328	0.683	0.0842	0	0
mix_62	0.198	0.4641	0.325	0	0
mix_63	0.054	0.2642	0.2538	0	0
mix_64	0.2787	0.3769	0.0016	0	0
mix_65	0.1399	0.0657	0.6201	0	0
mix_66	0.274	0.0115	0.2962	0	0
mix_67	0.2939	0.2424	0.4548	0	0
mix_68	0.0585	0.1439	0.7452	0	0
mix_69	0.2621	0.319	0.0506	0	0
mix_70	0.3611	0.0	0.4358	0	0
mix_71	0.3712	0.1431	0.0	0	0
mix_72	0.517	0.4167	0.0349	0	0
mix_73	0.3494	0.0184	0.4979	0	0
mix_74	0.2985	0.3221	0.1888	0	0
mix_75	0.2666	0.0981	0.1662	0	0
mix_76	0.0654	0.2322	0.5984	0	0
mix_77	0.0739	0.4945	0.4316	0	0
mix_78	0.208	0.1151	0.3033	0	0
mix_79	0.0859	0.2507	0.172	0	0
mix_80	0.3458	0.4267	0.1194	0	0
mix_81	0.1679	0.6034	0.1267	0	0
mix_82	0.275	0.2278	0.1966	0	0
mix_83	0.2251	0.1287	0.1904	0	0
mix_84	0.2381	0.4568	0.153	0	0
mix_85	0.1689	0.5036	0.1776	0	0
mix_86	0.0583	0.4832	0.4205	0	0
mix_87	0.1444	0.5134	0.0808	0	0
mix_88	0.2005	0.3214	0.3937	0	0
mix_89	0.1438	0.4389	0.404	0	0
mix_90	0.1189	0.3888	0.1721	0	0
mix_91	0.1999	0.058	0.3014	0	0
mix_92	0.2023	0.4066	0.099	0	0
mix_93	0.0664	0.1167	0.0552	0	0
mix_94	0.022	0.0143	0.3977	0	0
mix_95	0.2788	0.0	0.3292	0	0
mix_96	0.2138	0.0	0.4463	0	0
mix_97	0.1704	0.2521	0.2066	0	0
mix_98	0.243	0.3284	0.1009	0	0
mix_99	0.0842	0.696	0.2197	0	0
mix_100	0.2108	0.4056	0.1411	0	0
