	B Cells	CD4 T Cells	CD8 T Cells	Endo	Fibroblast	Macrophages	Mast Cell
mix_1	0.0204	0.1374	0.5584	0	0.0726	0.0795	0
mix_2	0.0715	0.121	0.4208	0	0.0736	0.0513	0
mix_3	0.0682	0.085	0.2254	0	0.3222	0.1152	0
mix_4	0.0364	0.3628	0.3832	0	0.1417	0.0405	0
mix_5	0.0325	0.2048	0.396	0	0.258	0.0635	0
mix_6	0.0317	0.2999	0.429	0	0.1474	0.0311	0
mix_7	0.0463	0.1448	0.333	0	0.3146	0.0773	0
mix_8	0.0345	0.1125	0.4018	0	0.2138	0.0545	0
mix_9	0.0257	0.3619	0.463	0	0.0837	0.0314	0
mix_10	0.0976	0.356	0.2232	0	0.1178	0.1114	0
mix_11	0.0636	0.1853	0.5271	0	0.0098	0.0857	0
mix_12	0.0192	0.2815	0.3546	0	0.2354	0.0571	0
mix_13	0.0461	0.4357	0.2596	0	0.0618	0.0419	0
mix_14	0.0583	0.4051	0.3597	0	0.0551	0.0799	0
mix_15	0.0334	0.1871	0.4006	0	0.2062	0.0455	0
mix_16	0.0758	0.0555	0.1977	0	0.4054	0.0598	0
mix_17	0.0648	0.1025	0.1794	0	0.3911	0.0534	0
mix_18	0.0967	0.407	0.1502	0	0.0438	0.094	0
mix_19	0.0512	0.0821	0.2555	0	0.2822	0.0987	0
mix_20	0.0602	0.3042	0.3779	0	0.0598	0.024	0
mix_21	0.0482	0.2632	0.1793	0	0.2912	0.0489	0
mix_22	0.0367	0.2843	0.4413	0	0.0918	0.1109	0
mix_23	0.0569	0.3148	0.4097	0	0.026	0.0576	0
mix_24	0.0333	0.2424	0.3387	0	0.2634	0.0422	0
mix_25	0.0413	0.3809	0.4159	0	0.0589	0.0296	0
mix_26	0.0567	0.2361	0.1633	0	0.2741	0.0918	0
mix_27	0.0364	0.2472	0.5002	0	0.0544	0.0582	0
mix_28	0.0415	0.2979	0.3879	0	0.1403	0.0375	0
mix_29	0.04	0.1926	0.5065	0	0.0668	0.0822	0
mix_30	0.0339	0.3683	0.3905	0	0.107	0.0425	0
mix_31	0.0481	0.3308	0.3296	0	0.0984	0.0764	0
mix_32	0.067	0.4513	0.3263	0	0.0276	0.1044	0
mix_33	0.0604	0.3552	0.2335	0	0.1131	0.0889	0
mix_34	0.0997	0.197	0.1549	0	0.1507	0.1378	0
mix_35	0.0254	0.2989	0.3971	0	0.1589	0.0663	0
mix_36	0.0454	0.2608	0.3635	0	0.1821	0.0923	0
mix_37	0.0467	0.1384	0.2565	0	0.3276	0.0634	0
mix_38	0.0452	0.1259	0.3515	0	0.2646	0.0773	0
mix_39	0.0403	0.2813	0.4181	0	0.1222	0.0378	0
mix_40	0.0442	0.3289	0.3077	0	0.1731	0.1052	0
mix_41	0.075	0.2202	0.1924	0	0.2215	0.1172	0
mix_42	0.0907	0.5282	0.2388	0	0.0234	0.063	0
mix_43	0.0958	0.2846	0.1696	0	0.1792	0.1108	0
mix_44	0.0714	0.2865	0.3945	0	0.0247	0.0561	0
mix_45	0.0461	0.2038	0.4186	0	0.1837	0.0772	0
mix_46	0.0564	0.2613	0.2483	0	0.1909	0.1441	0
mix_47	0.0735	0.0	0.1158	0	0.3817	0.0411	0
mix_48	0.0987	0.4338	0.2145	0	0.0437	0.099	0
mix_49	0.0708	0.2782	0.3761	0	0.0612	0.1942	0
mix_50	0.0282	0.2878	0.4325	0	0.1358	0.0532	0
mix_51	0.0746	0.1785	0.1523	0	0.3254	0.0938	0
mix_52	0.0803	0.2163	0.2112	0	0.2113	0.103	0
mix_53	0.14	0.2412	0.2211	0	0.0732	0.1004	0
mix_54	0.0521	0.3285	0.3075	0	0.1615	0.0599	0
mix_55	0.0618	0.3418	0.1681	0	0.1649	0.0608	0
mix_56	0.0366	0.4016	0.3343	0	0.0966	0.0722	0
mix_57	0.0316	0.3226	0.464	0	0.1017	0.0505	0
mix_58	0.0254	0.2365	0.3746	0	0.2075	0.0457	0
mix_59	0.1067	0.1763	0.2007	0	0.2298	0.1395	0
mix_60	0.0671	0.3512	0.2328	0	0.126	0.0715	0
mix_61	0.0426	0.2484	0.3531	0	0.2349	0.074	0
mix_62	0.0479	0.1628	0.2698	0	0.2822	0.1004	0
mix_63	0.0232	0.2836	0.3609	0	0.2037	0.0499	0
mix_64	0.1086	0.008	0.1356	0	0.3451	0.0559	0
mix_65	0.0807	0.1702	0.2151	0	0.2216	0.1103	0
mix_66	0.1099	0.1576	0.329	0	0.0979	0.123	0
mix_67	0.0534	0.1556	0.4833	0	0.1342	0.0831	0
mix_68	0.0498	0.2262	0.259	0	0.2481	0.0609	0
mix_69	0.0636	0.3418	0.3327	0	0.1433	0.0319	0
mix_70	0.0464	0.1945	0.1808	0	0.3387	0.0746	0
mix_71	0.0547	0.1632	0.3083	0	0.2318	0.067	0
mix_72	0.0544	0.1185	0.2944	0	0.3164	0.0908	0
mix_73	0.0399	0.1941	0.1881	0	0.4296	0.0588	0
mix_74	0.0437	0.4156	0.3955	0	0.0133	0.0387	0
mix_75	0.079	0.3613	0.2349	0	0.136	0.0728	0
mix_76	0.0321	0.1125	0.4292	0	0.27	0.1017	0
mix_77	0.0555	0.3346	0.3563	0	0.1206	0.0624	0
mix_78	0.0536	0.2466	0.254	0	0.2235	0.0539	0
mix_79	0.1237	0.1212	0.1638	0	0.3485	0.1254	0
mix_80	0.1312	0.3292	0.1904	0	0.0939	0.1312	0
mix_81	0.129	0.1131	0.1951	0	0.076	0.1579	0
mix_82	0.0506	0.0	0.1372	0	0.5102	0.0975	0
mix_83	0.0342	0.2928	0.1738	0	0.3677	0.0566	0
mix_84	0.0383	0.1727	0.3544	0	0.2563	0.0722	0
mix_85	0.0688	0.1098	0.2477	0	0.2691	0.1167	0
mix_86	0.0408	0.273	0.3484	0	0.2256	0.0483	0
mix_87	0.0277	0.3707	0.5094	0	0.0154	0.0685	0
mix_88	0.0408	0.3329	0.3872	0	0.0735	0.0784	0
mix_89	0.1704	0.0926	0.1364	0	0.1629	0.1203	0
mix_90	0.0118	0.3398	0.5157	0	0.0482	0.0494	0
mix_91	0.0228	0.2812	0.4078	0	0.1643	0.0729	0
mix_92	0.0522	0.3515	0.3239	0	0.0951	0.0447	0
mix_93	0.0487	0.0731	0.1475	0	0.5874	0.0567	0
mix_94	0.0249	0.3836	0.4161	0	0.0916	0.0549	0
mix_95	0.0338	0.4008	0.3094	0	0.1057	0.0465	0
mix_96	0.0784	0.2743	0.3114	0	0.0743	0.0968	0
mix_97	0.0528	0.4136	0.3591	0	0.0524	0.1075	0
mix_98	0.0519	0.4188	0.2515	0	0.1288	0.1024	0
mix_99	0.1152	0.0526	0.1482	0	0.4895	0.1286	0
mix_100	0.0161	0.2989	0.3223	0	0.2645	0.0611	0
