	B Cells	CD4 T Cells	CD8 T Cells	Endo	Fibroblast	Macrophages	Mast Cell
mix_1	0.0	0.0	0.348	0	0.003	0.0496	0
mix_2	0.0	0.0	0.2708	0	0.0	0.0	0
mix_3	0.0	0.0	0.1773	0	0.1486	0.0644	0
mix_4	0.0	0.0	0.3183	0	0.133	0.0	0
mix_5	0.0	0.0	0.3484	0	0.1856	0.002	0
mix_6	0.0	0.0	0.3787	0	0.1293	0.0	0
mix_7	0.0	0.0	0.3037	0	0.1907	0.0177	0
mix_8	0.0	0.0	0.2972	0	0.1248	0.0	0
mix_9	0.0	0.0	0.388	0	0.0889	0.0	0
mix_10	0.0	0.0	0.0992	0	0.047	0.0589	0
mix_11	0.0049	0.0	0.3537	0	0.0	0.0554	0
mix_12	0.0	0.0	0.3236	0	0.1734	0.0	0
mix_13	0.0	0.0	0.166	0	0.0008	0.0	0
mix_14	0.0	0.0	0.2617	0	0.0239	0.0358	0
mix_15	0.0	0.0	0.349	0	0.1371	0.0	0
mix_16	0.0259	0.0	0.1566	0	0.202	0.0	0
mix_17	0.0048	0.0	0.136	0	0.2058	0.0	0
mix_18	0.0	0.056	0.0	0	0.0	0.0283	0
mix_19	0.0	0.0	0.1948	0	0.1248	0.0554	0
mix_20	0.0	0.0	0.2947	0	0.0135	0.0	0
mix_21	0.0	0.015	0.1152	0	0.1618	0.0	0
mix_22	0.0	0.0	0.3244	0	0.0438	0.094	0
mix_23	0.0003	0.0	0.2947	0	0.0	0.0	0
mix_24	0.0	0.0	0.3181	0	0.1844	0.0	0
mix_25	0.0	0.0	0.318	0	0.0405	0.0	0
mix_26	0.0	0.0	0.0591	0	0.1308	0.0242	0
mix_27	0.0	0.0	0.4005	0	0.0	0.0	0
mix_28	0.0	0.0	0.327	0	0.0996	0.0	0
mix_29	0.0	0.0	0.3621	0	0.0093	0.0401	0
mix_30	0.0	0.0	0.3089	0	0.0939	0.0	0
mix_31	0.0	0.0	0.2419	0	0.0386	0.018	0
mix_32	0.0	0.0	0.2319	0	0.0	0.0853	0
