	B Cells	CD4 T Cells	CD8 T Cells	Monocytes	NK Cells
mix_1	0	0	978.28	252.757142857	109.974375
mix_2	0	0	1030.03	295.644285714	48.869375
mix_3	0	0	1262.13	86.2171428571	72.6375
mix_4	0	0	1330.285	144.697857143	73.204375
mix_5	0	0	2325.57	127.877142857	119.173125
mix_6	0	0	1801.34	193.69	74.361875
mix_7	0	0	1341.7	110.833571429	101.99125
mix_8	0	0	643.07	225.055	4.92875
mix_9	0	0	1182.87	200.250714286	119.334375
mix_10	0	0	1943.14	130.632857143	13.555625
mix_11	0	0	503.79	280.059285714	48.205
mix_12	0	0	1593.285	243.313571429	43.65875
mix_13	0	0	1115.02	110.134285714	122.7225
mix_14	0	0	2307.65	128.751428571	26.7625
mix_15	0	0	2300.27	77.335	219.37625
mix_16	0	0	1398.075	127.537857143	57.45375
mix_17	0	0	2613.855	39.18	30.718125
mix_18	0	0	846.85	310.238571429	25.754375
mix_19	0	0	1805.86	197.31	54.280625
mix_20	0	0	4534.17	29.885	121.431875
mix_21	0	0	2603.56	111.19	43.04125
mix_22	0	0	1509.08	168.332142857	120.143125
mix_23	0	0	916.43	193.47	22.938125
mix_24	0	0	613.93	323.165714286	69.748125
mix_25	0	0	1662.19	193.608571429	16.205625
mix_26	0	0	1827.97	47.3028571429	240.630625
mix_27	0	0	333.99	255.433571429	101.601875
mix_28	0	0	2914.05	42.3971428571	110.14
mix_29	0	0	1318.79	183.145	94.814375
mix_30	0	0	1496.0	175.537142857	71.305
mix_31	0	0	780.71	188.199285714	41.36
mix_32	0	0	1641.02	147.414285714	81.27375
mix_33	0	0	538.27	209.721428571	65.638125
mix_34	0	0	897.22	267.840714286	78.0975
mix_35	0	0	2030.67	213.502857143	75.866875
mix_36	0	0	386.41	116.87	55.404375
mix_37	0	0	736.11	128.735714286	26.383125
mix_38	0	0	1140.8	64.7864285714	159.18
mix_39	0	0	2199.47	76.745	169.580625
mix_40	0	0	279.07	200.643571429	34.78375
mix_41	0	0	1488.72	240.327857143	96.033125
mix_42	0	0	2230.39	49.6035714286	82.29125
mix_43	0	0	2266.64	130.922857143	166.875625
mix_44	0	0	837.26	118.17	132.1525
mix_45	0	0	1537.48	179.282142857	14.298125
mix_46	0	0	3699.77	80.6321428571	124.68
mix_47	0	0	1113.71	195.247142857	28.483125
mix_48	0	0	138.15	278.678571429	107.831875
mix_49	0	0	1133.135	209.482142857	103.986875
mix_50	0	0	1793.79	75.5257142857	18.538125
mix_51	0	0	166.23	239.165	107.591875
mix_52	0	0	1177.56	61.585	132.54875
mix_53	0	0	639.19	223.73	85.65125
mix_54	0	0	4193.6	54.205	53.208125
mix_55	0	0	798.09	218.657142857	77.8625
mix_56	0	0	1686.63	137.352857143	8.118125
mix_57	0	0	768.04	208.692142857	94.584375
mix_58	0	0	1628.88	126.096428571	121.591875
mix_59	0	0	2046.89	232.261428571	91.85875
mix_60	0	0	2023.535	155.91	9.85375
mix_61	0	0	1309.04	39.3671428571	26.52125
mix_62	0	0	781.92	62.5921428571	119.763125
mix_63	0	0	1223.735	221.072142857	62.19625
mix_64	0	0	615.485	212.423571429	6.076875
mix_65	0	0	1037.23	141.475714286	191.25625
mix_66	0	0	598.83	240.303571429	109.203125
mix_67	0	0	1709.41	59.9857142857	146.45875
mix_68	0	0	3230.21	81.0857142857	195.825
mix_69	0	0	809.01	222.15	15.4675
mix_70	0	0	212.05	180.182857143	231.37375
mix_71	0	0	603.5	271.327142857	6.78375
mix_72	0	0	618.0	90.1121428571	33.94125
mix_73	0	0	1250.46	134.246428571	173.995
mix_74	0	0	426.745	164.212142857	68.994375
mix_75	0	0	144.35	255.343571429	68.604375
mix_76	0	0	2284.53	117.707142857	144.605625
mix_77	0	0	2777.67	44.8071428571	100.858125
mix_78	0	0	1339.87	219.916428571	80.85625
mix_79	0	0	1202.43	244.923571429	39.61125
mix_80	0	0	2224.34	138.904285714	12.4275
mix_81	0	0	1722.14	121.856428571	14.966875
mix_82	0	0	1765.76	188.688571429	37.109375
mix_83	0	0	434.22	249.769285714	71.273125
mix_84	0	0	1785.92	139.462857143	24.139375
mix_85	0	0	2046.89	137.462857143	23.13375
mix_86	0	0	1750.98	78.6764285714	113.835625
mix_87	0	0	1529.48	174.513571429	4.589375
mix_88	0	0	1745.45	109.965714286	98.20875
mix_89	0	0	2801.35	68.0671428571	89.705
mix_90	0	0	1885.34	197.09	20.419375
mix_91	0	0	567.02	240.811428571	107.56375
mix_92	0	0	1004.46	189.592142857	20.956875
mix_93	0	0	407.51	343.422142857	30.084375
mix_94	0	0	1265.39	271.717142857	118.590625
mix_95	0	0	375.755	237.618571429	130.33875
mix_96	0	0	631.68	213.153571429	178.5275
mix_97	0	0	1421.99	214.269285714	42.77125
mix_98	0	0	779.53	207.716428571	30.775625
mix_99	0	0	2310.685	28.8914285714	51.36625
mix_100	0	0	1165.45	174.758571429	33.95
