	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	14.2630857143	8.44958663844	17.2605224269	8.17424518614	21.4725087492	7.88085714286
B	14.4757857143	8.51740627987	17.0226915114	8.27256818182	21.5090764764	8.32814285714
C	12.8813681642	6.64269230769	16.5530209401	6.69659090909	22.8766189996	8.20467798872
D	12.8338623377	6.64592307692	16.697672657	6.65920990833	22.8539856088	8.22628571429
E	13.0258773191	7.33703825507	17.7219350685	7.30757693006	22.0098079337	8.934
F	13.087639251	7.60736328417	19.0900830859	7.65783437709	20.5043276398	7.71542857143
G	14.1470201309	9.02215988737	16.2081251076	9.36455120313	20.4459684265	7.25814285714
H	13.5215265117	9.36213383178	14.4538322981	8.46849610405	19.16083657	7.03557142857
I	13.7034950554	9.35444208334	14.4574582524	8.48363936762	19.1911426658	7.05381516672
J	12.6119764302	5.62324283866	15.5411567708	5.87506818182	23.011871137	7.42465219557
K	12.5325218519	5.42161538462	17.1156681451	5.84662146622	22.4386382595	8.77423440274
L	12.2038997367	6.42353846154	16.0443770316	6.35992594135	22.8220715669	7.45828571429
