	Neutrophils	Lymphocyte	Monocytes	Eosinophil	Basophil
S10001	0	25.886836	0	0	0
S10006	0	26.4054	0	0	0
S1001	0	26.644036	0	0	0
S10010	0	26.438984	0	0	0
S10011	0	26.632056	0	0	0
S10014	0	26.089384	0	0	0
S10026	0	26.677762	0	0	0
S10032	0	26.625192	0	0	0
S10036	0	26.010074	0	0	0
S10042	0	27.110104	0	0	0
S10044	0	27.166738	0	0	0
S10049	0	26.69839	0	0	0
S10057	0	25.636676	0	0	0
S10062	0	26.73598	0	0	0
S10066	0	26.364448	0	0	0
S10067	0	26.620414	0	0	0
S1007	0	26.31441	0	0	0
S10073	0	27.254836	0	0	0
S10077	0	26.208304	0	0	0
S10080	0	27.116144	0	0	0
S10082	0	26.891708	0	0	0
S10087	0	26.479688	0	0	0
S10089	0	25.779588	0	0	0
S1009	0	27.062514	0	0	0
S10090	0	25.33747	0	0	0
S10093	0	26.40201	0	0	0
S10094	0	26.756506	0	0	0
S1010	0	26.777266	0	0	0
S10111	0	27.012278	0	0	0
S10116	0	26.777502	0	0	0
S10119	0	26.800078	0	0	0
S10121	0	26.239394	0	0	0
S10130	0	26.094374	0	0	0
S10140	0	26.486262	0	0	0
S10142	0	26.205156	0	0	0
S10150	0	26.275012	0	0	0
S10155	0	26.915552	0	0	0
S1016	0	25.712526	0	0	0
S10163	0	26.747592	0	0	0
S10167	0	26.989086	0	0	0
S10168	0	26.41008	0	0	0
S10173	0	27.10643	0	0	0
S10175	0	26.468912	0	0	0
S10179	0	27.52189	0	0	0
S10186	0	26.44284	0	0	0
S1019	0	26.176458	0	0	0
S10190	0	27.56515	0	0	0
S10195	0	26.252126	0	0	0
S10196	0	27.155876	0	0	0
S10200	0	26.327952	0	0	0
S10201	0	25.198212	0	0	0
S10202	0	26.570904	0	0	0
S10205	0	27.10536	0	0	0
S10211	0	26.025794	0	0	0
S10221	0	27.296078	0	0	0
S10222	0	25.578982	0	0	0
S10226	0	26.39438	0	0	0
S10227	0	26.451522	0	0	0
S10228	0	26.507548	0	0	0
S10232	0	26.796662	0	0	0
S10248	0	26.86547	0	0	0
S10249	0	26.581758	0	0	0
S1025	0	26.677062	0	0	0
S10266	0	26.399714	0	0	0
S10269	0	25.941108	0	0	0
S10272	0	25.747904	0	0	0
S10273	0	26.147736	0	0	0
S10274	0	26.719658	0	0	0
S1028	0	27.027182	0	0	0
S10280	0	26.65109	0	0	0
S10283	0	27.103548	0	0	0
S1029	0	26.300194	0	0	0
S10292	0	26.209422	0	0	0
S10294	0	26.75298	0	0	0
S10302	0	26.812144	0	0	0
S10303	0	26.353634	0	0	0
S10323	0	26.209098	0	0	0
S10326	0	26.300708	0	0	0
S10328	0	26.700988	0	0	0
S10329	0	26.548446	0	0	0
S10336	0	26.193354	0	0	0
S10340	0	26.463432	0	0	0
S10347	0	25.426946	0	0	0
S10353	0	26.549698	0	0	0
S10356	0	26.21866	0	0	0
S10358	0	26.436532	0	0	0
S10365	0	26.085634	0	0	0
S1037	0	26.890342	0	0	0
S10373	0	26.873724	0	0	0
S10374	0	25.823754	0	0	0
S10375	0	27.395246	0	0	0
S10377	0	26.486802	0	0	0
S10378	0	27.354248	0	0	0
S10390	0	25.25776	0	0	0
S10391	0	26.060082	0	0	0
S10393	0	27.174878	0	0	0
S10400	0	26.308926	0	0	0
S10401	0	26.26962	0	0	0
S10406	0	26.049124	0	0	0
S10408	0	26.75332	0	0	0
S10409	0	27.558266	0	0	0
S10418	0	24.53156	0	0	0
S10431	0	26.320896	0	0	0
S10438	0	26.353602	0	0	0
S10439	0	27.283732	0	0	0
S10441	0	26.162984	0	0	0
S10442	0	26.737622	0	0	0
S1046	0	26.477078	0	0	0
S10478	0	25.993244	0	0	0
S10480	0	25.774634	0	0	0
S10484	0	26.434394	0	0	0
S10492	0	27.904096	0	0	0
S10496	0	26.756904	0	0	0
S10510	0	25.577994	0	0	0
S10513	0	26.351728	0	0	0
S10516	0	25.993282	0	0	0
S10534	0	26.132278	0	0	0
S10535	0	26.537356	0	0	0
S10537	0	26.82693	0	0	0
S1054	0	26.079844	0	0	0
S10543	0	26.409718	0	0	0
S10546	0	25.785646	0	0	0
S1055	0	26.020254	0	0	0
S10551	0	26.160128	0	0	0
S10552	0	25.619432	0	0	0
S10555	0	27.49523	0	0	0
S10559	0	26.17088	0	0	0
S1056	0	26.85419	0	0	0
S10563	0	27.132764	0	0	0
S10574	0	26.642216	0	0	0
S10576	0	26.008064	0	0	0
S10578	0	26.386668	0	0	0
S10579	0	26.214982	0	0	0
S10582	0	26.538498	0	0	0
S1059	0	26.940008	0	0	0
S10599	0	27.202118	0	0	0
S10611	0	26.264384	0	0	0
S10614	0	26.34966	0	0	0
S10624	0	26.235162	0	0	0
S10632	0	25.58301	0	0	0
S10634	0	26.162446	0	0	0
S10638	0	26.210606	0	0	0
S10644	0	27.04024	0	0	0
S10649	0	26.008636	0	0	0
S10652	0	25.63443	0	0	0
S10654	0	26.506824	0	0	0
S10655	0	26.08867	0	0	0
S10656	0	27.220228	0	0	0
S10657	0	26.390662	0	0	0
S10658	0	27.102908	0	0	0
S10660	0	26.27079	0	0	0
S10661	0	26.526604	0	0	0
S10676	0	26.487428	0	0	0
S1068	0	26.5215	0	0	0
S10681	0	25.53264	0	0	0
S10686	0	25.788968	0	0	0
S10688	0	26.539804	0	0	0
S10690	0	25.870384	0	0	0
S10698	0	26.538076	0	0	0
S107	0	27.152302	0	0	0
S10703	0	26.545082	0	0	0
S10726	0	26.62572	0	0	0
S10729	0	26.370076	0	0	0
S10733	0	26.92316	0	0	0
S10734	0	27.038674	0	0	0
S10735	0	26.417456	0	0	0
S10740	0	27.1051	0	0	0
S10745	0	26.229266	0	0	0
S10748	0	26.12537	0	0	0
S10753	0	27.407106	0	0	0
S10756	0	26.704134	0	0	0
S10757	0	26.777514	0	0	0
S1076	0	26.778428	0	0	0
S10764	0	26.102608	0	0	0
S10767	0	26.956374	0	0	0
S10776	0	26.488108	0	0	0
S10778	0	27.125308	0	0	0
S10784	0	26.171224	0	0	0
S10787	0	26.4371	0	0	0
S10800	0	26.450858	0	0	0
S10805	0	26.31894	0	0	0
S10813	0	26.299734	0	0	0
S10814	0	24.967402	0	0	0
S10815	0	26.389256	0	0	0
S10817	0	26.162296	0	0	0
S1083	0	26.63045	0	0	0
S10835	0	26.27609	0	0	0
S10838	0	26.505252	0	0	0
S10844	0	26.297154	0	0	0
S10845	0	26.114322	0	0	0
S10846	0	27.09809	0	0	0
S10853	0	26.209588	0	0	0
S10854	0	26.488566	0	0	0
S10865	0	26.519956	0	0	0
S10866	0	26.752352	0	0	0
S10869	0	26.569868	0	0	0
S10873	0	26.285008	0	0	0
S10876	0	27.21602	0	0	0
