	B Cells	CD4 T Cells	CD8 T Cells	Monocytes	NK Cells
mix_1	2771.0224	52115.755	1371.5163	10819.7635	2518.5135
mix_2	2729.4936	50263.0295	1301.0086	11580.0734	2224.8856
mix_3	3292.6959	59562.3506	1573.1879	6775.7684	2390.7106
mix_4	3292.0248	57232.5136	1455.4106	8705.2773	2394.6385
mix_5	3159.9348	57342.3706	1519.9194	8382.8018	2652.4241
mix_6	3036.5276	55398.1722	1425.3446	9478.7005	2326.2637
mix_7	3488.0216	58575.1303	1464.8719	7703.0522	2524.9139
mix_8	3284.2434	54306.9026	1292.6224	10425.1586	1968.2493
mix_9	2848.4223	54601.1323	1446.4363	9662.7072	2592.3161
mix_10	3617.5113	58225.3384	1389.356	8162.4751	2044.7484
mix_11	2796.083	50735.2319	1321.5863	11452.7403	2224.7241
mix_12	2751.4331	53352.5739	1386.6096	10169.312	2190.6065
mix_13	3695.7638	58131.0352	1423.3762	8172.2073	2590.7362
mix_14	3703.4783	58218.203	1395.4187	8178.247	2129.4846
mix_15	3505.7623	58473.3853	1577.055	7032.0292	3167.4825
mix_16	3281.78	58591.8134	1485.1923	7674.0926	2290.1716
mix_17	4263.3543	60269.1813	1512.6471	6313.5541	2202.4722
mix_18	2788.6355	49829.4761	1264.1923	11871.2032	2116.7513
mix_19	3206.1877	55443.1685	1379.2053	9577.149	2262.5594
mix_20	3144.4312	60290.9131	1781.8903	5040.8031	2751.5359
mix_21	3398.0607	58598.5138	1483.8307	7611.7088	2241.4368
mix_22	3309.7771	55377.7916	1414.2568	9544.9673	2586.8513
mix_23	3382.9134	55941.0386	1353.3497	9671.6544	2078.4952
mix_24	2677.566	48770.4102	1268.7634	12229.6234	2367.063
mix_25	2901.6375	56333.2958	1445.3048	9036.9953	2058.0835
mix_26	2938.098	59627.2499	1767.7794	5397.2775	3432.8462
mix_27	3246.5526	50304.0272	1257.9768	12116.3269	2467.5906
mix_28	3347.1543	60028.2891	1696.1198	5616.0224	2717.2745
mix_29	2997.2098	55698.7931	1446.1349	9304.6809	2467.8444
mix_30	3117.3521	55933.6862	1426.644	9242.4852	2358.6578
mix_31	3014.6022	55755.9817	1421.2843	9338.1662	2210.8528
mix_32	3182.9661	57418.4218	1474.4063	8530.6481	2409.2036
mix_33	3146.3035	54899.6342	1369.087	9988.5032	2281.8517
mix_34	2734.6047	51664.5864	1343.9185	11147.8907	2358.1827
mix_35	2961.425	54436.6072	1426.5485	9802.3993	2369.9473
mix_36	3545.5186	58831.4342	1439.9058	7706.026	2264.108
mix_37	3494.2117	58720.7106	1425.9775	7935.2446	2144.7027
mix_38	3094.1416	59649.3946	1678.2067	6185.4751	2912.9217
mix_39	3587.7237	58850.6422	1546.9611	7172.8093	2894.1738
mix_40	3170.4156	55497.5108	1365.6982	9692.7177	2147.5409
mix_41	2811.7794	52902.3172	1388.4458	10503.2606	2453.3185
mix_42	3727.3505	59804.9173	1584.9907	6393.1815	2509.8892
mix_43	2836.1763	57571.0273	1586.418	7949.8413	2863.7311
mix_44	2997.7426	58629.8364	1574.8457	7351.1523	2700.4313
mix_45	2834.0999	56962.5742	1473.6491	8688.739	2057.1142
mix_46	3212.2411	59035.6895	1622.3397	6696.5772	2708.235
mix_47	3188.7921	55493.486	1373.3296	9655.2086	2100.641
mix_48	3174.4334	49451.8001	1239.8107	12427.9169	2540.0315
mix_49	3187.8434	53570.319	1355.0334	10411.7796	2472.0015
mix_50	3505.6856	59728.2833	1532.2991	6830.8705	2100.6054
mix_51	3192.097	51955.3745	1305.5378	11355.5995	2481.5945
mix_52	3801.1525	59320.0896	1525.4554	6858.0796	2733.2588
mix_53	3232.8335	53469.9382	1327.1783	10660.9398	2391.1674
mix_54	3692.6704	60160.2649	1586.2655	6008.0085	2368.0574
mix_55	3171.8465	53672.9304	1345.5363	10464.1507	2355.8061
mix_56	3155.7377	58600.028	1490.1132	7626.974	2049.2036
mix_57	2776.676	54517.411	1444.5439	9609.0047	2437.0437
mix_58	3180.1239	58277.0402	1507.7675	7727.966	2640.1923
mix_59	2752.6198	53213.8451	1416.4955	10131.5578	2434.7814
mix_60	3464.6255	57432.6421	1384.9808	8526.1767	2038.1794
mix_61	3544.4366	60618.4116	1627.663	5868.6832	2230.1535
mix_62	3383.137	59758.1525	1593.1711	6485.7492	2664.5217
mix_63	2812.1486	54159.7166	1407.0803	9843.8574	2265.7995
mix_64	3202.888	54934.5219	1334.2124	10043.1587	1991.8766
mix_65	3076.7534	56519.4237	1507.0514	8682.9222	2976.3585
mix_66	3156.8187	51805.0584	1301.8041	11319.2672	2497.3696
mix_67	3620.1109	59283.1891	1569.263	6638.6962	2840.323
mix_68	3008.5407	58807.4065	1660.5728	6387.5682	3034.215
mix_69	3168.3059	54585.985	1336.3301	10139.4424	2040.5706
mix_70	3528.9866	53096.8486	1356.4839	10816.4935	3182.3601
mix_71	3273.3006	50911.5884	1213.9584	11863.3216	2001.2097
mix_72	4017.864	59022.9328	1424.1701	7673.8274	2127.5674
mix_73	3519.2737	56258.8469	1431.2504	9189.8313	2868.7177
mix_74	3326.4019	56389.4242	1405.2007	9206.0739	2341.8123
mix_75	3132.8148	51261.3093	1272.4246	11619.4992	2322.9683
mix_76	2960.9416	58406.4229	1572.8554	7317.9351	2745.5935
mix_77	3141.3555	60000.1493	1713.5623	5563.4923	2681.9795
mix_78	3086.769	53789.5235	1365.9959	10274.6567	2373.4171
mix_79	2823.34	53337.4686	1365.7198	10389.2775	2171.5293
mix_80	3469.5786	58492.3823	1433.0606	7924.8352	2062.2312
mix_81	3178.9661	58863.7503	1516.5399	7420.6429	2089.0618
mix_82	3219.0731	55326.1852	1370.8064	9752.1357	2190.2906
mix_83	3056.8068	52305.713	1297.5167	11182.6573	2299.8721
mix_84	3268.9418	58308.6345	1450.5867	7990.7585	2125.9656
mix_85	3172.8085	58462.7104	1487.7194	7650.3773	2134.3385
mix_86	3037.9307	59540.2143	1633.7201	6475.7824	2626.6859
mix_87	3021.9162	56917.9974	1436.3561	8895.0349	2029.7791
