	B Cells	CD4 T Cells	CD8 T Cells	Monocytes	NK Cells
mix_1	661.7136	596.0357	827.5413	3311.6126	701.2651
mix_2	605.6327	454.4878	508.9915	3633.5975	371.5495
mix_3	1116.0153	1236.9768	1086.1172	954.2512	654.7436
mix_4	1219.3338	856.9602	884.415	1874.0951	612.3394
mix_5	1017.3451	964.7481	1166.7858	1610.6849	907.3736
mix_6	944.4938	754.5055	794.6073	2462.5908	557.0558
mix_7	1417.9319	945.3374	1045.6172	1292.9974	768.8558
mix_8	1258.2752	544.4432	405.9898	2845.1818	180.7606
mix_9	719.9187	791.6773	1004.6798	2504.1191	815.8413
mix_10	1573.6404	793.4965	588.6062	1597.7438	254.0895
mix_11	683.2443	487.1376	536.329	3545.6482	390.1234
mix_12	601.6062	673.9642	643.2114	3079.9931	407.4113
mix_13	1698.3036	810.916	1019.5718	1327.0482	819.374
mix_14	1673.743	794.58	654.3492	1561.6709	343.6512
mix_15	1477.6233	1004.823	1597.493	949.1531	1449.6361
mix_16	1129.5593	1007.9321	890.1328	1560.0496	527.5828
mix_17	2199.167	1068.2257	836.9748	252.7114	411.6271
mix_18	679.1423	379.6648	375.94	3685.8779	241.7168
mix_19	1171.0235	702.964	712.625	2468.9031	476.7089
mix_20	970.3704	1508.6481	1476.3913	334.6485	979.9556
mix_21	1306.7377	974.2082	864.0326	1386.8278	488.6548
mix_22	1272.292	693.767	955.5051	2209.4533	808.4463
mix_23	1342.6593	680.518	552.4425	2221.5846	288.5046
mix_24	595.9548	351.5534	502.2069	3792.3911	437.1776
mix_25	715.4856	877.3921	649.7057	2350.0121	292.3267
mix_26	769.6338	1507.7544	1997.0838	416.7103	1658.1425
mix_27	1338.0173	342.7826	639.5426	3331.1244	612.701
mix_28	1213.4137	1422.131	1409.7113	347.8619	931.4733
mix_29	897.5241	805.1846	919.8867	2311.8315	691.5248
mix_30	1036.041	786.3395	821.477	2212.1158	574.2375
mix_31	879.0095	815.8909	723.1471	2398.6363	433.8422
mix_32	1021.1768	938.9894	937.7553	1806.6999	637.4476
mix_33	1076.7994	685.6424	706.0932	2573.9788	492.8301
mix_34	598.7184	558.0971	664.7461	3400.352	516.0103
mix_35	839.5409	718.998	803.3227	2704.0843	584.173
mix_36	1496.5985	959.7677	827.9443	1320.35	492.5187
mix_37	1419.8479	926.8936	727.1724	1505.4975	373.2219
mix_38	944.1207	1396.8482	1538.3538	729.4627	1152.4255
mix_39	1544.118	1031.4823	1388.0854	888.0928	1156.2644
mix_40	1103.2329	704.1506	613.4932	2525.2921	367.5359
mix_41	715.4429	619.6047	799.8499	3187.8892	646.6238
mix_42	1639.2851	1208.3926	1124.6811	486.0416	712.8331
mix_43	642.5178	1119.41	1389.0426	1600.6486	1113.6511
mix_44	784.523	1171.333	1276.5522	1365.1622	945.2741
mix_45	628.394	979.0131	700.2885	2154.7977	299.7072
mix_46	1080.5419	1206.8247	1316.4336	930.6075	947.7867
mix_47	1119.9142	703.4518	579.831	2508.3255	317.3922
mix_48	1286.6477	300.0048	649.3854	3488.3199	656.321
mix_49	1161.9887	570.8047	793.1335	2722.2091	676.4287
mix_50	1396.4529	1169.8517	842.665	930.5111	361.8912
mix_51	1243.9271	447.2175	719.6339	3259.3076	656.3894
mix_52	1758.7827	1069.9895	1245.4764	606.0156	957.3009
mix_53	1214.8411	520.009	697.0813	2844.1294	574.28
mix_54	1602.688	1168.4527	1023.3492	552.1783	583.681
mix_55	1167.0934	565.8287	691.7502	2812.5843	543.9869
mix_56	963.2259	1046.6125	725.0434	1661.6666	287.7528
