	B Cells	CD4 T Cells	CD8 T Cells	Endo	Fibroblast	Macrophages	Mast Cell
mix_1	1106.11700751	1513.53371976	946.410301409	0	3814.19124679	762.862878602	0
mix_2	1098.44578212	1429.61144547	781.103983503	0	3850.20318533	750.013871457	0
mix_3	1047.76134377	1248.92905891	595.351077786	0	4250.39376797	805.529642633	0
mix_4	1119.88616052	1665.7964701	999.748113539	0	3884.72802527	690.938550661	0
mix_5	1079.63252457	1478.4540672	851.168415189	0	4131.75599891	738.389792931	0
mix_6	1115.14331873	1607.52226567	984.363277212	0	3928.90224976	693.36464158	0
mix_7	1050.3221084	1372.11433805	731.102628559	0	4223.90586624	750.677691801	0
mix_8	1057.3731974	1365.30871754	763.152751575	0	4099.95198195	756.51326527	0
mix_9	1154.78425516	1736.08338062	1100.28934451	0	3747.18683813	669.407668742	0
mix_10	1132.34640598	1554.91830742	825.597686542	0	3887.53607866	768.631376768	0
mix_11	1150.96303091	1616.10114133	1000.04847204	0	3599.54447107	756.619064995	0
mix_12	1084.13495391	1532.83270683	893.331403526	0	4060.80113618	724.877006263	0
mix_13	1125.45556991	1681.54921765	962.791139857	0	3697.172441	699.983608992	0
mix_14	1166.59004513	1711.97739865	1030.3139559	0	3694.31444843	731.404318058	0
mix_15	1079.10106824	1443.77878723	836.960440237	0	4071.88132536	733.161153626	0
mix_16	1026.4920392	1199.3955204	554.459961529	0	4373.49489961	762.363294161	0
mix_17	1019.75613142	1245.22371876	578.151341389	0	4325.2393007	757.479267448	0
mix_18	1139.16966494	1586.16753761	806.85004736	0	3717.07950316	763.966140449	0
mix_19	1041.82673836	1258.32921299	611.506030292	0	4226.3438644	801.246415871	0
mix_20	1127.34459463	1600.64074115	943.597206616	0	3752.85005	692.200857607	0
mix_21	1054.32270196	1411.88372549	715.738930124	0	4190.23294929	729.39853151	0
mix_22	1125.44687722	1630.74530634	983.641809274	0	3830.48320256	780.33830488	0
mix_23	1154.09080034	1642.78571559	991.332907848	0	3638.157264	727.03578732	0
mix_24	1072.27599455	1469.93326894	840.94189379	0	4143.05322894	713.52209556	0
mix_25	1159.82923644	1719.80349545	1054.76709175	0	3697.99787322	680.264835712	0
mix_26	1053.40303163	1369.94541861	661.743771576	0	4168.55287754	768.895617786	0
mix_27	1142.86746804	1607.00247531	1012.90097163	0	3761.32595633	726.745277734	0
mix_28	1111.79525054	1577.74403563	937.97577418	0	3929.6163065	704.806723437	0
mix_29	1118.54532457	1551.15606033	941.064321594	0	3786.42108149	760.065726583	0
mix_30	1132.7538257	1669.98150783	1014.53757576	0	3823.06162047	698.26905297	0
mix_31	1115.87647275	1578.46172403	901.568377874	0	3821.58275387	747.182285735	0
mix_32	1182.18352197	1788.36864284	1070.47038513	0	3555.34209126	739.401801771	0
mix_33	1107.23590074	1544.18870132	852.207059169	0	3866.68713373	759.346103943	0
mix_34	1077.2672086	1357.79314917	617.245884931	0	4008.57835972	812.47505527	0
mix_35	1109.38912503	1590.09478172	936.444511973	0	3933.98436424	737.982891034	0
mix_36	1102.80624399	1528.97631865	870.042125829	0	3995.88996492	761.17833438	0
mix_37	1035.10315369	1315.2380448	677.295639995	0	4241.44595928	761.107836762	0
mix_38	1055.5435555	1362.237118	743.083149615	0	4188.80396541	766.779304057	0
mix_39	1115.64161568	1577.80282665	934.887803887	0	3878.94088384	705.396047046	0
mix_40	1109.33661495	1556.78984805	877.851780384	0	3992.22787133	767.24881674	0
mix_41	1064.08285886	1371.51466518	675.915792014	0	4130.01974218	803.330242969	0
mix_42	1183.48052551	1807.34249529	1011.96489061	0	3553.28477179	701.156790259	0
mix_43	1090.15472272	1438.05271483	709.554073439	0	4016.2905746	776.701314715	0
mix_44	1138.9276172	1598.84942216	946.164804334	0	3644.78827042	728.695269231	0
mix_45	1103.45040725	1494.61644096	855.985597064	0	4021.68256645	746.279353608	0
mix_46	1102.60391938	1435.18909878	768.636760318	0	4050.74613967	804.995182524	0
mix_47	992.822875515	1058.48405767	402.925070547	0	4454.12600389	777.594981956	0
mix_48	1152.11789454	1655.55114057	899.022721102	0	3692.05511045	759.821017241	0
mix_49	1153.29882829	1603.48192282	944.221968513	0	3742.43271112	834.241642801	0
mix_50	1120.44059642	1599.69779465	953.525748404	0	3879.50022019	714.35796507	0
mix_51	1042.17864579	1315.18720601	610.335885495	0	4241.8932205	782.231769703	0
mix_52	1079.10560529	1396.21245654	691.810868255	0	4085.72509769	786.55080938	0
mix_53	1125.03977074	1445.77353104	729.317855007	0	3849.77692776	783.230495088	0
mix_54	1109.17922266	1561.46431758	892.211161036	0	3970.50643258	718.220066667	0
mix_55	1084.78168527	1496.32823947	760.761227525	0	3990.63541266	742.204860494	0
mix_56	1127.92431087	1676.27442985	1008.41985018	0	3802.65826049	738.295387545	0
mix_57	1143.54463807	1678.55785545	1036.3963095	0	3794.5781032	711.793342426	0
mix_58	1071.66343794	1486.64075001	872.306509377	0	4056.44520252	718.155279945	0
mix_59	1071.37604	1361.27208332	648.19145797	0	4132.28306561	804.430833812	0
mix_60	1105.61411226	1528.39231945	842.229178691	0	3918.64535688	738.059831013	0
mix_61	1085.75861755	1498.15381123	853.968781075	0	4085.92837249	739.622745342	0
mix_62	1062.41490917	1342.59059611	696.183572564	0	4211.0586983	789.616930049	0
mix_63	1089.75651565	1536.17494495	905.59876069	0	4028.16744909	715.820507549	0
mix_64	1014.39856623	1117.08456583	437.533126044	0	4346.68608777	777.584778997	0
mix_65	1061.48731074	1338.03795982	650.251524123	0	4110.57615017	786.847223649	0
mix_66	1109.83545758	1418.31695337	735.941115249	0	3894.66678725	803.351201597	0
mix_67	1105.02478607	1471.19590898	894.05072593	0	3968.91218288	751.536906565	0
mix_68	1065.12649321	1413.06730134	746.559311005	0	4106.13411566	748.32886232	0
mix_69	1113.86127505	1593.17944927	912.257280702	0	3901.94034741	700.601331398	0
mix_70	1039.34453007	1333.25391695	647.103744872	0	4263.25488604	763.41485298	0
mix_71	1065.78648833	1372.48563549	733.440210976	0	4117.32326072	763.682681513	0
mix_72	1041.28884801	1315.81910164	685.31742221	0	4259.30351406	780.300180717	0
mix_73	1044.62326937	1344.6599865	676.599995616	0	4360.21046838	741.071719255	0
mix_74	1178.38093707	1787.53283883	1106.30585573	0	3499.28175498	672.926147691	0
mix_75	1112.12184258	1555.36787354	843.255028054	0	3906.81735128	737.536348105	0
mix_76	1062.72033809	1390.78290897	799.026098932	0	4190.35984718	775.665677037	0
mix_77	1130.5739105	1602.06280106	933.504409105	0	3871.89668485	724.607454573	0
mix_78	1064.12639835	1418.52060573	769.788115874	0	4105.27995695	738.583687252	0
mix_79	1052.92470688	1255.46991152	593.257014073	0	4273.33392382	786.564446918	0
mix_80	1107.37283331	1497.00229939	779.989805476	0	3879.77550962	789.129676364	0
mix_81	1073.97593821	1292.35089039	602.640056498	0	3923.97728021	830.802319955	0
mix_82	987.504514192	1088.4019784	418.107002341	0	4537.87528688	811.271164041	0
mix_83	1051.13639376	1445.21038317	729.749716359	0	4248.1246891	728.779399169	0
mix_84	1066.29127527	1411.94586454	777.813787492	0	4145.30287636	759.819137252	0
mix_85	1054.20983221	1300.10969151	623.21006249	0	4205.53634541	800.054783385	0
mix_86	1081.12357275	1515.41967691	880.394359779	0	4048.02604356	709.727034274	0
mix_87	1206.88954798	1869.28741071	1238.52938154	0	3467.71414996	701.235661667	0
mix_88	1140.88644265	1639.67157884	988.433445841	0	3764.14717726	738.453273359	0
mix_89	1054.77493938	1239.91775107	550.51280269	0	4089.58033443	799.669520654	0
mix_90	1163.8133399	1781.12699661	1131.64420664	0	3624.77472746	691.473330612	0
mix_91	1108.35485592	1561.03877359	927.643328481	0	3964.09735092	746.662767984	0
mix_92	1112.66960514	1590.57693391	919.591029805	0	3838.18217453	716.253525651	0
mix_93	1002.13361935	1196.76016632	542.140017807	0	4549.01141453	753.40200586	0
mix_94	1141.91408907	1724.95837958	1062.36982831	0	3762.65793191	710.630181767	0
mix_95	1115.45649656	1663.12352765	962.486241046	0	3841.62143349	709.480851099	0
mix_96	1119.63562137	1512.09211019	835.951987705	0	3816.50626277	766.583975115	0
mix_97	1165.88897637	1761.42532622	1033.24651794	0	3638.4402749	757.069810831	0
mix_98	1117.70351678	1635.88039586	907.814530833	0	3866.72704294	758.97651546	0
mix_99	1038.1235777	1203.99972225	498.443793701	0	4465.84112728	792.028016367	0
mix_100	1079.70788768	1530.6437093	874.0972327	0	4107.28612168	722.742238211	0
