	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.023476854	0.43622664	0.0	0.0	0.48964562	0.05065087
B	0.005549254	0.39640157	0.0	0.0	0.49661005	0.10143915
C	0.0	0.20748682	0.0	0.07252563	0.48427723	0.23571034
D	0.0	0.2477442	0.0	0.0	0.49866726	0.25358858
E	0.0	0.21940277	0.0	0.04082492	0.50895411	0.23081823
F	0.0	0.15758064	0.0	0.0	0.56725472	0.27516462
G	0.016910671	0.2742595	0.0	0.37997857	0.3288513	0.0
H	0.073867874	0.52993799	0.0	0.04450606	0.3516881	0.0
I	0.083164215	0.55739017	0.0	0.02868327	0.3307623	0.0
J	0.0	0.07924222	0.0	0.0	0.48977249	0.4309853
K	0.0	0.01424136	0.0	0.0	0.60019547	0.38556318
L	0.0	0.24409887	0.0	0.04866593	0.47576912	0.2314661
