	B Cells	CD4 T Cells	NK Cells	Monocytes	CD8 T Cells
Mix_1	0.152253968249	0.482238821885	0.120524690763	0.208096917297	0.0368856018068
Mix_2	0.232866380687	0.558184000549	0.0935782374018	0.105509358228	0.00986202313483
Mix_3	0.117162091147	0.402119823175	0.307783835179	0.0726102304554	0.100324020043
Mix_4	0.143739787002	0.535087801598	0.142635679923	0.0533491207338	0.125187610743
Mix_5	0.388793839819	0.340295078439	0.139613716925	0.0254115220484	0.105885842769
Mix_6	0.276302715412	0.253215753554	0.0666970030532	0.266838544835	0.136945983146
Mix_7	0.165761916341	0.521774656788	0.127332518121	0.0350784724673	0.150052436283
Mix_8	0.237527075437	0.576804706492	0.0	0.117807176878	0.0678610411927
Mix_9	0.25825712929	0.485214059364	0.0982563773396	0.0919366654954	0.0663357685117
Mix_10	0.317677990838	0.352811271622	0.0669624892946	0.153813056066	0.108735192179
Mix_11	0.186482747231	0.591349776002	0.158029947545	0.0539803816873	0.0101571475341
Mix_12	0.113492821696	0.445916850194	0.2347207798	0.142887909083	0.0629816392266
Mix_13	0.342177442303	0.312025318073	0.0801382571377	0.0861685361406	0.179490446346
Mix_14	0.12721294978	0.489884850396	0.262130571926	0.0329625709082	0.0878090569894
Mix_15	0.144067201205	0.648727855368	0.0574655191703	0.0710103506305	0.0787290736269
Mix_16	0.243897352157	0.469489929472	0.00406373094774	0.0992313210751	0.183317666349
Mix_17	0.164514777824	0.578130217842	0.12430731976	0.0401495835467	0.0928981010276
Mix_18	0.147338996141	0.660515775511	0.0979117576413	0.0514609234273	0.0427725472791
Mix_19	0.115578686066	0.408519464666	0.130647552486	0.172028760451	0.173225536331
Mix_20	0.270209709233	0.458620488817	0.0406382527212	0.143079478002	0.0874520712276
Mix_21	0.249043989458	0.457300448503	0.0178232985188	0.181522400868	0.0943098626526
Mix_22	0.167573192918	0.402390256653	0.146491282562	0.192669016061	0.0908762518071
Mix_23	0.291594515059	0.512931885729	0.082452548575	0.0920587290252	0.0209623216114
Mix_24	0.0688262814765	0.702129502666	0.0195643688492	0.0934361718771	0.116043675131
Mix_25	0.29685087306	0.41187427961	0.113216749241	0.0304820113642	0.147576086726
Mix_26	0.197667950075	0.469385384042	0.0358838360889	0.0598639404456	0.237198889348
Mix_27	0.268754903496	0.393296298639	0.0	0.14258481369	0.195363984174
Mix_28	0.220139598342	0.509282156802	0.0392614432477	0.157274247954	0.0740425536546
Mix_29	0.247754613028	0.516567630627	0.00903526907285	0.0579039570061	0.168738530267
Mix_30	0.20954981537	0.356302861406	0.16474381274	0.0163205685761	0.253082941908
Mix_31	0.266489551913	0.534913275442	0.0275192149341	0.0909612879796	0.080116669732
Mix_32	0.145987099618	0.652378751153	0.0449043211842	0.082011608767	0.0747182192777
Mix_33	0.125189972999	0.580351586598	0.117148922373	0.0856334765851	0.0916760414451
Mix_34	0.295609321669	0.312668985542	0.0613622022061	0.198154686569	0.132204804014
Mix_35	0.192361941287	0.574196918983	0.142159701364	0.0525793362592	0.0387021021062
Mix_36	0.236503869178	0.500181860062	0.0316359250115	0.100137396588	0.131540949161
Mix_37	0.135849365025	0.389861271184	0.316126747413	0.0720882938853	0.0860743224931
Mix_38	0.0801159521678	0.554473952623	0.148678807839	0.133863024749	0.082868262622
