	B Cells	CD4 T Cells	CD8 T Cells	Endo	Fibroblast	Macrophages	Mast Cell
mix_1	0.0	0.167672703696	0.533589029838	0	0	0.103202232282	0
mix_2	0.0	0.194723244317	0.407271671625	0	0	0.0610712922344	0
mix_3	0.0	0.19651723226	0.222626337461	0	0	0.104680733169	0
mix_4	0.0	0.314449076003	0.463536992344	0	0	0.0823731501977	0
mix_5	0.0	0.234274513348	0.407940665454	0	0	0.0858946933748	0
mix_6	0.0	0.295611841891	0.465541154866	0	0	0.0769345962722	0
mix_7	0.0	0.217223406493	0.33580691565	0	0	0.0798160453879	0
mix_8	0.0	0.158825647358	0.383148772281	0	0	0.0794225487839	0
mix_9	0.0	0.292857983836	0.549000691506	0	0	0.082173681273	0
mix_10	0.0	0.399813060713	0.290824182902	0	0	0.122504179078	0
mix_11	0.0	0.212724447787	0.565424095696	0	0	0.102047481609	0
mix_12	0.0	0.290225997285	0.373890883659	0	0	0.0900007570034	0
mix_13	0.0	0.395074677945	0.330879202427	0	0	0.0949174661696	0
mix_14	0.0	0.374551797191	0.4519840918	0	0	0.111932206258	0
mix_15	0.0	0.215410194549	0.391244877635	0	0	0.0819036900528	0
mix_16	0.0	0.171589516516	0.17705962806	0	0	0.0712852303544	0
mix_17	0.0	0.200096811594	0.167021287733	0	0	0.0695745520789	0
mix_18	0.0	0.458158050313	0.20960068114	0	0	0.116500542108	0
mix_19	0.0	0.165609279237	0.252038913895	0	0	0.101938803216	0
mix_20	0.0	0.283826202916	0.433642880278	0	0	0.0639995716972	0
mix_21	0.0	0.281869628672	0.230822983139	0	0	0.0771924337008	0
mix_22	0.0	0.300500440405	0.487514877423	0	0	0.12074490882	0
mix_23	0.0	0.318556044956	0.453462019287	0	0	0.0977632333265	0
mix_24	0.0	0.264020610366	0.347854357922	0	0	0.0748681050444	0
mix_25	0.0	0.3440517806	0.468798218241	0	0	0.0824249070835	0
mix_26	0.0	0.300585186294	0.192020479197	0	0	0.0983364651918	0
mix_27	0.0	0.222207441056	0.562806105223	0	0	0.0913138240007	0
mix_28	0.0	0.27094035777	0.445704094259	0	0	0.0834761202678	0
mix_29	0.0	0.192216137991	0.53914701393	0	0	0.09709029439	0
mix_30	0.0	0.327620638968	0.453677033684	0	0	0.093745181448	0
mix_31	0.0	0.330743365397	0.381538695854	0	0	0.0996610685379	0
mix_32	0.0	0.412502172719	0.436907929058	0	0	0.126606707194	0
mix_33	0.0	0.402493418241	0.257201177243	0	0	0.116514611731	0
mix_34	0.0	0.335697906504	0.163885144273	0	0	0.124265969569	0
mix_35	0.0	0.291633488378	0.443622913012	0	0	0.0972599638371	0
mix_36	0.0	0.309125060197	0.376874207165	0	0	0.113152252967	0
mix_37	0.0	0.197647730324	0.267991801196	0	0	0.0768635536221	0
mix_38	0.0	0.18193187611	0.344268125186	0	0	0.0941255223833	0
mix_39	0.0	0.280798155719	0.449805323177	0	0	0.0814603778754	0
mix_40	0.0	0.343088148558	0.371723664723	0	0	0.10973920595	0
