	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.000105275414239	7.90891793892e-12	9.22056484959e-07	6.18533293608e-14	6.41390609451e-06	0.00405990217378
B	0.000112938667355	8.13768571592e-12	9.69590841533e-07	6.54350297336e-14	6.40001890243e-06	0.0045973700913
C	5.02248145276e-05	1.69201423627e-12	6.34244867078e-07	2.94673113559e-14	9.11024219773e-06	0.00400285499737
D	5.64960242194e-05	1.75473844099e-12	6.825568686e-07	3.14457223086e-14	9.2820570382e-06	0.00400730408417
E	5.71901470852e-05	2.93896447498e-12	9.65281202693e-07	3.99264853294e-14	6.42908579914e-06	0.00691308187016
F	7.76155734012e-05	4.9508545598e-12	2.09700613614e-06	5.95322875401e-14	4.21482908703e-06	0.00532312498196
G	0.00011004208702	1.16732580059e-11	6.82093107041e-07	1.19014763064e-13	4.3841896035e-06	0.00299968816421
H	9.27033413818e-05	1.62581169158e-11	4.4253279428e-07	8.52709903734e-14	4.60244120376e-06	0.00239702488443
I	0.000100566962652	1.71806752996e-11	4.66200111509e-07	9.02845960406e-14	5.01619156344e-06	0.00275165338974
J	4.68011115401e-05	6.24864000245e-13	4.179524919e-07	2.25593304698e-14	1.00678662353e-05	0.00304844574965
K	4.85405157482e-05	4.86773579384e-13	8.15243089908e-07	2.49770511892e-14	7.50403765954e-06	0.00701279278318
L	4.03461842314e-05	1.16110339115e-12	4.23897185085e-07	2.87529866578e-14	9.01783596648e-06	0.00300049714723
