	Neutrophils	Lymphocyte	Monocytes	Eosinophil	Basophil
S10001	1.00341387783e-118	1.42449950401e-26	4.21689813983e-103	0	0
S10006	6.13237062125e-119	1.10680241964e-26	1.0494650185e-102	0	0
S1001	7.26138572853e-119	9.86421048474e-27	1.94902700274e-102	0	0
S10010	9.24545865497e-119	8.52773055917e-27	2.07391113653e-102	0	0
S10011	4.94702626197e-119	1.51545284813e-26	1.0184821849e-102	0	0
S10014	7.52997404241e-119	1.2604652044e-26	9.41905401925e-103	0	0
S10026	8.10799327165e-119	1.13265990007e-26	4.40686920549e-102	0	0
S10032	6.91188026079e-119	9.08760561477e-27	1.84265682791e-102	0	0
S10036	4.28202996522e-119	1.17844189415e-26	3.07578375771e-102	0	0
S10042	7.72907031726e-119	1.35571644735e-26	3.05750334798e-102	0	0
S10044	9.31600593247e-119	1.3691432348e-26	2.59425580952e-102	0	0
S10049	6.97073874559e-119	1.17233479721e-26	2.26705712627e-102	0	0
S10057	3.67143712044e-119	1.07842768513e-26	6.09946274962e-103	0	0
S10062	6.19567538687e-119	1.07786709212e-26	1.29694809712e-102	0	0
S10066	8.66046741918e-119	1.34767904765e-26	9.33197325996e-103	0	0
S10067	4.22254137141e-119	1.29103683189e-26	1.27166683312e-102	0	0
S1007	4.58984327324e-119	1.07019545152e-26	1.0765789174e-102	0	0
S10073	7.65142375281e-119	1.47907825616e-26	1.95150534182e-102	0	0
S10077	5.44008134808e-119	9.5269339104e-27	4.14886152791e-103	0	0
S10080	5.15150827716e-119	9.68452540035e-27	1.72244041785e-102	0	0
S10082	4.58777580502e-119	1.27538599831e-26	1.75680501587e-102	0	0
S10087	6.39367269525e-119	1.10527568668e-26	1.07397028623e-102	0	0
S10089	4.63551048732e-119	7.15081619159e-27	4.85784179548e-103	0	0
S1009	6.00443385983e-119	1.35688576826e-26	1.07094724303e-102	0	0
S10090	3.98159061511e-119	8.69568923444e-27	4.26097082508e-103	0	0
S10093	6.35941867149e-119	5.92795015065e-27	2.46050436954e-102	0	0
S10094	5.93039510188e-119	1.33602783357e-26	2.07784409785e-102	0	0
S1010	5.34180838007e-119	1.47692173901e-26	8.79153759077e-103	0	0
S10111	5.17506945381e-119	1.64063676702e-26	2.25822214263e-102	0	0
S10116	3.28272726149e-119	1.68103294089e-26	5.20386008584e-103	0	0
S10119	5.77256117961e-119	1.19212281652e-26	1.53381102536e-102	0	0
S10121	4.85451855807e-119	8.24899052691e-27	1.14542850506e-102	0	0
S10130	5.25222319348e-119	6.362074231e-27	8.134848662e-103	0	0
S10140	7.89357160839e-119	8.31381274823e-27	2.26779056687e-102	0	0
S10142	4.77277466594e-119	9.75455652078e-27	1.25569615424e-102	0	0
S10150	9.22998449864e-119	7.42532972428e-27	1.30965554152e-102	0	0
S10155	6.81073999961e-119	1.43354613083e-26	1.80941174996e-102	0	0
S1016	4.1180506036e-119	1.03813909577e-26	1.46949530047e-102	0	0
S10163	1.31515556735e-118	1.28361367472e-26	4.32724510339e-103	0	0
S10167	7.57464473422e-119	1.11043241153e-26	1.9186444844e-102	0	0
S10168	4.29481173509e-119	9.99658957191e-27	1.11849133398e-102	0	0
S10173	7.5690464375e-119	1.67266109215e-26	6.50590086897e-103	0	0
S10175	5.46407855526e-119	1.20743034838e-26	1.23746473472e-102	0	0
S10179	7.26281194447e-119	1.70720096668e-26	2.33737208111e-102	0	0
S10186	2.67034884887e-119	1.57973464853e-26	1.38923186918e-102	0	0
S1019	3.0765104471e-119	9.80859592135e-27	1.0421435957e-102	0	0
S10190	6.28877153547e-119	1.47511685433e-26	2.53904754743e-102	0	0
S10195	7.2683516735e-119	1.46571815124e-26	1.48389335531e-102	0	0
S10196	8.26708216148e-119	1.48049740686e-26	2.11548346862e-102	0	0
S10200	1.00736287142e-118	9.96725074369e-27	1.88991420785e-102	0	0
S10201	7.24479512047e-119	6.6339980739e-27	6.25357932591e-103	0	0
