B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.0300942581514	0.358540665852	0.0	0.0	0.0	0.611365075997
B	0.0182462249642	0.368447313771	0.0	0.0	0.0	0.613306461264
C	0.0	0.145768383413	0.0	0.0	0.108993617557	0.74523799903
D	0.0	0.137896386611	0.0	0.0	0.120030915723	0.742072697666
E	0.0	0.15633233861	0.0	0.0	0.0	0.84366766139
F	0.0	0.228821751476	0.145864266193	0.0	0.0	0.62531398233
G	0.0270209914591	0.421060078971	0.0	0.106108011337	0.0	0.445810918233
H	0.00978834755455	0.593631922646	0.0	0.0	0.0	0.3965797298
I	0.0108539464528	0.594983703406	0.0	0.0	0.0	0.394162350142
J	0.0	0.0845057155307	0.0	0.0	0.199959528003	0.715534756467
K	0.0	0.0841863426393	0.0	0.0	0.0	0.915813657361
L	0.0	0.177818760431	0.0	0.0	0.0810897784214	0.741091461148
