B Cells	CD4 T Cells	CD8 T Cells	Monocytes	NK Cells
mix_1	0.0	0.350169218946	0.535217197862	0.0	0.114613583192
mix_2	0.0	0.359957334515	0.545836079245	0.0	0.0942065862394
mix_3	0.0	0.418493718691	0.524779339879	0.0	0.0567269414306
mix_4	0.0	0.331917426678	0.589355800256	0.0	0.0787267730653
mix_5	0.0	0.312780145319	0.592216717158	0.0	0.095003137523
mix_6	0.0	0.341006541296	0.578390026493	0.0	0.080603432211
mix_7	0.0	0.312752535027	0.598513291597	0.0	0.0887341733762
mix_8	0.0	0.388428732069	0.5468438055	0.0	0.0647274624319
mix_9	0.0	0.36019461435	0.551721830414	0.0	0.0880835552358
mix_10	0.0	0.338341724299	0.59528882799	0.0	0.0663694477112
mix_11	0.0	0.372558167775	0.540684728568	0.0	0.0867571036569
mix_12	0.0	0.361056190127	0.570857662128	0.0	0.0680861477449
mix_13	0.0	0.327898431214	0.568827782046	0.0	0.103273786741
mix_14	0.0	0.318261374042	0.604960432703	0.0	0.0767781932554
mix_15	0.0	0.291678417392	0.568336848036	0.0	0.139984734573
mix_16	0.0	0.364313571001	0.571852925474	0.0	0.0638335035251
mix_17	0.0	0.341747059647	0.585696485895	0.0	0.0725564544587
mix_18	0.0	0.387375281572	0.532682013379	0.0	0.0799427050496
mix_19	0.0	0.328987691334	0.582800133086	0.0	0.08821217558
mix_20	0.0	0.330167135619	0.591300088179	0.0	0.0785327762025
mix_21	0.0	0.315570901171	0.614994542686	0.0	0.0694345561436
mix_22	0.0	0.384594885093	0.515443866011	0.0	0.0999612488955
mix_23	0.0	0.368560607921	0.562491056809	0.0	0.0689483352695
mix_24	0.0	0.356518807143	0.543565096662	0.0	0.0999160961948
mix_25	0.0	0.362145511334	0.576060791937	0.0	0.0617936967286
mix_26	0.0	0.353091021766	0.529755689846	0.0	0.117153288388
mix_27	0.0	0.449403035826	0.426265249695	0.0	0.124331714479
mix_28	0.0	0.361114172116	0.558225217071	0.0	0.0806606108134
mix_29	0.0	0.356809796445	0.554453290299	0.0	0.0887369132565
mix_30	0.0	0.332176045132	0.586436887426	0.0	0.0813870674422
mix_31	0.0	0.391733311744	0.545701948953	0.0	0.0625647393024
mix_32	0.0	0.329063062239	0.594741147885	0.0	0.0761957898757
mix_33	0.0	0.37094883328	0.552405590765	0.0	0.0766455759552
mix_34	0.0	0.380635256524	0.531149809938	0.0	0.0882149335381
mix_35	0.0	0.374515429727	0.547260879118	0.0	0.0782236911549
mix_36	0.0	0.389285065236	0.549247823393	0.0	0.0614671113716
mix_37	0.0	0.389853432303	0.550679132538	0.0	0.0594674351591
mix_38	0.0	0.380251311245	0.531960722522	0.0	0.0877879662323
