B Cells	CD4 T Cells	CD8 T Cells	Monocytes	NK Cells
mix_1	0.131378177661	0.787678729043	0.0809430932964	0.0	0.0
mix_2	0.0848157800705	0.80380676337	0.111377456559	0.0	0.0
mix_3	0.250122982816	0.676040451153	0.0738365660305	0.0	0.0
mix_4	0.324444006041	0.598378860403	0.0771771335563	0.0	0.0
mix_5	0.315177494474	0.556585804619	0.128236700907	0.0	0.0
mix_6	0.337523432083	0.554737352396	0.10773921552	0.0	0.0
mix_7	0.375118854403	0.553465752461	0.0714153931359	0.0	0.0
mix_8	0.377780737485	0.582497644868	0.0397216176466	0.0	0.0
mix_9	0.148903723714	0.767491734208	0.0836045420778	0.0	0.0
mix_10	0.412062493891	0.480110487693	0.107827018416	0.0	0.0
mix_11	0.17187107062	0.789423022791	0.0387059065888	0.0	0.0
mix_12	0.0444368852215	0.834531726721	0.121031388057	0.0	0.0
mix_13	0.465775794022	0.475949472261	0.0582747337171	0.0	0.0
mix_14	0.436339005566	0.448432714242	0.115228280192	0.0	0.0
mix_15	0.435149605479	0.425606678608	0.139243715914	0.0	0.0
mix_16	0.277790950127	0.636945329331	0.0852637205423	0.0	0.0
mix_17	0.512735409846	0.339109863629	0.148154726526	0.0	0.0
mix_18	0.216168732832	0.690107870317	0.0937233968516	0.0	0.0
mix_19	0.354735268961	0.53226903606	0.112995694978	0.0	0.0
mix_20	0.246500592283	0.50400855555	0.249490852167	0.0	0.0
mix_21	0.326109001002	0.517800248206	0.156090750791	0.0	0.0
mix_22	0.424860155515	0.478695660789	0.0964441836956	0.0	0.0
mix_23	0.373320789166	0.575252485061	0.051426725773	0.0	0.0
mix_24	0.0702143819164	0.850291387037	0.0794942310468	0.0	0.0
mix_25	0.129814331669	0.768138899272	0.102046769059	0.0	0.0
mix_26	0.158057429632	0.603829121971	0.238113448397	0.0	0.0
mix_27	0.642070664009	0.315077334789	0.0428520012018	0.0	0.0
mix_28	0.321107692257	0.505967851406	0.172924456337	0.0	0.0
mix_29	0.308322476243	0.608277201747	0.0834003220098	0.0	0.0
mix_30	0.341617664129	0.559612729782	0.0987696060884	0.0	0.0
mix_31	0.2617351531	0.689334083365	0.0489307635353	0.0	0.0
mix_32	0.296159334215	0.606605361585	0.0972353042004	0.0	0.0
mix_33	0.370516720669	0.593633789999	0.0358494893319	0.0	0.0
mix_34	0.0692129681964	0.855747361785	0.0750396700186	0.0	0.0
mix_35	0.264247998733	0.607914978518	0.127837022749	0.0	0.0
mix_36	0.393897961798	0.590692580548	0.0154094576539	0.0	0.0
mix_37	0.369039862716	0.59590944791	0.0350506893742	0.0	0.0
mix_38	0.237651147843	0.639599241756	0.122749610401	0.0	0.0
mix_39	0.400927250722	0.421528904017	0.177543845261	0.0	0.0
mix_40	0.306963266788	0.674858435214	0.0181782979982	0.0	0.0
mix_41	0.165844693052	0.72421134147	0.109943965477	0.0	0.0
mix_42	0.39418326764	0.443566899231	0.162249833129	0.0	0.0
mix_43	0.117615995723	0.713263439311	0.169120564966	0.0	0.0
mix_44	0.180086455058	0.769479839798	0.0504337051437	0.0	0.0
mix_45	0.0640028635624	0.833350214776	0.102646921662	0.0	0.0
mix_46	0.336295052448	0.471525063487	0.192179884065	0.0	0.0
mix_47	0.323941477388	0.602196318649	0.0738622039631	0.0	0.0
mix_48	0.576882028243	0.404087980443	0.0190299913147	0.0	0.0
mix_49	0.395673041368	0.523366352821	0.0809606058111	0.0	0.0
mix_50	0.333745119805	0.571302320273	0.0949525599222	0.0	0.0
mix_51	0.482727435517	0.499708469375	0.0175640951079	0.0	0.0
mix_52	0.425651860066	0.448194494993	0.126153644942	0.0	0.0
mix_53	0.429512586058	0.528572053046	0.0419153608954	0.0	0.0
mix_54	0.392392636813	0.360823764084	0.246783599103	0.0	0.0
mix_55	0.392640707132	0.558550440716	0.0488088521518	0.0	0.0
mix_56	0.248148116343	0.655220597001	0.0966312866569	0.0	0.0
mix_57	0.0415199127836	0.907833454066	0.0506466331502	0.0	0.0
mix_58	0.313432773482	0.606044174487	0.0805230520317	0.0	0.0
mix_59	0.0899056058054	0.734152118809	0.175942275386	0.0	0.0
mix_60	0.39702375329	0.485042686905	0.117933559805	0.0	0.0
mix_61	0.328688026549	0.609156595889	0.0621553775626	0.0	0.0
mix_62	0.358962327264	0.599000557316	0.0420371154207	0.0	0.0
mix_63	0.108838523212	0.807300470576	0.0838610062121	0.0	0.0
mix_64	0.33585407383	0.620541094309	0.0436048318607	0.0	0.0
mix_65	0.336853917508	0.595117688744	0.0680283937488	0.0	0.0
mix_66	0.487267691963	0.4628294445	0.0499028635366	0.0	0.0
mix_67	0.456179117009	0.426462677631	0.11735820536	0.0	0.0
mix_68	0.240042518139	0.499681673272	0.260275808589	0.0	0.0
mix_69	0.360711209163	0.584399934398	0.0548888564392	0.0	0.0
mix_70	0.660875141022	0.313042828383	0.0260820305959	0.0	0.0
mix_71	0.527114988428	0.430009596021	0.0428754155511	0.0	0.0
mix_72	0.491441342135	0.483300765786	0.0252578920792	0.0	0.0
mix_73	0.493510170068	0.429051856787	0.077437973145	0.0	0.0
mix_74	0.344240303606	0.636483632153	0.0192760642411	0.0	0.0
mix_75	0.451347864169	0.53888281648	0.00976931935033	0.0	0.0
mix_76	0.227206540207	0.624921589302	0.147871870491	0.0	0.0
mix_77	0.201726261946	0.61085838281	0.187415355244	0.0	0.0
mix_78	0.385834980153	0.516457653348	0.097707366499	0.0	0.0
mix_79	0.139495006468	0.776264129627	0.0842408639049	0.0	0.0
mix_80	0.334025230299	0.543662652392	0.122312117309	0.0	0.0
mix_81	0.267202248158	0.634809823937	0.0979879279055	0.0	0.0
mix_82	0.346531732861	0.544103849998	0.109364417141	0.0	0.0
mix_83	0.378502833764	0.59063559725	0.0308615689863	0.0	0.0
mix_84	0.350624240619	0.546815745465	0.102560013916	0.0	0.0
mix_85	0.272757332417	0.605002388492	0.122240279092	0.0	0.0
mix_86	0.198900972044	0.692738214934	0.108360813022	0.0	0.0
mix_87	0.230491315647	0.686745210773	0.0827634735799	0.0	0.0
mix_88	0.289935105192	0.601075196607	0.1089896982	0.0	0.0
mix_89	0.299570745476	0.563547798687	0.136881455837	0.0	0.0
mix_90	0.187819854327	0.693714024031	0.118466121642	0.0	0.0
mix_91	0.38582500495	0.574213068019	0.0399619270302	0.0	0.0
mix_92	0.288982391473	0.649748438682	0.0612691698445	0.0	0.0
mix_93	0.0971962581436	0.855499108761	0.0473046330958	0.0	0.0
mix_94	0.0675533130493	0.791357762493	0.141088924458	0.0	0.0
mix_95	0.507466039203	0.45546399427	0.0370699665273	0.0	0.0
mix_96	0.459264859197	0.484246551648	0.0564885891551	0.0	0.0
mix_97	0.326133803609	0.576505468404	0.097360727987	0.0	0.0
mix_98	0.322385473714	0.627277155974	0.0503373703119	0.0	0.0
mix_99	0.225897740513	0.659243416794	0.114858842694	0.0	0.0
