B Cells	CD4 T Cells	CD8 T Cells	Endo	Fibroblast	Macrophages	Mast Cell
mix_1	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_2	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_3	0.0	0.952701039157	0.047298960843	0.0	0.0	0.0	0.0
mix_4	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_5	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_6	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_7	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_8	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_9	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_10	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_11	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_12	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_13	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_14	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_15	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_16	0.0	0.95257656148	0.0474234385202	0.0	0.0	0.0	0.0
mix_17	0.0	0.952914824107	0.0470851758927	0.0	0.0	0.0	0.0
mix_18	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_19	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_20	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_21	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_22	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_23	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_24	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_25	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_26	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_27	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_28	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_29	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_30	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_31	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_32	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_33	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_34	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_35	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_36	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_37	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_38	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_39	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_40	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_41	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_42	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_43	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_44	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_45	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_46	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_47	0.0	0.895375642369	0.104624357631	0.0	0.0	0.0	0.0
mix_48	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_49	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_50	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_51	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_52	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_53	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_54	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_55	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_56	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_57	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_58	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_59	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_60	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_61	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_62	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_63	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_64	0.0	0.930055835038	0.0699441649623	0.0	0.0	0.0	0.0
mix_65	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_66	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_67	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_68	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_69	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_70	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_71	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_72	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_73	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_74	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_75	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_76	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_77	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_78	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_79	0.0	0.965051817149	0.0349481828512	0.0	0.0	0.0	0.0
mix_80	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_81	0.0	0.97707472219	0.0229252778099	0.0	0.0	0.0	0.0
mix_82	0.0	0.935042286511	0.0649577134893	0.0	0.0	0.0	0.0
mix_83	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_84	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_85	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_86	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_87	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_88	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_89	0.0	0.935105428281	0.0648945717189	0.0	0.0	0.0	0.0
mix_90	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_91	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_92	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_93	0.0	0.968950280728	0.0310497192721	0.0	0.0	0.0	0.0
mix_94	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_95	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_96	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_97	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_98	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mix_99	0.0	0.90714955397	0.0928504460299	0.0	0.0	0.0	0.0
mix_100	0.0	1.0	0.0	0.0	0.0	0.0	0.0
