B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
average.A	0.0	0.0	0.158307625021	0.0	0.526952048456	0.314740326523
average.B	0.0	0.0	0.168204059113	0.0	0.519542128636	0.312253812251
average.C	0.0	0.0	0.113113511709	0.0	0.55578293575	0.331103552541
average.D	0.0	0.0	0.121069791141	0.0	0.54801823967	0.330911969189
average.E	0.0	0.0	0.167262011149	0.0	0.509002172496	0.323735816355
average.F	0.0	0.0	0.369462972007	0.0	0.393915951055	0.236621076938
average.G	0.0	0.0	0.152269241096	0.0	0.556994877826	0.290735881077
average.H	0.0	0.0	0.101826052493	0.0	0.577965365983	0.320208581524
average.I	0.0	0.0	0.110152073968	0.0	0.567373301186	0.322474624846
average.J	0.0	0.0	0.0984181807238	0.0	0.56649279593	0.335089023346
average.K	0.0	0.0	0.145023099127	0.0	0.524091506836	0.330885394037
average.L	0.0	0.0	0.102665534911	0.0	0.567262569307	0.330071895782
stdev.A	0.0	0.0	0.0564235707486	0.0	0.570081142436	0.373495286816
stdev.B	0.0	0.0	0.120439080101	0.0	0.541141338429	0.33841958147
stdev.C	0.0	0.0	0.0969556029095	0.0	0.513440655238	0.389603741853
stdev.D	0.0	0.0	0.0511062003922	0.0	0.569912707746	0.378981091862
stdev.E	0.0	0.0	0.0300109674795	0.0	0.596860076514	0.373128956006
stdev.F	0.0	0.0	0.297974676059	0.0	0.422843636182	0.27918168776
stdev.G	0.0	0.0	0.246520179775	0.0	0.50094802484	0.252531795384
stdev.H	0.0	0.0	0.188972271931	0.0	0.485999079132	0.325028648936
stdev.I	0.0	0.0	0.0632024338615	0.0	0.557835229251	0.378962336888
stdev.J	0.0	0.0	0.0419812758364	0.0	0.581538082373	0.37648064179
stdev.K	0.0	0.0	0.0754286212922	0.0	0.572370002339	0.352201376369
stdev.L	0.0	0.0	0.0571412858093	0.0	0.565844582569	0.377014131622
