B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
average.A	0.166666666667	0.166666666667	0.166666666667	0.166666666667	0.166666666667	0.166666666667
average.B	0.166666666667	0.166666666667	0.166666666667	0.166666666667	0.166666666667	0.166666666667
average.C	0.166666666667	0.166666666667	0.166666666667	0.166666666667	0.166666666667	0.166666666667
average.D	0.0	0.0	0.0	0.0	1.0	0.0
average.E	0.0	0.0	0.0	0.0	1.0	0.0
average.F	0.166666666667	0.166666666667	0.166666666667	0.166666666667	0.166666666667	0.166666666667
average.G	0.210544128718	0.0852278725747	0.135244520356	0.280235540844	0.150028776019	0.138719161487
average.H	0.0	1.0	0.0	0.0	0.0	0.0
average.I	0.113472729471	0.438982824438	0.0	0.0208527291075	0.426691716984	0.0
average.J	0.196250395169	0.196250395169	0.196250395169	0.0	0.214998419322	0.196250395169
average.K	0.2	0.2	0.2	0.0	0.2	0.2
average.L	0.312670833067	0.0	0.0	0.0	0.687329166933	0.0
stdev.A	0.166666666667	0.166666666667	0.166666666667	0.166666666667	0.166666666667	0.166666666667
stdev.B	0.166666666667	0.166666666667	0.166666666667	0.166666666667	0.166666666667	0.166666666667
stdev.C	0.166666666667	0.166666666667	0.166666666667	0.166666666667	0.166666666667	0.166666666667
stdev.D	0.0	0.0	0.0	0.0	1.0	0.0
stdev.E	0.0	0.0	0.0	0.0	1.0	0.0
stdev.F	0.166666666667	0.166666666667	0.166666666667	0.166666666667	0.166666666667	0.166666666667
stdev.G	0.139091911483	0.240746808344	0.0	0.367062628415	0.253098651758	0.0
stdev.H	0.0	1.0	0.0	0.0	0.0	0.0
stdev.I	0.206685166506	0.119999061148	0.0	0.405189311308	0.268126461038	0.0
stdev.J	0.0	0.0	0.0	0.64852963963	0.35147036037	0.0
stdev.K	0.0	0.0	0.0	1.0	0.0	0.0
stdev.L	0.593390167228	0.0	0.0	0.0	0.406609832772	0.0
