B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
average.A	0.626719993779	0.0	0.0	0.0	0.167696334346	0.205583671875
average.B	0.699931170745	0.0	0.0	0.0	0.132997561369	0.167071267886
average.C	0.262579982838	0.0	0.0	0.0	0.322613198327	0.414806818835
average.D	0.349078290279	0.0	0.0	0.0	0.28133928832	0.369582421402
average.E	0.0710292266913	0.0	0.0	0.0	0.300038937423	0.628931835885
average.F	0.626704005684	0.0	0.0	0.0	0.101940021957	0.271355972359
average.G	1.0	0.0	0.0	0.0	0.0	0.0
average.H	0.950736107804	0.0	0.0	0.0	0.0492638921956	0.0
average.I	0.848853134961	0.0	0.0	0.0	0.151146865039	0.0
average.J	0.55378078337	0.0	0.0	0.0	0.253116557563	0.193102659066
average.K	0.423395699639	0.0	0.0	0.0	0.179439542044	0.397164758317
average.L	0.100170588612	0.0	0.0	0.0	0.504060146017	0.39576926537
stdev.A	0.592470899263	0.0	0.0	0.0	0.149044448014	0.258484652723
stdev.B	0.440523644588	0.0	0.0	0.0	0.127082333401	0.432394022012
stdev.C	0.591187403498	0.0	0.0	0.0	0.148285227338	0.260527369164
stdev.D	0.715960414839	0.0	0.0	0.0	0.151574966326	0.132464618835
stdev.E	0.789946522668	0.0	0.0	0.0	0.0582032068481	0.151850270484
stdev.F	0.785698379619	0.0	0.0	0.0	0.0865011102409	0.12780051014
stdev.G	1.0	0.0	0.0	0.0	0.0	0.0
stdev.H	0.584180662019	0.0	0.0	0.0	0.415819337981	0.0
stdev.I	0.882029903257	0.0	0.0	0.0	0.117970096743	0.0
stdev.J	0.66193164003	0.0	0.0	0.0	0.152452541928	0.185615818041
stdev.K	0.542199044466	0.0	0.0	0.0	0.15172791195	0.306073043584
stdev.L	0.434871421338	0.0	0.0	0.0	0.318555758231	0.246572820431
