B Cells	CD4 T Cells	NK Cells	Monocytes	CD8 T Cells
average.Mix_1	0.0	1.0	0.0	0.0	0.0
average.Mix_2	0.871659869142	0.128340130858	0.0	0.0	0.0
average.Mix_3	0.0	0.309045223259	0.0	0.0	0.690954776741
average.Mix_4	0.0	0.393755884517	0.0	0.0	0.606244115483
average.Mix_5	1.0	0.0	0.0	0.0	0.0
average.Mix_6	1.0	0.0	0.0	0.0	0.0
average.Mix_7	0.0	0.318987736852	0.0	0.0	0.681012263148
average.Mix_8	0.529698294893	0.470301705107	0.0	0.0	0.0
average.Mix_9	0.73376972893	0.26623027107	0.0	0.0	0.0
average.Mix_10	1.0	0.0	0.0	0.0	0.0
average.Mix_11	0.0	0.676308164839	0.0	0.0	0.323691835161
average.Mix_12	0.0	0.461917307109	0.0	0.0	0.538082692891
average.Mix_13	1.0	0.0	0.0	0.0	0.0
average.Mix_14	0.0	0.295204601067	0.0	0.0	0.704795398933
average.Mix_15	0.0	0.409623616161	0.0	0.0	0.590376383839
average.Mix_16	0.0	1.0	0.0	0.0	0.0
average.Mix_17	0.0	0.366273188272	0.0	0.0	0.633726811728
average.Mix_18	0.0	0.462296021187	0.0	0.0	0.537703978813
average.Mix_19	0.0	0.658444520936	0.0	0.0	0.341555479064
average.Mix_20	1.0	0.0	0.0	0.0	0.0
average.Mix_21	1.0	0.0	0.0	0.0	0.0
average.Mix_22	0.0	1.0	0.0	0.0	0.0
average.Mix_23	1.0	0.0	0.0	0.0	0.0
average.Mix_24	0.0	0.340907309024	0.0	0.0	0.659092690976
average.Mix_25	1.0	0.0	0.0	0.0	0.0
average.Mix_26	0.0	0.361621272481	0.0	0.0	0.638378727519
average.Mix_27	1.0	0.0	0.0	0.0	0.0
average.Mix_28	0.0	1.0	0.0	0.0	0.0
average.Mix_29	0.579650878098	0.210849836674	0.0	0.0	0.209499285228
average.Mix_30	0.0	0.242184115351	0.0	0.0	0.757815884649
average.Mix_31	0.72705618076	0.27294381924	0.0	0.0	0.0
average.Mix_32	0.0	0.446001696794	0.0	0.0	0.553998303206
average.Mix_33	0.0	0.387343937442	0.0	0.0	0.612656062558
average.Mix_34	1.0	0.0	0.0	0.0	0.0
average.Mix_35	0.0	0.556121970219	0.0	0.0	0.443878029781
average.Mix_36	0.549308546845	0.450691453155	0.0	0.0	0.0
average.Mix_37	0.0	0.358846798869	0.0	0.0	0.641153201131
average.Mix_38	0.0	0.491811254241	0.0	0.0	0.508188745759
average.Mix_39	1.0	0.0	0.0	0.0	0.0
average.Mix_40	0.657536217275	0.172889217979	0.0	0.0	0.169574564746
average.Mix_41	0.0	0.798631348906	0.0	0.0	0.201368651094
average.Mix_42	0.0	0.326768744115	0.0	0.0	0.673231255885
average.Mix_43	1.0	0.0	0.0	0.0	0.0
average.Mix_44	0.0	0.604936414899	0.0	0.0	0.395063585101
average.Mix_45	0.0	0.226753544795	0.0	0.0	0.773246455205
average.Mix_46	0.0	0.0	0.0	0.0	1.0
average.Mix_47	0.2	0.2	0.2	0.2	0.2
average.Mix_48	0.51514284326	0.48485715674	0.0	0.0	0.0
average.Mix_49	0.0	0.407681494056	0.0	0.0	0.592318505944
average.Mix_50	0.0	0.254241473406	0.0	0.0	0.745758526594
average.Mix_51	0.0	1.0	0.0	0.0	0.0
average.Mix_52	0.0	0.276380704041	0.0	0.0	0.723619295959
average.Mix_53	0.0	1.0	0.0	0.0	0.0
average.Mix_54	0.0	1.0	0.0	0.0	0.0
average.Mix_55	0.0	0.350980342859	0.0	0.0	0.649019657141
average.Mix_56	0.0	0.248912446586	0.0	0.0	0.751087553414
average.Mix_57	0.0	0.454653917647	0.0	0.0	0.545346082353
average.Mix_58	0.0	0.38271583154	0.0	0.0	0.61728416846
average.Mix_59	0.0	0.412183331759	0.0	0.0	0.587816668241
average.Mix_60	1.0	0.0	0.0	0.0	0.0
average.Mix_61	1.0	0.0	0.0	0.0	0.0
average.Mix_62	1.0	0.0	0.0	0.0	0.0
average.Mix_63	0.0	0.783802697943	0.0	0.0	0.216197302057
average.Mix_64	0.2	0.2	0.2	0.2	0.2
average.Mix_65	0.2	0.2	0.2	0.2	0.2
average.Mix_66	0.71741537168	0.22541629594	0.0	0.0	0.0571683323795
average.Mix_67	1.0	0.0	0.0	0.0	0.0
average.Mix_68	0.0	0.276349908895	0.0	0.0	0.723650091105
average.Mix_69	1.0	0.0	0.0	0.0	0.0
average.Mix_70	0.0	0.335017792457	0.0	0.0	0.664982207543
average.Mix_71	0.0	0.19987586488	0.0	0.0	0.80012413512
average.Mix_72	0.0	0.549433912252	0.0	0.0	0.450566087748
average.Mix_73	0.0	0.357337692738	0.0	0.0	0.642662307262
average.Mix_74	1.0	0.0	0.0	0.0	0.0
