B Cells	CD4 T Cells	CD8 T Cells	Monocytes	NK Cells
average.mix_1	0.0	0.0	0.0	0.93303538307	0.0669646169303
average.mix_2	0.0	0.0	0.0	1.0	0.0
average.mix_3	0.221109533904	0.349122660661	0.304366680565	0.0	0.125401124871
average.mix_4	0.236400963692	0.287565069064	0.266962259111	0.0	0.209071708132
average.mix_5	0.161980882389	0.279339456327	0.273119582396	0.0	0.285560078888
average.mix_6	0.0	0.0	0.0	0.0	1.0
average.mix_7	0.306947638777	0.294051474405	0.268509105054	0.0	0.130491781764
average.mix_8	0.0104575560552	0.0	0.0	0.989542443945	0.0
average.mix_9	0.0	0.0	0.0	0.0	1.0
average.mix_10	0.39261922154	0.308862483374	0.270323994774	0.0	0.0281943003113
average.mix_11	0.0	0.0	0.0	1.0	0.0
average.mix_12	0.0	0.0	0.0	0.907826071742	0.0921739282581
average.mix_13	0.381439653098	0.253252670381	0.238281426667	0.0	0.127026249855
average.mix_14	0.411482516702	0.288734279131	0.255831212882	0.0	0.0439519912845
average.mix_15	0.273850507333	0.254447323648	0.25090685558	0.0	0.220795313438
average.mix_16	0.242535966156	0.344842795866	0.30493884633	0.0	0.107682391648
average.mix_17	0.39437666569	0.313251238156	0.266915363775	0.0	0.0254567323795
average.mix_18	0.0	0.0	0.0	1.0	0.0
average.mix_19	0.448982049352	0.0	0.0	0.0	0.551017950648
average.mix_20	0.188053466281	0.348574985143	0.309579936926	0.0	0.15379161165
average.mix_21	0.285964945089	0.32921731407	0.291580403586	0.0	0.093237337256
average.mix_22	0.238034834463	0.0	0.0	0.0	0.761965165537
average.mix_23	0.962755981888	5.67190798348e-05	0.0371872990319	0.0	0.0
average.mix_24	0.0	0.0	0.0	1.0	0.0
average.mix_25	0.0	0.49525792347	0.424720799832	0.0	0.0800212766975
average.mix_26	0.129649680846	0.320285243705	0.300163108474	0.0	0.249901966976
average.mix_27	0.0	0.0	0.0	1.0	0.0
average.mix_28	0.212104951759	0.330826896531	0.294665214992	0.0	0.162402936718
average.mix_29	0.0	0.0766235601825	0.218873081595	0.0	0.704503358223
average.mix_30	0.106300945141	0.197766053869	0.251972444026	0.0	0.443960556964
average.mix_31	0.0	0.191954525029	0.27493555066	0.0	0.53310992431
average.mix_32	0.17041373197	0.319445028165	0.290874141512	0.0	0.219267098353
average.mix_33	0.0	0.0	0.0	0.0	1.0
average.mix_34	0.0	0.0	0.0	1.0	0.0
average.mix_35	0.0	0.0	0.0	0.22800392405	0.77199607595
average.mix_36	0.319590906823	0.315026145607	0.275938536473	0.0	0.0894444110973
average.mix_37	0.323284486645	0.323744357088	0.281212420833	0.0	0.0717587354344
average.mix_38	0.171663644112	0.334125615767	0.303161236926	0.0	0.191049503195
average.mix_39	0.292697280826	0.272860452367	0.258507753251	0.0	0.175934513556
average.mix_40	0.00468790018176	0.0	0.0	0.0	0.995312099818
average.mix_41	0.0	0.0	0.0	0.839719439223	0.160280560777
average.mix_42	0.294693357434	0.31600545111	0.276998706745	0.0	0.112302484711
average.mix_43	0.0	0.327224030694	0.318273907467	0.0	0.354502061839
average.mix_44	0.143651941383	0.347892168967	0.317399420897	0.0	0.191056468753
average.mix_45	0.0	0.484751015708	0.398717385407	0.0	0.116531598885
average.mix_46	0.207089539349	0.327965541886	0.299446793663	0.0	0.165498125102
average.mix_47	0.790812550792	0.0	0.0	0.0	0.209187449208
average.mix_48	0.0	0.0	0.0	1.0	0.0
average.mix_49	0.0	0.0	0.0	0.668796510511	0.331203489489
average.mix_50	0.278429510336	0.346620606858	0.2966530661	0.0	0.0782968167056
average.mix_51	0.0	0.0	0.0	0.921675465187	0.0783245348134
average.mix_52	0.314350990844	0.284370238567	0.258650504802	0.0	0.142628265788
average.mix_53	0.0	0.0	0.0	0.812758420136	0.187241579864
average.mix_54	0.294711339231	0.328483772126	0.287961855407	0.0	0.0888430332362
average.mix_55	0.0	0.0	0.0	0.778937836231	0.221062163769
average.mix_56	0.203427076462	0.395595267707	0.337763931696	0.0	0.0632137241349
average.mix_57	0.0	0.0	0.0	0.198395129675	0.801604870325
average.mix_58	0.218013570594	0.317522254514	0.294514047177	0.0	0.169950127714
average.mix_59	0.0	0.0	0.0	0.780151856783	0.219848143217
average.mix_60	0.403581391206	0.310365441912	0.277677925492	0.0	0.00837524139031
average.mix_61	0.263016669947	0.362282631542	0.306899982592	0.0	0.0678007159188
average.mix_62	0.231198319404	0.329155027323	0.292062358004	0.0	0.14758429527
average.mix_63	0.0	0.0	0.0	0.610752416778	0.389247583222
average.mix_64	0.0	0.0	0.0	1.0	0.0
average.mix_65	0.0720111024388	0.166644893658	0.212879341982	0.0	0.548464661921
average.mix_66	0.0	0.0	0.0	0.918611198679	0.0813888013208
average.mix_67	0.28094580972	0.292491069623	0.266858168538	0.0	0.159704952119
average.mix_68	0.148444944733	0.316166657202	0.300178088432	0.0	0.235210309633
average.mix_69	0.0	0.0	0.0	1.0	0.0
average.mix_70	0.335853879928	0.0	0.0	0.207948848355	0.456197271717
average.mix_71	0.0	0.0	0.0	1.0	0.0
average.mix_72	0.417712044276	0.279236602449	0.242902132081	0.0	0.0601492211942
average.mix_73	0.427975453196	0.0907472399965	0.141985100801	0.0	0.339292206006
average.mix_74	0.376138249426	0.194650836964	0.20194025019	0.0	0.227270663421
average.mix_75	0.0	0.0	0.0	1.0	0.0
average.mix_76	0.13793232334	0.345758356374	0.318742328461	0.0	0.197566991824
average.mix_77	0.17415292063	0.348367962522	0.309378098196	0.0	0.168101018653
average.mix_78	0.0	0.0	0.0	0.727703846489	0.272296153511
average.mix_79	0.0	0.0	0.0	0.945263968538	0.0547360314621
average.mix_80	0.330487684611	0.334918001422	0.289075209424	0.0	0.0455191045435
average.mix_81	0.207496540721	0.384214790507	0.329197267925	0.0	0.0790914008477
average.mix_82	0.615543424866	0.0	0.0	0.0	0.384456575134
average.mix_83	0.0	0.0	0.0	0.977448853754	0.0225511462465
average.mix_84	0.260468607747	0.361782743961	0.314000973203	0.0	0.063747675089
average.mix_85	0.202844046967	0.38446417496	0.333750513591	0.0	0.0789412644827
average.mix_86	0.15951438489	0.358794388032	0.318537894391	0.0	0.163153332687
average.mix_87	0.0	0.515087363377	0.418958485502	0.0	0.0659541511216
average.mix_88	0.229582728476	0.326297282382	0.295762322538	0.0	0.148357666605
average.mix_89	0.207891290954	0.346048811062	0.30555517667	0.0	0.140504721315
average.mix_90	0.0	0.484124824352	0.450069460467	0.0	0.0658057151818
average.mix_91	0.0	0.0	0.0	0.880325856772	0.119674143228
average.mix_92	0.0	0.447490995127	0.443258581616	0.0	0.109250423257
average.mix_93	0.0	0.0	0.0	1.0	0.0
average.mix_94	0.0	0.0	0.0	1.0	0.0
average.mix_95	0.0	0.0	0.0	0.876506401614	0.123493598386
average.mix_96	0.0	0.0	0.0	0.64718209214	0.35281790786
average.mix_97	0.0	0.0	0.0	0.605863151086	0.394136848914
average.mix_98	0.837548887852	0.0	0.0	0.0	0.162451112148
average.mix_99	0.208394359916	0.380861428989	0.325100874267	0.0	0.0856433368287
average.mix_100	0.179781361301	0.346575458529	0.315118406603	0.0	0.158524773568
