B Cells	CD4 T Cells	CD8 T Cells	Endo	Fibroblast	Macrophages	Mast Cell
average.mix_1	0.0	0.147862956779	0.852137043221	0.0	0.0	0.0	0.0
average.mix_2	0.772985571406	0.0	0.0	0.0	0.0	0.0	0.227014428594
average.mix_3	0.0	0.0	0.0	0.0	0.0	0.948680806677	0.0513191933234
average.mix_4	0.0880877522702	0.347778425921	0.564133821809	0.0	0.0	0.0	0.0
average.mix_5	0.0	0.0	1.0	0.0	0.0	0.0	0.0
average.mix_6	0.0	0.301621191231	0.698378808769	0.0	0.0	0.0	0.0
average.mix_7	0.0	0.0	0.0	0.0	0.0	0.0	1.0
average.mix_8	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857
average.mix_9	0.0301563283259	0.297537399932	0.672306271742	0.0	0.0	0.0	0.0
average.mix_10	0.817432802445	0.175026491258	0.0	0.0	0.0	0.0	0.00754070629658
average.mix_11	0.439753199719	0.137560138461	0.42268666182	0.0	0.0	0.0	0.0
average.mix_12	0.0	0.523673561267	0.476326438733	0.0	0.0	0.0	0.0
average.mix_13	0.0	0.876271966149	0.123728033851	0.0	0.0	0.0	0.0
average.mix_14	0.371684488258	0.28568625138	0.342629260363	0.0	0.0	0.0	0.0
average.mix_15	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857
average.mix_16	1.0	0.0	0.0	0.0	0.0	0.0	0.0
average.mix_17	0.0	0.0	0.0	0.0	0.0	0.0	1.0
average.mix_18	0.463036555952	0.536366472938	0.0	0.0	0.0	0.0	0.000596971109465
average.mix_19	0.0	0.0	0.0	0.0	0.0	0.916887819355	0.0831121806446
average.mix_20	0.429375219104	0.261748279659	0.308876501237	0.0	0.0	0.0	0.0
average.mix_21	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857
average.mix_22	0.0	0.319258409863	0.680741590137	0.0	0.0	0.0	0.0
average.mix_23	0.304107180472	0.266136968149	0.429755851379	0.0	0.0	0.0	0.0
average.mix_24	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857
average.mix_25	0.18513155196	0.307120047718	0.507748400322	0.0	0.0	0.0	0.0
average.mix_26	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857
average.mix_27	0.170601219128	0.219053043547	0.610345737325	0.0	0.0	0.0	0.0
average.mix_28	0.0	0.414199815759	0.585800184241	0.0	0.0	0.0	0.0
average.mix_29	0.0865437444343	0.196789266414	0.716666989152	0.0	0.0	0.0	0.0
average.mix_30	0.0	0.39162590278	0.60837409722	0.0	0.0	0.0	0.0
average.mix_31	0.0	0.887429843598	0.112570156402	0.0	0.0	0.0	0.0
average.mix_32	0.328480231534	0.321653108415	0.349866660051	0.0	0.0	0.0	0.0
average.mix_33	0.0	1.0	0.0	0.0	0.0	0.0	0.0
average.mix_34	0.118666544802	0.0	0.0	0.0	0.0	0.19572519015	0.685608265047
average.mix_35	0.0	0.358550091427	0.641449908573	0.0	0.0	0.0	0.0
average.mix_36	0.0	0.98073464416	0.0192653558397	0.0	0.0	0.0	0.0
average.mix_37	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857
average.mix_38	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857
average.mix_39	0.127889121244	0.285558673573	0.586552205183	0.0	0.0	0.0	0.0
average.mix_40	0.0	1.0	0.0	0.0	0.0	0.0	0.0
average.mix_41	0.0	0.0	0.0	0.0	0.0	1.0	0.0
average.mix_42	0.588612282774	0.323614765771	0.0739558744863	0.0	0.0	0.0	0.0138170769691
average.mix_43	0.819642910704	0.0	0.0	0.0	0.0	0.0	0.180357089296
average.mix_44	0.530964575935	0.190267501223	0.278767922842	0.0	0.0	0.0	0.0
average.mix_45	0.258116834998	0.0218411424238	0.180570504885	0.0	0.0	0.0	0.539471517693
average.mix_46	0.0	0.0	0.0	0.0	0.0	1.0	0.0
average.mix_47	0.0	0.0	0.0	0.0	0.0	1.0	0.0
average.mix_48	0.677222914727	0.298090654747	0.0	0.0	0.0	0.0	0.0246864305254
average.mix_49	0.0418392932008	0.0662338072947	0.112150454905	0.0	0.0	0.725277709024	0.0544987355753
average.mix_50	0.0	0.302096793806	0.697903206194	0.0	0.0	0.0	0.0
average.mix_51	0.0	0.0	0.0	0.0	0.0	0.712855361862	0.287144638138
average.mix_52	0.0	0.0	0.0	0.0	0.0	0.0	1.0
average.mix_53	0.903560869162	0.0055762936378	0.0	0.0	0.0	0.0	0.0908628372
average.mix_54	0.0	1.0	0.0	0.0	0.0	0.0	0.0
average.mix_55	0.0	1.0	0.0	0.0	0.0	0.0	0.0
average.mix_56	0.0	0.494214131705	0.505785868295	0.0	0.0	0.0	0.0
average.mix_57	0.0998840760341	0.267113230902	0.633002693064	0.0	0.0	0.0	0.0
average.mix_58	0.0	0.440569249413	0.559430750587	0.0	0.0	0.0	0.0
average.mix_59	0.350704177731	0.0	0.0	0.0	0.0	0.454335845075	0.194959977194
average.mix_60	0.0	1.0	0.0	0.0	0.0	0.0	0.0
average.mix_61	0.0	1.0	0.0	0.0	0.0	0.0	0.0
average.mix_62	0.0	0.0	0.0	0.0	0.0	1.0	0.0
average.mix_63	0.0	0.548433327706	0.451566672294	0.0	0.0	0.0	0.0
average.mix_64	0.721495451448	0.0	0.0	0.0	0.0	0.0	0.278504548552
average.mix_65	0.0	0.0	0.0	0.0	0.0	0.992981058128	0.00701894187163
average.mix_66	0.71540115085	0.0	0.0	0.0	0.0	0.0	0.28459884915
average.mix_67	0.476056485649	0.100976650886	0.422966863464	0.0	0.0	0.0	0.0
average.mix_68	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857
average.mix_69	0.781265169939	0.195389309853	0.023345520208	0.0	0.0	0.0	0.0
average.mix_70	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857
average.mix_71	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857
average.mix_72	0.0	0.0	0.0	0.0	0.0	1.0	0.0
average.mix_73	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857
average.mix_74	0.00627789942866	0.387394244183	0.606327856389	0.0	0.0	0.0	0.0
average.mix_75	0.69802504468	0.30197495532	0.0	0.0	0.0	0.0	0.0
average.mix_76	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857
average.mix_77	0.448079381247	0.286637019905	0.265283598848	0.0	0.0	0.0	0.0
average.mix_78	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857
average.mix_79	0.201620721598	0.0	0.0	0.0	0.0	0.798379278402	0.0
average.mix_80	0.748260012759	0.0727458498012	0.0	0.0	0.0	0.175620909583	0.00337322785665
average.mix_81	0.185025012276	0.0	0.0	0.0	0.0	0.793985292621	0.0209896951033
average.mix_82	0.0	0.0	0.0	0.0	0.0	0.787937490089	0.212062509911
average.mix_83	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857
average.mix_84	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857
average.mix_85	0.0	0.0	0.0	0.0	0.0	0.767304836817	0.232695163183
average.mix_86	0.0	1.0	0.0	0.0	0.0	0.0	0.0
average.mix_87	0.0135414606427	0.301385326278	0.68507321308	0.0	0.0	0.0	0.0
average.mix_88	0.0	0.420114434888	0.579885565112	0.0	0.0	0.0	0.0
average.mix_89	0.326136673233	0.0	0.0	0.0	0.0	0.673863326767	0.0
average.mix_90	0.0	0.290880359627	0.709119640373	0.0	0.0	0.0	0.0
average.mix_91	0.0	0.305159692548	0.694840307452	0.0	0.0	0.0	0.0
average.mix_92	0.0964682583465	0.693248350232	0.210283391422	0.0	0.0	0.0	0.0
average.mix_93	0.0	0.0	0.0	0.0	0.0	1.0	0.0
average.mix_94	0.0	0.36318152829	0.63681847171	0.0	0.0	0.0	0.0
average.mix_95	0.0	0.695196074483	0.304803925517	0.0	0.0	0.0	0.0
average.mix_96	0.756157322928	0.243842677072	0.0	0.0	0.0	0.0	0.0
average.mix_97	0.0485778794909	0.348763072356	0.466915927802	0.0	0.0	0.0	0.135743120351
average.mix_98	0.0	1.0	0.0	0.0	0.0	0.0	0.0
average.mix_99	0.30121617976	0.0	0.0	0.0	0.0	0.494389267677	0.204394552564
average.mix_100	0.0	1.0	0.0	0.0	0.0	0.0	0.0
stdev.mix_1	0.0	0.106344569922	0.893655430078	0.0	0.0	0.0	0.0
stdev.mix_2	0.67943676309	0.0	0.0	0.0	0.0	0.0	0.32056323691
stdev.mix_3	0.0	0.0	0.0	0.0	0.0	0.990529959205	0.00947004079453
stdev.mix_4	0.454605257904	0.418053999831	0.127340742264	0.0	0.0	0.0	0.0
stdev.mix_5	0.0	0.0	1.0	0.0	0.0	0.0	0.0
stdev.mix_6	0.0	0.688364935322	0.311635064678	0.0	0.0	0.0	0.0
stdev.mix_7	0.0	0.0	0.0	0.0	0.0	0.0	1.0
stdev.mix_8	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857
stdev.mix_9	0.425471755914	0.135328596236	0.43919964785	0.0	0.0	0.0	0.0
stdev.mix_10	0.7624726265	0.0866238424803	0.0	0.0	0.0	0.0	0.15090353102
stdev.mix_11	0.321304521377	0.341444026677	0.337251451946	0.0	0.0	0.0	0.0
stdev.mix_12	0.0	0.245296948529	0.754703051471	0.0	0.0	0.0	0.0
stdev.mix_13	0.0	0.576174159998	0.423825840002	0.0	0.0	0.0	0.0
stdev.mix_14	0.498508062704	0.10995626878	0.391535668516	0.0	0.0	0.0	0.0
stdev.mix_15	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857
stdev.mix_16	1.0	0.0	0.0	0.0	0.0	0.0	0.0
stdev.mix_17	0.0	0.0	0.0	0.0	0.0	0.0	1.0
stdev.mix_18	0.253533248076	0.54366738142	0.0	0.0	0.0	0.0	0.202799370504
stdev.mix_19	0.0	0.0	0.0	0.0	0.0	0.837740565137	0.162259434863
stdev.mix_20	0.317883888628	0.0917657330687	0.590350378304	0.0	0.0	0.0	0.0
stdev.mix_21	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857
stdev.mix_22	0.0	0.197340468776	0.802659531224	0.0	0.0	0.0	0.0
stdev.mix_23	0.510762310415	0.123791197242	0.365446492343	0.0	0.0	0.0	0.0
stdev.mix_24	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857
stdev.mix_25	0.405431057914	0.320105759102	0.274463182985	0.0	0.0	0.0	0.0
stdev.mix_26	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857
stdev.mix_27	0.495174356048	0.196369972192	0.308455671761	0.0	0.0	0.0	0.0
stdev.mix_28	0.0	0.705989036903	0.294010963097	0.0	0.0	0.0	0.0
stdev.mix_29	0.243310852299	0.194613272002	0.562075875699	0.0	0.0	0.0	0.0
stdev.mix_30	0.0	0.243093387168	0.756906612832	0.0	0.0	0.0	0.0
stdev.mix_31	0.0	0.134303265886	0.865696734114	0.0	0.0	0.0	0.0
stdev.mix_32	0.59654548378	0.147804167235	0.255650348985	0.0	0.0	0.0	0.0
stdev.mix_33	0.0	1.0	0.0	0.0	0.0	0.0	0.0
stdev.mix_34	0.168775309179	0.0	0.0	0.0	0.0	0.706186413317	0.125038277504
stdev.mix_35	0.0	0.312193652097	0.687806347903	0.0	0.0	0.0	0.0
stdev.mix_36	0.0	0.281996711651	0.718003288349	0.0	0.0	0.0	0.0
stdev.mix_37	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857
stdev.mix_38	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857
stdev.mix_39	0.293300604361	0.175976997467	0.530722398172	0.0	0.0	0.0	0.0
stdev.mix_40	0.0	1.0	0.0	0.0	0.0	0.0	0.0
stdev.mix_41	0.0	0.0	0.0	0.0	0.0	1.0	0.0
stdev.mix_42	0.342753404004	0.0345412576631	0.340207131749	0.0	0.0	0.0	0.282498206584
stdev.mix_43	0.68417241011	0.0	0.0	0.0	0.0	0.0	0.31582758989
stdev.mix_44	0.267827896085	0.318307911648	0.413864192266	0.0	0.0	0.0	0.0
stdev.mix_45	0.157748964518	0.319909339832	0.493363736419	0.0	0.0	0.0	0.0289779592304
stdev.mix_46	0.0	0.0	0.0	0.0	0.0	1.0	0.0
stdev.mix_47	0.0	0.0	0.0	0.0	0.0	1.0	0.0
stdev.mix_48	0.740346143344	0.208038667878	0.0	0.0	0.0	0.0	0.0516151887783
stdev.mix_49	0.26372834998	0.0309248072657	0.299393974995	0.0	0.0	0.287921033114	0.118031834645
stdev.mix_50	0.0	0.308012787277	0.691987212723	0.0	0.0	0.0	0.0
stdev.mix_51	0.0	0.0	0.0	0.0	0.0	0.811586244951	0.188413755049
stdev.mix_52	0.0	0.0	0.0	0.0	0.0	0.0	1.0
stdev.mix_53	0.615853707181	0.198393057182	0.0	0.0	0.0	0.0	0.185753235637
stdev.mix_54	0.0	1.0	0.0	0.0	0.0	0.0	0.0
stdev.mix_55	0.0	1.0	0.0	0.0	0.0	0.0	0.0
stdev.mix_56	0.0	0.298707980026	0.701292019974	0.0	0.0	0.0	0.0
stdev.mix_57	0.346664676097	0.246120326826	0.407214997078	0.0	0.0	0.0	0.0
stdev.mix_58	0.0	0.208999768024	0.791000231976	0.0	0.0	0.0	0.0
stdev.mix_59	0.186963847097	0.0	0.0	0.0	0.0	0.727245739582	0.0857904133216
stdev.mix_60	0.0	1.0	0.0	0.0	0.0	0.0	0.0
stdev.mix_61	0.0	1.0	0.0	0.0	0.0	0.0	0.0
stdev.mix_62	0.0	0.0	0.0	0.0	0.0	1.0	0.0
stdev.mix_63	0.0	0.550894342494	0.449105657506	0.0	0.0	0.0	0.0
stdev.mix_64	0.807690083031	0.0	0.0	0.0	0.0	0.0	0.192309916969
stdev.mix_65	0.0	0.0	0.0	0.0	0.0	0.935412806385	0.0645871936152
stdev.mix_66	0.777257554708	0.0	0.0	0.0	0.0	0.0	0.222742445292
stdev.mix_67	0.588579303152	0.112981847542	0.298438849306	0.0	0.0	0.0	0.0
stdev.mix_68	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857
stdev.mix_69	0.502054599497	0.179259067115	0.318686333389	0.0	0.0	0.0	0.0
stdev.mix_70	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857
stdev.mix_71	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857
stdev.mix_72	0.0	0.0	0.0	0.0	0.0	1.0	0.0
stdev.mix_73	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857
stdev.mix_74	0.169362283724	0.216478733454	0.614158982822	0.0	0.0	0.0	0.0
stdev.mix_75	0.615588158663	0.384411841337	0.0	0.0	0.0	0.0	0.0
stdev.mix_76	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857
stdev.mix_77	0.688744353984	0.196532644107	0.114723001909	0.0	0.0	0.0	0.0
stdev.mix_78	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857
stdev.mix_79	0.321663360819	0.0	0.0	0.0	0.0	0.678336639181	0.0
stdev.mix_80	0.340033779845	0.166469261866	0.0	0.0	0.0	0.477972659934	0.0155242983543
stdev.mix_81	0.206447665697	0.0	0.0	0.0	0.0	0.727548673734	0.0660036605683
stdev.mix_82	0.0	0.0	0.0	0.0	0.0	0.968175737491	0.0318242625093
stdev.mix_83	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857
stdev.mix_84	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857
stdev.mix_85	0.0	0.0	0.0	0.0	0.0	0.919618455622	0.0803815443783
stdev.mix_86	0.0	1.0	0.0	0.0	0.0	0.0	0.0
stdev.mix_87	0.283997884532	0.0439631419357	0.672038973532	0.0	0.0	0.0	0.0
stdev.mix_88	0.0	0.346258764118	0.653741235882	0.0	0.0	0.0	0.0
stdev.mix_89	0.341439001167	0.0	0.0	0.0	0.0	0.658560998833	0.0
stdev.mix_90	0.0	0.344315750772	0.655684249228	0.0	0.0	0.0	0.0
stdev.mix_91	0.0	0.235988131931	0.764011868069	0.0	0.0	0.0	0.0
stdev.mix_92	0.358391318113	0.231030558387	0.4105781235	0.0	0.0	0.0	0.0
