B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.0	0.0	0.0	0.0	1.0	0.0
B	0.0	0.0	0.0	0.0	1.0	0.0
C	0.253783068454	0.0	0.0	0.0	0.746216931546	0.0
D	0.238608571314	0.0	0.0	0.0	0.761391428686	0.0
E	0.184983848163	0.0	0.0	0.0	0.815016151837	0.0
F	0.0208232140987	0.0	0.0	0.0	0.979176785901	0.0
G	0.0	0.0	0.0	0.332791341564	0.667208658436	0.0
H	0.0	0.0	0.0	0.0	1.0	0.0
I	0.0	0.0	0.0	0.0939475628828	0.906052437117	0.0
J	0.35865662373	0.0	0.0	0.0	0.64134337627	0.0
K	0.359065292963	0.0	0.0	0.0	0.640934707037	0.0
L	0.214962816613	0.0	0.0	0.0	0.785037183387	0.0
