B Cells	CD4 T Cells	NK Cells	Monocytes	CD8 T Cells
Mix_1	0.481070192625	0.368598216726	0.0	0.0	0.150331590649
Mix_2	0.48622177924	0.417946700716	0.0	0.0	0.0958315200441
Mix_3	0.416985678842	0.347546732663	0.0	0.0	0.235467588495
Mix_4	0.420751276538	0.382085199834	0.0	0.0	0.197163523627
Mix_5	0.48999679615	0.34914546323	0.0	0.0	0.160857740621
Mix_6	0.525069491235	0.338738969811	0.0	0.0	0.136191538955
Mix_7	0.423285544266	0.412649944886	0.0	0.0	0.164064510849
Mix_8	0.501025971566	0.463873800435	0.0	0.0	0.0351002279989
Mix_9	0.46607216028	0.388157152641	0.0	0.0	0.145770687079
Mix_10	0.509657925234	0.353369545368	0.0	0.0	0.136972529398
Mix_11	0.446185794466	0.446872195761	0.0	0.0	0.106942009773
Mix_12	0.439044271391	0.372626754699	0.0	0.0	0.18832897391
Mix_13	0.484645983267	0.385395595741	0.0	0.0	0.129958420992
Mix_14	0.387751416363	0.378685123841	0.0	0.0	0.233563459796
Mix_15	0.431202035953	0.455527075298	0.0	0.0	0.113270888749
Mix_16	0.472612699488	0.431183492331	0.0	0.0	0.0962038081809
Mix_17	0.431364462335	0.432694778536	0.0	0.0	0.135940759129
Mix_18	0.438800866687	0.508456389837	0.0	0.0	0.0527427434758
Mix_19	0.460678375286	0.337349574517	0.0	0.0	0.201972050198
Mix_20	0.50218618131	0.401454821402	0.0	0.0	0.0963589972881
Mix_21	0.512938608199	0.403644548269	0.0	0.0	0.0834168435323
Mix_22	0.475523089542	0.356529758606	0.0	0.0	0.167947151852
Mix_23	0.506681772941	0.429950713901	0.0	0.0	0.0633675131587
Mix_24	0.413508949888	0.489761599138	0.0	0.0	0.0967294509742
Mix_25	0.465680594064	0.402594574028	0.0	0.0	0.131724831908
Mix_26	0.44539440889	0.440898641398	0.0	0.0	0.113706949712
Mix_27	0.504765196001	0.405631299038	0.0	0.0	0.0896035049611
Mix_28	0.48913793336	0.400482334253	0.0	0.0	0.110379732387
Mix_29	0.460614052944	0.437100114272	0.0	0.0	0.102285832783
Mix_30	0.415161974452	0.346540711943	0.0	0.0	0.238297313605
Mix_31	0.472360001934	0.42247310008	0.0	0.0	0.105166897986
Mix_32	0.453855968917	0.494690632076	0.0	0.0	0.0514533990074
Mix_33	0.437216186556	0.438374827279	0.0	0.0	0.124408986165
Mix_34	0.519579747791	0.352881047163	0.0	0.0	0.127539205045
Mix_35	0.442231365275	0.398909859999	0.0	0.0	0.158858774726
Mix_36	0.460914625852	0.394801701452	0.0	0.0	0.144283672696
Mix_37	0.424416985971	0.340029121632	0.0	0.0	0.235553892397
Mix_38	0.436390331785	0.403411533229	0.0	0.0	0.160198134986
Mix_39	0.552232401418	0.427990654323	0.0	0.0	0.0197769442589
Mix_40	0.443162392634	0.33475413456	0.0	0.0	0.222083472806
Mix_41	0.445310150677	0.34687524151	0.0	0.0	0.207814607813
Mix_42	0.451638828583	0.451130350274	0.0	0.0	0.0972308211428
Mix_43	0.498579654963	0.349133594869	0.0	0.0	0.152286750168
Mix_44	0.444375742557	0.371748247885	0.0	0.0	0.183876009558
Mix_45	0.448099587176	0.387443583725	0.0	0.0	0.1644568291
Mix_46	0.478108167695	0.430340522974	0.0	0.0	0.0915513093309
Mix_47	0.495192222718	0.36249695749	0.0	0.0	0.142310819792
Mix_48	0.462745312691	0.412840313626	0.0	0.0	0.124414373682
Mix_49	0.400574855186	0.369016671029	0.0	0.0	0.230408473785
Mix_50	0.43420126751	0.439851613116	0.0	0.0	0.125947119374
Mix_51	0.468537705164	0.43612276286	0.0	0.0	0.0953395319763
Mix_52	0.405752992059	0.378241133371	0.0	0.0	0.21600587457
Mix_53	0.491858331307	0.403025218838	0.0	0.0	0.105116449855
Mix_54	0.44969933288	0.281741304987	0.0	0.0	0.268559362133
Mix_55	0.406433106842	0.33583161273	0.0	0.0	0.257735280427
Mix_56	0.446486415274	0.414753545194	0.0	0.0	0.138760039532
Mix_57	0.383350826619	0.351784473152	0.0	0.0	0.264864700229
Mix_58	0.426474809393	0.446331398299	0.0	0.0	0.127193792308
Mix_59	0.408704197352	0.299929454675	0.0	0.0	0.291366347973
Mix_60	0.463307272297	0.403916265795	0.0	0.0	0.132776461908
Mix_61	0.502375768856	0.347350245729	0.0	0.0	0.150273985415
Mix_62	0.472709878009	0.338720540877	0.0	0.0	0.188569581115
Mix_63	0.438059146144	0.308608316962	0.0	0.0	0.253332536894
Mix_64	0.514221613097	0.367934727487	0.0	0.0	0.117843659416
Mix_65	0.495882233122	0.391820937246	0.0	0.0	0.112296829632
Mix_66	0.447885512057	0.403865188028	0.0	0.0	0.148249299915
Mix_67	0.554536918921	0.379842734079	0.0	0.0	0.0656203470002
Mix_68	0.452913240577	0.434048860213	0.0	0.0	0.11303789921
Mix_69	0.492769849168	0.366464754693	0.0	0.0	0.140765396139
Mix_70	0.441892591503	0.441971380508	0.0	0.0	0.116136027989
Mix_71	0.44202373444	0.339965524831	0.0	0.0	0.21801074073
Mix_72	0.479593088712	0.482985130407	0.0	0.0	0.0374217808812
Mix_73	0.396374791888	0.347636362606	0.0	0.0	0.255988845505
Mix_74	0.508171612838	0.335398307025	0.0	0.0	0.156430080137
Mix_75	0.422292664594	0.359394291687	0.0	0.0	0.218313043719
Mix_76	0.419605180986	0.344806062366	0.0	0.0	0.235588756649
Mix_77	0.481108924071	0.388829086337	0.0	0.0	0.130061989592
Mix_78	0.382853492436	0.40445052841	0.0	0.0	0.212695979153
Mix_79	0.418192899953	0.278084049082	0.0	0.0	0.303723050965
