B Cells	CD4 T Cells	CD8 T Cells	Monocytes	NK Cells
mix_1	0.453707244282	0.470311597689	0.0759811580295	0.0	0.0
mix_2	0.462514338266	0.465806943703	0.0716787180306	0.0	0.0
mix_3	0.44867087903	0.449267382789	0.102061738181	0.0	0.0
mix_4	0.492422860643	0.419377216233	0.0881999231239	0.0	0.0
mix_5	0.468898652356	0.420605920403	0.110495427241	0.0	0.0
mix_6	0.469658442994	0.43816391608	0.0921776409253	0.0	0.0
mix_7	0.503319657179	0.407072976794	0.089607366027	0.0	0.0
mix_8	0.514679231466	0.42569361811	0.0596271504239	0.0	0.0
mix_9	0.449520449536	0.461655570736	0.0888239797285	0.0	0.0
mix_10	0.524112660461	0.382613338368	0.0932740011708	0.0	0.0
mix_11	0.467194319725	0.471298993929	0.0615066863461	0.0	0.0
mix_12	0.448882972845	0.459804566297	0.0913124608583	0.0	0.0
mix_13	0.542500680406	0.377885879118	0.0796134404757	0.0	0.0
mix_14	0.535051832966	0.368213665374	0.0967345016597	0.0	0.0
mix_15	0.506749870538	0.381798843466	0.111451285996	0.0	0.0
mix_16	0.474727485306	0.430608893953	0.0946636207404	0.0	0.0
mix_17	0.549476649733	0.346279295711	0.104244054556	0.0	0.0
mix_18	0.476623127712	0.45692921791	0.0664476543781	0.0	0.0
mix_19	0.492733583839	0.419529816662	0.0877365994992	0.0	0.0
mix_20	0.407357742968	0.433737075574	0.158905181458	0.0	0.0
mix_21	0.489112372674	0.396008791254	0.114878836072	0.0	0.0
mix_22	0.510086869889	0.405384412174	0.0845287179375	0.0	0.0
mix_23	0.511134548714	0.421096973409	0.0677684778773	0.0	0.0
mix_24	0.465701030713	0.473799378259	0.0604995910278	0.0	0.0
mix_25	0.438366782263	0.467490044038	0.0941431736985	0.0	0.0
mix_26	0.404392079977	0.466355754206	0.129252165817	0.0	0.0
mix_27	0.534034022032	0.420213952829	0.0457520251389	0.0	0.0
mix_28	0.440097055967	0.424873408022	0.135029536011	0.0	0.0
mix_29	0.463158232637	0.450823170028	0.0860185973344	0.0	0.0
mix_30	0.474299057065	0.438026012186	0.0876749307487	0.0	0.0
mix_31	0.462261878009	0.460332318579	0.0774058034125	0.0	0.0
mix_32	0.46886162998	0.435964378145	0.0951739918746	0.0	0.0
mix_33	0.486916913281	0.446666194673	0.0664168920458	0.0	0.0
mix_34	0.457166977531	0.468682289678	0.0741507327913	0.0	0.0
mix_35	0.462335281809	0.439857247408	0.0978074707834	0.0	0.0
mix_36	0.509293733621	0.418940272559	0.0717659938205	0.0	0.0
mix_37	0.505795249904	0.417974820469	0.0762299296273	0.0	0.0
mix_38	0.423955857371	0.468232098269	0.107812044359	0.0	0.0
mix_39	0.508816270012	0.381935677051	0.109248052937	0.0	0.0
mix_40	0.483418966809	0.456356649117	0.0602243840745	0.0	0.0
mix_41	0.459348748931	0.454798443262	0.0858528078067	0.0	0.0
mix_42	0.496932590233	0.390553413423	0.112513996344	0.0	0.0
mix_43	0.421425570488	0.45699490346	0.121579526052	0.0	0.0
mix_44	0.438035836688	0.464075162521	0.097889000791	0.0	0.0
mix_45	0.421321742138	0.48257357802	0.0961046798416	0.0	0.0
mix_46	0.446491772656	0.410631186964	0.14287704038	0.0	0.0
mix_47	0.486842824081	0.438035185148	0.0751219907711	0.0	0.0
mix_48	0.533530935842	0.42433417873	0.0421348854281	0.0	0.0
mix_49	0.502550645144	0.424549400074	0.0728999547828	0.0	0.0
mix_50	0.476028532832	0.418809583873	0.105161883295	0.0	0.0
mix_51	0.516877060075	0.43463156695	0.048491372975	0.0	0.0
mix_52	0.521174185732	0.390439410332	0.0883864039362	0.0	0.0
mix_53	0.510618591776	0.429152528573	0.0602288796508	0.0	0.0
mix_54	0.492240576019	0.369782756382	0.137976667599	0.0	0.0
mix_55	0.50602836576	0.428317585476	0.0656540487638	0.0	0.0
mix_56	0.453654418887	0.445537283239	0.100808297873	0.0	0.0
mix_57	0.436801107468	0.483620508572	0.0795783839605	0.0	0.0
mix_58	0.469823851577	0.430080507803	0.10009564062	0.0	0.0
mix_59	0.448609501316	0.450867172232	0.100523326452	0.0	0.0
mix_60	0.520435389346	0.386251588483	0.0933130221711	0.0	0.0
mix_61	0.460838448156	0.436433673139	0.102727878705	0.0	0.0
mix_62	0.461378481936	0.445332296713	0.093289221351	0.0	0.0
mix_63	0.450225322147	0.465022632319	0.0847520455346	0.0	0.0
mix_64	0.496801519959	0.438255632221	0.0649428478206	0.0	0.0
mix_65	0.471214637632	0.439843147106	0.0889422152618	0.0	0.0
mix_66	0.514664685703	0.429332477766	0.0560028365309	0.0	0.0
mix_67	0.494568908813	0.402036770789	0.103394320398	0.0	0.0
mix_68	0.424736378746	0.432107549946	0.143156071308	0.0	0.0
mix_69	0.496692560709	0.435228782614	0.0680786566771	0.0	0.0
mix_70	0.563426467839	0.384159234733	0.0524142974276	0.0	0.0
mix_71	0.532834186757	0.418918632193	0.0482471810496	0.0	0.0
mix_72	0.557160900772	0.375940993362	0.0668981058653	0.0	0.0
mix_73	0.526827152892	0.395409591486	0.0777632556217	0.0	0.0
mix_74	0.500486777974	0.434611535254	0.0649016867717	0.0	0.0
